,condition,id,delete,description,set_size,enrichment_score,nes,pvalue,p_adjust,qvalue,gsea_enrichment,rank,leading_edge,core_enrichment
495,"ChAd (V2, D1)",TCR REPERTOIRE,TCR REPERTOIRE...495,TCR REPERTOIRE,18,-0.8283275371,-2.54443256,5.36E-08,2.50E-07,1.69E-07,ImmuneGO,562,"tags=100%, list=18%, signal=83%",TRBC2/TRBV20-1/TRBV18/TRBV2/TRAJ3/TRAV25/TRBV3-1/TRAV2/TRAV38-2DV8/TRBV19/TRAV27/TRAV19/TRBV6-5/TRAV26-2/TRDC/TRBD1/TRAV18
496,"ChAd (V2, D1)",ARPP,ARPP...496,ARPP,31,0.5540065302,1.883442871,0.001227996772,0.004297988701,0.002908413407,ImmuneGO,1218,"tags=84%, list=38%, signal=52%",RIGI/FCGR1A/TAP2/CLEC6A/TAP1/IFI30/CASP1/HLA-DMB/PIK3AP1/PSME1/TICAM2/PSMB8/SCIMP/HLA-DPA1/LACC1/NFKBIA/HLA-DMA/CD1D/TNFAIP3/PRKCE/HLA-F/CGAS/B2M/XIAP/CTSS/PDIA3
497,"ChAd (V2, D1)",BCR REPERTOIRE,BCR REPERTOIRE...497,BCR REPERTOIRE,2,-0.9418055992,-1.527471074,0.01088382933,0.03047472212,0.02062199241,ImmuneGO,188,"tags=100%, list=6%, signal=94%",IGLV5-45
498,"ChAd (V2, D1)",MACROPHAGES,MACROPHAGES...498,MACROPHAGES,5,0.7230752087,1.48114024,0.05882352941,0.137254902,0.09287925697,ImmuneGO,136,"tags=40%, list=4%, signal=38%",CCL2/IFI35
499,"ChAd (V2, D1)",DENDRITIC CELLS,DENDRITIC CELLS...499,DENDRITIC CELLS,4,0.715972231,1.388157428,0.1179775281,0.2359550562,0.159668835,ImmuneGO,444,"tags=50%, list=14%, signal=43%",BATF2/CCR1
500,"ChAd (V2, D1)",CD1C-CD141- dendritic cell,CD1C-CD141- dendritic cell...500,CD1C-CD141- dendritic cell,96,0.5459333299,2.348930355,6.04E-09,8.09E-07,7.37E-07,CellMarker,1019,"tags=68%, list=32%, signal=47%",ISG15/IFIT3/IFIT2/IFI6/GBP5/GBP1/OAS1/GBP4/TNFSF10/DDX60/IFITM3/DDX60L/APOL6/MT2A/MYOF/GBP2/SAT1/LY6E/APOBEC3A/FCGR2C/CD300E/VAMP5/RAB24/TYMP/WDFY1/NEAT1/IFI30/CASP1/ACOT9/HSPA7/PSTPIP2/IFITM1/ZNFX1/MS4A4A/STX11/PIK3AP1/PELI1/LILRB1/DRAP1/IRF1/CLEC7A/MAFB/DMXL2/FCGR3B/GPR155/CASP4/MS4A7/SLC31A2/MEFV/SCIMP/FCN1/GIMAP4/DUSP6/NFKBIZ/KDM1B/WSB1/MCTP1/HK3/LCP2/BLVRA/MXD3/ZEB2/NUDT16/LILRB2/NADK
501,"ChAd (V2, D1)",Classical monocyte,Classical monocyte...501,Classical monocyte,16,0.8326261552,2.350713302,4.58E-08,3.07E-06,2.79E-06,CellMarker,104,"tags=56%, list=3%, signal=55%",IFI44L/ISG15/IFIT3/MX1/IFIT2/IFI6/XAF1/EPSTI1/IFITM3
502,"ChAd (V2, D1)",Natural killer cell,Natural killer cell...502,Natural killer cell,25,-0.7275074722,-2.393262602,3.10E-06,0.0001385151556,0.0001262196233,CellMarker,602,"tags=88%, list=19%, signal=72%",CD3G/CHST2/CD3E/CD247/CD27/CXXC5/TRAC/CCL4/KLRF1/TBX21/IL2RB/CD7/KLRD1/NCR1/GNLY/NCR3/SPON2/NKG7/TRDC/FGFBP2/PRSS23/KIR3DL1
503,"ChAd (V2, D1)",CD4+ recently activated effector memory or effector T cell (CTL),CD4+ recently activated effector memory or effector T cell (CTL)...503,CD4+ recently activated effector memory or effector T cell (CTL),8,-0.8146864166,-1.968464808,0.0004886171417,0.01567551773,0.01428405386,CellMarker,597,"tags=100%, list=19%, signal=81%",S1PR1/CTSW/PRF1/TBX21/S1PR5/GNLY/NKG7
504,"ChAd (V2, D1)",Macrophage,Macrophage...504,Macrophage,9,0.7875546842,1.913227657,0.000584907378,0.01567551773,0.01428405386,CellMarker,261,"tags=67%, list=8%, signal=61%",CD274/IFI6/GBP1/STAT1/DHRS9/MARCO
505,"ChAd (V2, D1)",Intermediate monocyte cell,Intermediate monocyte cell...505,Intermediate monocyte cell,3,0.9128382631,1.598088684,0.003940680913,0.08800854038,0.08019631331,CellMarker,280,"tags=100%, list=9%, signal=91%",GBP4/MARCO/APOBEC3A
506,"ChAd (V2, D1)",CD8+ recently activated effector memory or effector T cell (CTL),CD8+ recently activated effector memory or effector T cell (CTL)...506,CD8+ recently activated effector memory or effector T cell (CTL),6,-0.8141732283,-1.829706228,0.005031061679,0.096308895,0.08775987289,CellMarker,597,"tags=100%, list=19%, signal=81%",S1PR1/PRF1/TBX21/S1PR5/FGFBP2
507,"ChAd (V2, D1)",Cytotoxic CD8+ T cell,Cytotoxic CD8+ T cell...507,Cytotoxic CD8+ T cell,3,-0.9122089364,-1.695596938,0.007981023082,0.1336821366,0.1218156155,CellMarker,283,"tags=100%, list=9%, signal=91%",NKG7/FGFBP2
508,"ChAd (V2, D1)",T helper 2(Th2) cell,T helper 2(Th2) cell...508,T helper 2(Th2) cell,3,0.8862523957,1.551545309,0.01044349859,0.1554920902,0.1416895716,CellMarker,33,"tags=67%, list=1%, signal=66%",IFIT3/IFIT2
509,"ChAd (V2, D1)",CD4+ cytotoxic T1 cell,CD4+ cytotoxic T1 cell...509,CD4+ cytotoxic T1 cell,5,-0.8139168766,-1.750098001,0.02433573016,0.2366023919,0.2155999801,CellMarker,597,"tags=100%, list=19%, signal=81%",CD27/PRF1/CCL4/NKG7
510,"ChAd (V2, D1)",Naive CD4+ T cell,Naive CD4+ T cell...510,Naive CD4+ T cell,11,-0.6385780853,-1.69575564,0.02613627425,0.2366023919,0.2155999801,CellMarker,930,"tags=91%, list=29%, signal=65%",NOSIP/ABLIM1/EIF3L/TCF7/CD3E/RPS5/CD27/S1PR1/MAL/TMEM204
511,"ChAd (V2, D1)",Natural killer T(NKT) cell,Natural killer T(NKT) cell...511,Natural killer T(NKT) cell,7,-0.7268431002,-1.683168261,0.02995649796,0.2366023919,0.2155999801,CellMarker,875,"tags=100%, list=28%, signal=73%",STMN1/CD3E/TRAC/KLRD1/NCR3/NKG7
512,"ChAd (V2, D1)",CD8+ T cell,CD8+ T cell...512,CD8+ T cell,15,-0.5842077298,-1.65945909,0.02678161436,0.2366023919,0.2155999801,CellMarker,674,"tags=73%, list=21%, signal=58%",TCF7/CD3G/CD3E/AQP3/CD27/PRF1/CCL4/MAL/CST7/NKG7/FGFBP2
513,"ChAd (V2, D1)",Dendritic cell,Dendritic cell...513,Dendritic cell,9,0.6654643139,1.616630255,0.02665370401,0.2366023919,0.2155999801,CellMarker,137,"tags=44%, list=4%, signal=43%",ISG15/IFI6/IFITM3/IRF7
514,"ChAd (V2, D1)",Memory CD4+ T cell,Memory CD4+ T cell...514,Memory CD4+ T cell,4,-0.8136606862,-1.614395541,0.02130286485,0.2366023919,0.2155999801,CellMarker,597,"tags=100%, list=19%, signal=81%",AQP3/CD27/S1PR1
515,"ChAd (V2, D1)",T helper 1(Th1) cell,T helper 1(Th1) cell...515,T helper 1(Th1) cell,3,-0.8628067967,-1.603769163,0.03001672136,0.2366023919,0.2155999801,CellMarker,440,"tags=100%, list=14%, signal=86%",CXCR3/CCL4
516,"ChAd (V2, D1)",Naive CD8+ T cell,Naive CD8+ T cell...516,Naive CD8+ T cell,26,-0.4748254366,-1.591027644,0.02639064188,0.2366023919,0.2155999801,CellMarker,930,"tags=73%, list=29%, signal=52%",NOSIP/ABLIM1/EIF3L/STMN3/EEF2/THAP7/PIK3IP1/CEP68/RCAN3/TCF7/RACK1/CD3E/APBA2/CD27/S1PR1/MAL/PLEKHB1/TMEM204/NOG
517,"ChAd (V2, D3)",CELLULAR ADAPTIVE IMMUNE SYSTEM,CELLULAR ADAPTIVE IMMUNE SYSTEM...517,CELLULAR ADAPTIVE IMMUNE SYSTEM,6,-0.6323185012,-1.640616376,0.05100251207,0.1719870892,0.1719870892,ImmuneGO,164,"tags=100%, list=38%, signal=63%",SYK/NKAP/S1PR1/KIT/RORC
518,"ChAd (V2, D3)",T CELLS,T CELLS...518,T CELLS,5,-0.6308411215,-1.530619976,0.08599354462,0.1719870892,0.1719870892,ImmuneGO,164,"tags=100%, list=38%, signal=63%",SYK/NKAP/S1PR1/KIT
519,"ChAd (V2, D3)",INNATE IMMUNE SYSTEM,INNATE IMMUNE SYSTEM...519,INNATE IMMUNE SYSTEM,5,0.6887052633,1.433077456,0.07046070461,0.1719870892,0.1719870892,ImmuneGO,56,"tags=60%, list=13%, signal=53%",RAB43/CHGA/CFD
520,"ChAd (V2, D3)",ADAPTIVE IMMUNE SYSTEM,ADAPTIVE IMMUNE SYSTEM...520,ADAPTIVE IMMUNE SYSTEM,9,-0.4689183076,-1.322024107,0.1583710407,0.2375565611,0.2375565611,ImmuneGO,52,"tags=56%, list=12%, signal=50%",LAX1/S1PR1/KIT/CXCR5/RORC
521,"ChAd (V2, D3)",T helper(Th) cell,T helper(Th) cell...521,T helper(Th) cell,2,-0.9535962877,-1.561728285,0.01263847212,0.2279043913,0.2279043913,CellMarker,23,"tags=100%, list=5%, signal=95%",RORC
522,"ChAd (V2, D3)",AXL+SIGLEC6+ dendritic cell,AXL+SIGLEC6+ dendritic cell...522,AXL+SIGLEC6+ dendritic cell,2,-0.8863109049,-1.451533345,0.07259953162,0.2279043913,0.2279043913,CellMarker,52,"tags=100%, list=12%, signal=88%",MRPS6
523,"ChAd (V2, D3)",CD8+ mucosal-associated invariant T cell(CD8+ MAIT),CD8+ mucosal-associated invariant T cell(CD8+ MAIT)...523,CD8+ mucosal-associated invariant T cell(CD8+ MAIT),1,-0.9722222222,-1.300317445,0.06225680934,0.2279043913,0.2279043913,CellMarker,14,"tags=100%, list=3%, signal=97%",
524,"ChAd (V2, D3)",T helper 17(Th17) cell,T helper 17(Th17) cell...524,T helper 17(Th17) cell,1,-0.9722222222,-1.300317445,0.06225680934,0.2279043913,0.2279043913,CellMarker,14,"tags=100%, list=3%, signal=97%",
525,"ChAd (V2, D3)",Follicular cytotoxic CD8+ T cell,Follicular cytotoxic CD8+ T cell...525,Follicular cytotoxic CD8+ T cell,1,-0.9513888889,-1.2724535,0.1108949416,0.2279043913,0.2279043913,CellMarker,23,"tags=100%, list=5%, signal=95%",
526,"ChAd (V2, D3)",Pan-B cell,Pan-B cell...526,Pan-B cell,1,-0.9513888889,-1.2724535,0.1108949416,0.2279043913,0.2279043913,CellMarker,23,"tags=100%, list=5%, signal=95%",
527,"ChAd (V2, D3)",T follicular helper(Tfh) cell,T follicular helper(Tfh) cell...527,T follicular helper(Tfh) cell,1,-0.9513888889,-1.2724535,0.1108949416,0.2279043913,0.2279043913,CellMarker,23,"tags=100%, list=5%, signal=95%",
528,"ChAd (V2, D3)",T helper 1(Th1) cell,T helper 1(Th1) cell...528,T helper 1(Th1) cell,1,-0.9513888889,-1.2724535,0.1108949416,0.2279043913,0.2279043913,CellMarker,23,"tags=100%, list=5%, signal=95%",
529,"ChAd (V2, D3)",Mast cell,Mast cell...529,Mast cell,1,-0.9444444444,-1.263165518,0.1303501946,0.2279043913,0.2279043913,CellMarker,26,"tags=100%, list=6%, signal=94%",
530,"ChAd (V2, D3)",CD4+ recently activated effector memory or effector T cell (CTL),CD4+ recently activated effector memory or effector T cell (CTL)...530,CD4+ recently activated effector memory or effector T cell (CTL),1,-0.9305555556,-1.244589554,0.1595330739,0.2279043913,0.2279043913,CellMarker,32,"tags=100%, list=7%, signal=93%",
531,"ChAd (V2, D3)",CD8+ recently activated effector memory or effector T cell (CTL),CD8+ recently activated effector memory or effector T cell (CTL)...531,CD8+ recently activated effector memory or effector T cell (CTL),1,-0.9305555556,-1.244589554,0.1595330739,0.2279043913,0.2279043913,CellMarker,32,"tags=100%, list=7%, signal=93%",
532,"ChAd (V2, D3)",Memory CD4+ T cell,Memory CD4+ T cell...532,Memory CD4+ T cell,1,-0.9305555556,-1.244589554,0.1595330739,0.2279043913,0.2279043913,CellMarker,32,"tags=100%, list=7%, signal=93%",
533,"ChAd (V2, D3)",Naive CD4+ T cell,Naive CD4+ T cell...533,Naive CD4+ T cell,1,-0.9305555556,-1.244589554,0.1595330739,0.2279043913,0.2279043913,CellMarker,32,"tags=100%, list=7%, signal=93%",
534,"ChAd (V2, D3)",Naive CD8+ T cell,Naive CD8+ T cell...534,Naive CD8+ T cell,1,-0.9305555556,-1.244589554,0.1595330739,0.2279043913,0.2279043913,CellMarker,32,"tags=100%, list=7%, signal=93%",
535,"ChAd-BNT (V2, D3)",ANTIVIRAL AND INTERFERON,ANTIVIRAL AND INTERFERON...535,ANTIVIRAL AND INTERFERON,44,0.6512002213,2.35715247,6.40E-08,7.68E-07,6.07E-07,ImmuneGO,240,"tags=39%, list=6%, signal=37%",CCL8/CCL2/IFI27/GBP1/CCL7/IFIT1/IFIT2/MX1/RAB43/OAS2/CCL1/EIF2AK2/CCL20/IFITM3/STAT1/STAT2/GBP7
536,"ChAd-BNT (V2, D3)",INNATE IMMUNE SYSTEM,INNATE IMMUNE SYSTEM...536,INNATE IMMUNE SYSTEM,171,0.4155902708,1.818570025,1.76E-05,0.0001058082079,8.35E-05,ImmuneGO,416,"tags=24%, list=10%, signal=23%",CCL8/CCL2/IFI27/DEFB1/GBP1/CCL7/IL31RA/IFIT1/CXCL9/IFI6/CFB/BATF2/FCGR1A/IFIT2/APOBEC3A/MX1/RAB43/OAS2/CCL1/EIF2AK2/CCL20/PARP9/IFITM3/IL1RN/MX2/AXL/STAT1/CLEC6A/IL27/STAT2/IFI35/GBP7/HAMP/DDX60/TRIM22/CFD/CYBA/CXCL3/GBP2/GCH1/TAP1
537,"ChAd-BNT (V2, D3)",ARPP,ARPP...537,ARPP,32,0.5250859444,1.772372591,0.003011194817,0.01204477927,0.009509036264,ImmuneGO,1551,"tags=81%, list=36%, signal=52%",FCGR1A/CLEC6A/TAP1/SCIMP/PIK3AP1/ERAP2/TAP2/HLA-DPA1/CASP1/SRC/CD40/CTSS/IFI30/LACC1/SYK/HLA-C/HLA-DMA/RAB10/FCER1G/HLA-DMB/PSMB8/PSME1/HLA-F/RNF135/RELB/BTK
538,"ChAd-BNT (V2, D3)",MACROPHAGES,MACROPHAGES...538,MACROPHAGES,12,0.5631275588,1.49804497,0.05813953488,0.1744186047,0.1376988984,ImmuneGO,258,"tags=25%, list=6%, signal=24%",CCL2/IFI35/HAMP
539,"ChAd-BNT (V2, D3)",CD1C-CD141- dendritic cell,CD1C-CD141- dendritic cell...539,CD1C-CD141- dendritic cell,150,0.5037885004,2.192489083,1.26E-09,1.86E-07,1.70E-07,CellMarker,1735,"tags=77%, list=41%, signal=48%",GBP1/ISG15/IFIT3/IFI6/TNFSF10/IFIT2/APOBEC3A/TYMP/WARS/OAS1/MYOF/IFITM3/GBP5/GBP4/LY6E/FAM26F/DDX60L/DDX60/FCGR2C/MT2A/CFD/MXD3/MARCKS/GPBAR1/DDX58/GBP2/SLC31A2/PSTPIP2/VAMP5/MEFV/NFKBIZ/BLVRA/FAM46A/KDM1B/MS4A4A/DMXL2/APOL6/SCIMP/DUSP6/FCN1/SLC2A6/PIK3AP1/CD300E/HSPA7/TTYH3/IFITM1/TLR2/TCF7L2/STX11/LILRB1/PTGER2/LILRB2/SASH1/CASP1/PNPLA6/CLEC7A/PITPNM1/BACH1/CX3CR1/SCPEP1/C3AR1/WDFY1/LILRA6/SAT1/LRP1/SERPINA1/CD68/FGD4/DRAP1/CTSS/DUSP1/WSB1/SLC7A7/TCIRG1/PILRA/IFI30/NADK/SNX18/CASP4/PIEZO1/HCK/GNS/ZNFX1/KSR1/LYN/UPP1/MS4A7/RAB10/LILRA5/IRF1/LILRA2/AIF1/MCTP1/PSAP/IFNGR2/ALOX5/KIAA0513/DENND5A/RALB/BID/GPR155/ATP1B3/ACOT9/AP2A1/CSF1R/KLF11/ALDH3B1/TBC1D8/FGR/DOK2/RAB24/NFAM1/FYB/TNFRSF14/PLXNC1/CAMKK2
540,"ChAd-BNT (V2, D3)",Classical monocyte,Classical monocyte...540,Classical monocyte,22,0.6752676157,2.112478838,6.65E-05,0.004889326502,0.004481444986,CellMarker,154,"tags=41%, list=4%, signal=40%",IFI44L/ISG15/IFIT3/IFI6/IFIT2/MX1/XAF1/EPSTI1/IFITM3
541,"ChAd-BNT (V2, D3)",Monocyte,Monocyte...541,Monocyte,32,0.5547094255,1.905257703,0.001165027484,0.04281476004,0.03924303104,CellMarker,1453,"tags=81%, list=34%, signal=54%",IFI44L/IL6/ISG15/IFI44/CD38/FGL2/FCN1/MNDA/PLAC8/IFITM1/CD36/STAB1/CD40/CD80/CD68/CD163/MPEG1/VCAN/CREG1/CCR2/CD86/MS4A7/CEBPA/AIF1/CD33/PSAP
542,"ChAd-BNT (V2, D3)",Memory B cell,Memory B cell...542,Memory B cell,6,0.8458927714,1.85965156,0.001110191162,0.04281476004,0.03924303104,CellMarker,331,"tags=83%, list=8%, signal=77%",CD38/AIM2/KLF10/EBI3/TFEC
543,"ChAd-BNT (V2, D3)",CD1C+_B dendritic cell,CD1C+_B dendritic cell...543,CD1C+_B dendritic cell,21,0.6271672088,1.946080026,0.001587643811,0.04667672805,0.0427828227,CellMarker,1346,"tags=90%, list=32%, signal=62%",CES1P1/IL1RN/EREG/CES1/NLRP3/ASGR1/FCN1/MNDA/RNASE2/NAIP/NOD2/CD36/CD163/PTAFR/VCAN/HBEGF/AOAH/BST1/PLBD1
544,"ChAd-BNT (V2, D3)",Memory CD4+ T cell,Memory CD4+ T cell...544,Memory CD4+ T cell,8,-0.7221067356,-2.035194487,0.003820816587,0.09361000637,0.08580079352,CellMarker,971,"tags=88%, list=23%, signal=68%",CD3E/CD3D/IL7R/CCR7/GZMK/S1PR1/CCR6
545,"ChAd-BNT (V2, D3)",Natural killer T(NKT) cell,Natural killer T(NKT) cell...545,Natural killer T(NKT) cell,5,-0.7733677783,-1.836512717,0.01082164507,0.1988477282,0.1822592854,CellMarker,971,"tags=100%, list=23%, signal=77%",CD3D/CD8A/NKG7/KLRB1
546,"ChAd-BNT (V2, D3)",Intermediate monocyte cell,Intermediate monocyte cell...546,Intermediate monocyte cell,3,0.8786384977,1.588194306,0.01000554494,0.1988477282,0.1822592854,CellMarker,520,"tags=100%, list=12%, signal=88%",APOBEC3A/GBP4/MARCO
547,"ChAd-BNT (V2, D7)",INNATE IMMUNE SYSTEM,INNATE IMMUNE SYSTEM...547,INNATE IMMUNE SYSTEM,154,-0.5664142576,-2.072390641,0.0009059524134,0.01087142896,0.007629072955,ImmuneGO,968,"tags=46%, list=18%, signal=39%",PDE4B/RELB/SPI1/STAT1/CXCR4/AIF1/LILRA2/FCER1G/TICAM1/IFNGR2/ARID5A/LILRA5/SFTPD/RNF19B/S100A12/IL27/SLC15A3/NFKBIA/IFI30/IFITM2/GBP1/IFI6/SRC/VNN1/TLR4/CSF1/CD55/IFNGR1/C5AR1/IL15/NLRP6/IFITM3/FOSL1/FCAR/IRF1/TREML4/MPL/FCGR1A/CCL4/PBX1/PTX3/CEBPB/BATF2/TRIM58/IL1RN/SNCA/CCR1/CCL3L1/IFIT2/TRIM40/IL12B/CCL3/CLU/CCL20/IFIT1/CCL8/CXCL2/WFDC3/CXCL3/TREML1/CCL2/CXCL5/PF4V1/CXCL8/CXCR2/BPIFB3/CXCL6/CXCR1/CCL7/CXCL1/PI3
548,"ChAd-BNT (V2, D7)",ANTIVIRAL AND INTERFERON,ANTIVIRAL AND INTERFERON...548,ANTIVIRAL AND INTERFERON,37,-0.67508086,-2.083585525,0.01422252225,0.08533513351,0.05988430422,ImmuneGO,950,"tags=57%, list=18%, signal=47%",STAT1/AIF1/IFNGR2/IFITM2/GBP1/TLR4/IFNGR1/NLRP6/IFITM3/FCAR/IRF1/CCL4/CCL3L1/IFIT2/IL12B/CCL3/CCL20/IFIT1/CCL8/CCL2/CCL7
549,"ChAd-BNT (V2, D7)",DENDRITIC CELLS,DENDRITIC CELLS...549,DENDRITIC CELLS,13,-0.6711739717,-1.722178612,0.04113924051,0.128990228,0.09051945825,ImmuneGO,967,"tags=54%, list=18%, signal=44%",RELB/SPI1/CXCR4/BATF2/CCR1/CXCR2/CXCR1
550,"ChAd-BNT (V2, D7)",MACROPHAGES,MACROPHAGES...550,MACROPHAGES,11,-0.6518067262,-1.600825302,0.05374592834,0.128990228,0.09051945825,ImmuneGO,1597,"tags=91%, list=30%, signal=64%",B4GALT1/LGALS3/JMJD6/FCGR3A/TICAM1/SFTPD/TLR4/CSF1/CCL3/CCL2
551,"ChAd-BNT (V2, D7)",INFLAMMATION,INFLAMMATION...551,INFLAMMATION,5,-0.7798325196,-1.554429028,0.0472027972,0.128990228,0.09051945825,ImmuneGO,567,"tags=60%, list=11%, signal=54%",NLRP6/IL1RN/CXCR2
552,"ChAd-BNT (V2, D7)",HUMORAL ADAPTIVE IMMUNE SYSTEM,HUMORAL ADAPTIVE IMMUNE SYSTEM...552,HUMORAL ADAPTIVE IMMUNE SYSTEM,22,-0.5671117616,-1.635166248,0.06758832565,0.1351766513,0.09486080793,ImmuneGO,1279,"tags=59%, list=24%, signal=45%",NFKB2/LGALS1/HCK/SPI1/FCER1G/LFNG/SRC/BCL3/BCL6/MPL/PBX1/PTX3/EPB42
553,"ChAd-BNT (V2, D7)",ADAPTIVE IMMUNE SYSTEM,ADAPTIVE IMMUNE SYSTEM...553,ADAPTIVE IMMUNE SYSTEM,124,-0.4124576118,-1.475577217,0.136307311,0.2079545455,0.1459330144,ImmuneGO,1633,"tags=53%, list=30%, signal=38%",VAV2/FKBP1A/TFE3/GRB2/CRTAM/B2M/PDE4D/BCL10/TNFAIP8L2/PPP3CA/PTGER4/CRK/CD86/S1PR1/LILRB2/JMJD6/NFKB2/CASP3/LGALS1/TNFAIP3/ZBTB7A/PPP2CA/HCK/NFAM1/CD151/THEMIS2/CXCR5/PDE4B/RELB/SPI1/PIK3R1/FCER1G/TICAM1/NFKBID/SKIL/RNF19B/NRARP/NFKBIA/LFNG/FKBP1B/SRC/TLR4/BCL3/EGR1/IL15/BCL6/IDO1/IRF1/TNFSF4/MPL/RAP1GAP/CCL4/PBX1/CD83/PTX3/CEBPB/CCL3L1/IL12B/CCL3/CCL20/CCL8/CCL2/ADGRG3/BTNL8/EPB42/CCL7
554,"ChAd-BNT (V2, D7)",CELLULAR ADAPTIVE IMMUNE SYSTEM,CELLULAR ADAPTIVE IMMUNE SYSTEM...554,CELLULAR ADAPTIVE IMMUNE SYSTEM,81,-0.4051073439,-1.388119018,0.1666666667,0.2079545455,0.1459330144,ImmuneGO,1565,"tags=51%, list=29%, signal=36%",CRTAM/B2M/PDE4D/BCL10/TNFAIP8L2/PPP3CA/PTGER4/CRK/CD86/S1PR1/JMJD6/CASP3/LGALS1/PPP2CA/CD151/THEMIS2/PDE4B/RELB/PIK3R1/FCER1G/NFKBID/NRARP/LFNG/FKBP1B/SRC/TLR4/BCL3/EGR1/IL15/BCL6/IDO1/IRF1/TNFSF4/PBX1/CD83/CEBPB/IL12B/CCL3/CCL20/CCL2/BTNL8
555,"ChAd-BNT (V2, D7)",B CELLS,B CELLS...555,B CELLS,41,-0.4190824609,-1.313713689,0.164244186,0.2079545455,0.1459330144,ImmuneGO,1633,"tags=56%, list=30%, signal=39%",VAV2/GRB2/BCL10/CD86/CASP3/TNFAIP3/ZBTB7A/HCK/NFAM1/CXCR5/SPI1/PIK3R1/FCER1G/TICAM1/NFKBIA/LFNG/SRC/TLR4/BCL3/BCL6/MPL/PTX3/ADGRG3
556,"ChAd-BNT (V2, D7)",T CELLS,T CELLS...556,T CELLS,71,-0.3837591071,-1.29737698,0.1864864865,0.2079545455,0.1459330144,ImmuneGO,1896,"tags=61%, list=35%, signal=40%",SP3/TNFSF8/PIK3CG/PSEN1/UBE2N/CTNNB1/LEPR/FKBP1A/CRTAM/B2M/PDE4D/BCL10/TNFAIP8L2/PPP3CA/CRK/CD86/S1PR1/JMJD6/CASP3/LGALS1/PPP2CA/CD151/THEMIS2/PDE4B/PIK3R1/FCER1G/NFKBID/NRARP/LFNG/FKBP1B/SRC/EGR1/IL15/BCL6/IDO1/IRF1/TNFSF4/CD83/IL12B/CCL3/CCL20/CCL2/BTNL8
557,"ChAd-BNT (V2, D7)",ARPP,ARPP...557,ARPP,27,-0.4230152513,-1.235362085,0.190625,0.2079545455,0.1459330144,ImmuneGO,2343,"tags=85%, list=44%, signal=48%",RAB4A/RAB6A/PSME1/MAPKAPK2/RNF135/PDIA3/HLA-E/HLA-DPA1/HLA-DMB/CASP1/B2M/BCL10/TNFAIP3/CD14/RELB/FCER1G/TICAM1/NFKBIA/IFI30/SRC/TLR4/FOSL1/FCGR1A
558,"ChAd-BNT (V2, D7)",CD1C-CD141- dendritic cell,CD1C-CD141- dendritic cell...558,CD1C-CD141- dendritic cell,137,-0.6385731044,-2.331866774,6.64E-05,0.002944930409,0.002680387788,CellMarker,1522,"tags=80%, list=28%, signal=59%",ASAH1/RHOC/RALB/MTSS1/TMBIM1/CPPED1/ALDH3B1/RAB24/PSAP/CHST15/DENND3/PTGER4/PYGL/LGALS3/S100A4/LILRB2/MCTP1/GBP2/NCF2/P2RX1/RASGRP4/ZEB2/ITM2B/DOK3/CD300LF/HCK/TMEM154/NFAM1/SWAP70/FCGR3A/PECAM1/HSBP1/VAMP5/BID/CYTIP/TESC/SLC2A6/GIMAP7/VASP/HMOX1/RNF149/TYROBP/CLEC7A/PILRA/WARS/FTL/CCPG1/TCF7L2/FAM110A/TLR2/AIF1/TNFRSF1B/CDC42EP3/LILRA2/BACH1/MPP1/STX11/IFNGR2/LILRA5/CD300E/L1TD1/LST1/LYN/TIMP1/SERPINA1/ICAM4/SAMSN1/VMP1/INSIG1/TUBA1A/IFI30/PLEKHO2/LRRC25/MS4A4A/IFITM2/GBP1/IFI6/S100A11/PELI1/SLC31A2/TLR4/RNF144B/SAT1/FCGR2A/FTH1/C5AR1/SLA/LOC200772/SDCBP/NINJ1/GLUL/IFITM3/C3AR1/FCAR/IRF1/CXCL16/CDKN1C/CKB/ABCC3/MARCKS/FPR1/BCL2A1/MAFB/SOD2/P2RY13/DUSP6/IFIT2/IFIT3/NAMPT/FCGR3B
559,"ChAd-BNT (V2, D7)",Plasma cell,Plasma cell...559,Plasma cell,5,0.9124346527,1.996754383,4.53E-05,0.002944930409,0.002680387788,CellMarker,474,"tags=100%, list=9%, signal=91%",SDC1/MZB1/JCHAIN/CD38/CD27
560,"ChAd-BNT (V2, D7)",Dividing plasma B cell,Dividing plasma B cell...560,Dividing plasma B cell,3,0.9682717432,1.773285301,4.71E-05,0.002944930409,0.002680387788,CellMarker,173,"tags=100%, list=3%, signal=97%",MZB1/MKI67/CD38
561,"ChAd-BNT (V2, D7)",Granulocyte-monocyte progenitor,Granulocyte-monocyte progenitor...561,Granulocyte-monocyte progenitor,40,0.4951258621,2.046972598,0.0002618161754,0.008705387833,0.007923384257,CellMarker,695,"tags=45%, list=13%, signal=39%",SKA3/ASPM/MYBL2/MCM10/KIAA0101/CD38/CP/TTK/CLSPN/SHCBP1/EPX/CDKN3/MCM4/NUF2/RAD51AP1/UHRF1/CCNE2/PTPN14
562,"ChAd-BNT (V2, D7)",Plasmablast,Plasmablast...562,Plasmablast,4,0.912264327,1.841363126,0.000413717177,0.01100487691,0.0100163106,CellMarker,474,"tags=100%, list=9%, signal=91%",MZB1/TNFRSF17/CD38/CD27
