condition,direction,term_ancestor,n_genes,n_genes_total,n_genes_perc
Smallpox/LA (D10),NEUTRAL,Interspecies interaction,1,15,6.7
Smallpox/LA (D10),NEUTRAL,Metabolism,9,15,60
Smallpox/LA (D10),NEUTRAL,Reg. of BP,10,15,66.7
Smallpox/LA (D10),UP,Cellular,1,1,100
Smallpox/LA (D10),UP,Immune system,1,1,100
Smallpox/LA (D10),UP,Interspecies interaction,1,1,100
Smallpox/LA (D10),UP,Reg. of BP,1,1,100
Smallpox/LA (D13),DOWN,Cellular,2,2,100
Smallpox/LA (D13),DOWN,Immune system,1,2,50
Smallpox/LA (D13),DOWN,Interspecies interaction,1,2,50
Smallpox/LA (D13),DOWN,Metabolism,1,2,50
Smallpox/LA (D13),DOWN,Reg. of BP,2,2,100
Smallpox/LA (D13),NEUTRAL,Cellular,22,24,91.7
Smallpox/LA (D13),NEUTRAL,Immune system,4,24,16.7
Smallpox/LA (D13),NEUTRAL,Interspecies interaction,2,24,8.3
Smallpox/LA (D13),NEUTRAL,Metabolism,16,24,66.7
Smallpox/LA (D13),NEUTRAL,Not mapped,1,24,4.2
Smallpox/LA (D13),NEUTRAL,Reg. of BP,18,24,75
Smallpox/LA (D13),UP,Cellular,3,3,100
Smallpox/LA (D13),UP,Immune system,3,3,100
Smallpox/LA (D13),UP,Interspecies interaction,1,3,33.3
Smallpox/LA (D13),UP,Reg. of BP,3,3,100
Smallpox/LA (D21),DOWN,Cellular,2,2,100
Smallpox/LA (D21),DOWN,Immune system,1,2,50
Smallpox/LA (D21),DOWN,Interspecies interaction,1,2,50
Smallpox/LA (D21),DOWN,Reg. of BP,1,2,50
Smallpox/LA (D21),NEUTRAL,Cellular,21,23,91.3
Smallpox/LA (D21),NEUTRAL,Immune system,4,23,17.4
Smallpox/LA (D21),NEUTRAL,Interspecies interaction,4,23,17.4
Smallpox/LA (D21),NEUTRAL,Metabolism,17,23,73.9
Smallpox/LA (D21),NEUTRAL,Not mapped,1,23,4.3
Smallpox/LA (D21),NEUTRAL,Reg. of BP,12,23,52.2
Smallpox/LA (D3),NEUTRAL,Cellular,18,18,100
Smallpox/LA (D3),NEUTRAL,Immune system,3,18,16.7
Smallpox/LA (D3),NEUTRAL,Interspecies interaction,4,18,22.2
Smallpox/LA (D3),NEUTRAL,Metabolism,14,18,77.8
Smallpox/LA (D3),NEUTRAL,Reg. of BP,12,18,66.7
Smallpox/LA (D3),UP,Not mapped,1,1,100
Smallpox/LA (D7),DOWN,Cellular,1,1,100
Smallpox/LA (D7),DOWN,Immune system,1,1,100
Smallpox/LA (D7),DOWN,Interspecies interaction,1,1,100
Smallpox/LA (D7),DOWN,Metabolism,1,1,100
Smallpox/LA (D7),DOWN,Reg. of BP,1,1,100
Smallpox/LA (D7),NEUTRAL,Cellular,9,11,81.8
Smallpox/LA (D7),NEUTRAL,Immune system,2,11,18.2
Smallpox/LA (D7),NEUTRAL,Interspecies interaction,2,11,18.2
Smallpox/LA (D7),NEUTRAL,Metabolism,10,11,90.9
Smallpox/LA (D7),NEUTRAL,Not mapped,1,11,9.1
Smallpox/LA (D7),NEUTRAL,Reg. of BP,8,11,72.7
Tuberculosis/VV (D2),NEUTRAL,Cellular,240,263,91.3
Tuberculosis/VV (D2),NEUTRAL,Immune system,42,263,16
Tuberculosis/VV (D2),NEUTRAL,Interspecies interaction,30,263,11.4
Tuberculosis/VV (D2),NEUTRAL,Metabolism,198,263,75.3
Tuberculosis/VV (D2),NEUTRAL,Not mapped,17,263,6.5
Tuberculosis/VV (D2),NEUTRAL,Reg. of BP,178,263,67.7
Tuberculosis/VV (D2),UP,Cellular,22,26,84.6
Tuberculosis/VV (D2),UP,Immune system,8,26,30.8
Tuberculosis/VV (D2),UP,Interspecies interaction,7,26,26.9
Tuberculosis/VV (D2),UP,Metabolism,18,26,69.2
Tuberculosis/VV (D2),UP,Not mapped,2,26,7.7
Tuberculosis/VV (D2),UP,Reg. of BP,18,26,69.2
Tuberculosis/VV (D7),NEUTRAL,Cellular,43,45,95.6
Tuberculosis/VV (D7),NEUTRAL,Immune system,9,45,20
Tuberculosis/VV (D7),NEUTRAL,Interspecies interaction,4,45,8.9
Tuberculosis/VV (D7),NEUTRAL,Metabolism,29,45,64.4
Tuberculosis/VV (D7),NEUTRAL,Not mapped,2,45,4.4
Tuberculosis/VV (D7),NEUTRAL,Reg. of BP,32,45,71.1
Tuberculosis/VV (D7),UP,Cellular,11,11,100
Tuberculosis/VV (D7),UP,Immune system,2,11,18.2
Tuberculosis/VV (D7),UP,Metabolism,10,11,90.9
Tuberculosis/VV (D7),UP,Reg. of BP,9,11,81.8
Varicella Zoster/LA (D1),NEUTRAL,Cellular,47,54,87
Varicella Zoster/LA (D1),NEUTRAL,Immune system,18,54,33.3
Varicella Zoster/LA (D1),NEUTRAL,Interspecies interaction,9,54,16.7
Varicella Zoster/LA (D1),NEUTRAL,Metabolism,29,54,53.7
Varicella Zoster/LA (D1),NEUTRAL,Not mapped,6,54,11.1
Varicella Zoster/LA (D1),NEUTRAL,Reg. of BP,37,54,68.5
Varicella Zoster/LA (D3),DOWN,Cellular,1,1,100
Varicella Zoster/LA (D3),DOWN,Immune system,1,1,100
Varicella Zoster/LA (D3),DOWN,Interspecies interaction,1,1,100
Varicella Zoster/LA (D3),DOWN,Reg. of BP,1,1,100
Varicella Zoster/LA (D3),NEUTRAL,Cellular,40,44,90.9
Varicella Zoster/LA (D3),NEUTRAL,Immune system,9,44,20.5
Varicella Zoster/LA (D3),NEUTRAL,Interspecies interaction,6,44,13.6
Varicella Zoster/LA (D3),NEUTRAL,Metabolism,31,44,70.5
Varicella Zoster/LA (D3),NEUTRAL,Not mapped,2,44,4.5
Varicella Zoster/LA (D3),NEUTRAL,Reg. of BP,34,44,77.3
Varicella Zoster/LA (D7),NEUTRAL,Cellular,54,59,91.5
Varicella Zoster/LA (D7),NEUTRAL,Immune system,8,59,13.6
Varicella Zoster/LA (D7),NEUTRAL,Interspecies interaction,6,59,10.2
Varicella Zoster/LA (D7),NEUTRAL,Metabolism,37,59,62.7
Varicella Zoster/LA (D7),NEUTRAL,Not mapped,2,59,3.4
Varicella Zoster/LA (D7),NEUTRAL,Reg. of BP,39,59,66.1
Yellow Fever/LA (D1),DOWN,Cellular,25,25,100
Yellow Fever/LA (D1),DOWN,Immune system,14,25,56
Yellow Fever/LA (D1),DOWN,Interspecies interaction,12,25,48
Yellow Fever/LA (D1),DOWN,Metabolism,21,25,84
Yellow Fever/LA (D1),DOWN,Reg. of BP,25,25,100
Yellow Fever/LA (D1),NEUTRAL,Cellular,1734,1877,92.4
Yellow Fever/LA (D1),NEUTRAL,Immune system,363,1877,19.3
Yellow Fever/LA (D1),NEUTRAL,Interspecies interaction,248,1877,13.2
Yellow Fever/LA (D1),NEUTRAL,Metabolism,1379,1877,73.5
Yellow Fever/LA (D1),NEUTRAL,Not mapped,99,1877,5.3
Yellow Fever/LA (D1),NEUTRAL,Reg. of BP,1281,1877,68.2
Yellow Fever/LA (D10),NEUTRAL,Cellular,205,218,94
Yellow Fever/LA (D10),NEUTRAL,Immune system,47,218,21.6
Yellow Fever/LA (D10),NEUTRAL,Interspecies interaction,33,218,15.1
Yellow Fever/LA (D10),NEUTRAL,Metabolism,158,218,72.5
Yellow Fever/LA (D10),NEUTRAL,Not mapped,7,218,3.2
Yellow Fever/LA (D10),NEUTRAL,Reg. of BP,150,218,68.8
Yellow Fever/LA (D10),UP,Cellular,49,53,92.5
Yellow Fever/LA (D10),UP,Immune system,21,53,39.6
Yellow Fever/LA (D10),UP,Interspecies interaction,21,53,39.6
Yellow Fever/LA (D10),UP,Metabolism,30,53,56.6
Yellow Fever/LA (D10),UP,Not mapped,1,53,1.9
Yellow Fever/LA (D10),UP,Reg. of BP,44,53,83
Yellow Fever/LA (D14),NEUTRAL,Cellular,779,839,92.8
Yellow Fever/LA (D14),NEUTRAL,Immune system,202,839,24.1
Yellow Fever/LA (D14),NEUTRAL,Interspecies interaction,144,839,17.2
Yellow Fever/LA (D14),NEUTRAL,Metabolism,592,839,70.6
Yellow Fever/LA (D14),NEUTRAL,Not mapped,38,839,4.5
Yellow Fever/LA (D14),NEUTRAL,Reg. of BP,580,839,69.1
Yellow Fever/LA (D14),UP,Cellular,8,8,100
Yellow Fever/LA (D14),UP,Immune system,4,8,50
Yellow Fever/LA (D14),UP,Interspecies interaction,2,8,25
Yellow Fever/LA (D14),UP,Metabolism,7,8,87.5
Yellow Fever/LA (D14),UP,Reg. of BP,6,8,75
Yellow Fever/LA (D2),DOWN,Cellular,23,23,100
Yellow Fever/LA (D2),DOWN,Immune system,12,23,52.2
Yellow Fever/LA (D2),DOWN,Interspecies interaction,10,23,43.5
Yellow Fever/LA (D2),DOWN,Metabolism,20,23,87
Yellow Fever/LA (D2),DOWN,Reg. of BP,23,23,100
Yellow Fever/LA (D2),NEUTRAL,Cellular,397,437,90.8
Yellow Fever/LA (D2),NEUTRAL,Immune system,88,437,20.1
Yellow Fever/LA (D2),NEUTRAL,Interspecies interaction,61,437,14
Yellow Fever/LA (D2),NEUTRAL,Metabolism,337,437,77.1
Yellow Fever/LA (D2),NEUTRAL,Not mapped,24,437,5.5
Yellow Fever/LA (D2),NEUTRAL,Reg. of BP,315,437,72.1
Yellow Fever/LA (D2),UP,Cellular,9,10,90
Yellow Fever/LA (D2),UP,Immune system,8,10,80
Yellow Fever/LA (D2),UP,Interspecies interaction,7,10,70
Yellow Fever/LA (D2),UP,Metabolism,6,10,60
Yellow Fever/LA (D2),UP,Reg. of BP,9,10,90
Yellow Fever/LA (D21),DOWN,Cellular,8,8,100
Yellow Fever/LA (D21),DOWN,Immune system,2,8,25
Yellow Fever/LA (D21),DOWN,Interspecies interaction,1,8,12.5
Yellow Fever/LA (D21),DOWN,Metabolism,8,8,100
Yellow Fever/LA (D21),DOWN,Reg. of BP,7,8,87.5
Yellow Fever/LA (D21),NEUTRAL,Cellular,163,185,88.1
Yellow Fever/LA (D21),NEUTRAL,Immune system,21,185,11.4
Yellow Fever/LA (D21),NEUTRAL,Interspecies interaction,16,185,8.6
Yellow Fever/LA (D21),NEUTRAL,Metabolism,142,185,76.8
Yellow Fever/LA (D21),NEUTRAL,Not mapped,12,185,6.5
Yellow Fever/LA (D21),NEUTRAL,Reg. of BP,110,185,59.5
Yellow Fever/LA (D21),UP,Cellular,21,22,95.5
Yellow Fever/LA (D21),UP,Immune system,4,22,18.2
Yellow Fever/LA (D21),UP,Interspecies interaction,3,22,13.6
Yellow Fever/LA (D21),UP,Metabolism,18,22,81.8
Yellow Fever/LA (D21),UP,Not mapped,1,22,4.5
Yellow Fever/LA (D21),UP,Reg. of BP,11,22,50
Yellow Fever/LA (D28),NEUTRAL,Cellular,961,1030,93.3
Yellow Fever/LA (D28),NEUTRAL,Immune system,226,1030,21.9
Yellow Fever/LA (D28),NEUTRAL,Interspecies interaction,148,1030,14.4
Yellow Fever/LA (D28),NEUTRAL,Metabolism,743,1030,72.1
Yellow Fever/LA (D28),NEUTRAL,Not mapped,41,1030,4
Yellow Fever/LA (D28),NEUTRAL,Reg. of BP,707,1030,68.6
Yellow Fever/LA (D3),NEUTRAL,Cellular,698,754,92.6
Yellow Fever/LA (D3),NEUTRAL,Immune system,217,754,28.8
Yellow Fever/LA (D3),NEUTRAL,Interspecies interaction,158,754,21
Yellow Fever/LA (D3),NEUTRAL,Metabolism,538,754,71.4
Yellow Fever/LA (D3),NEUTRAL,Not mapped,35,754,4.6
Yellow Fever/LA (D3),NEUTRAL,Reg. of BP,545,754,72.3
Yellow Fever/LA (D3),UP,Cellular,18,22,81.8
Yellow Fever/LA (D3),UP,Immune system,17,22,77.3
Yellow Fever/LA (D3),UP,Interspecies interaction,19,22,86.4
Yellow Fever/LA (D3),UP,Metabolism,12,22,54.5
Yellow Fever/LA (D3),UP,Not mapped,1,22,4.5
Yellow Fever/LA (D3),UP,Reg. of BP,18,22,81.8
Yellow Fever/LA (D5),DOWN,Cellular,7,7,100
Yellow Fever/LA (D5),DOWN,Immune system,5,7,71.4
Yellow Fever/LA (D5),DOWN,Interspecies interaction,5,7,71.4
Yellow Fever/LA (D5),DOWN,Metabolism,5,7,71.4
Yellow Fever/LA (D5),DOWN,Reg. of BP,7,7,100
Yellow Fever/LA (D5),NEUTRAL,Cellular,205,217,94.5
Yellow Fever/LA (D5),NEUTRAL,Immune system,38,217,17.5
Yellow Fever/LA (D5),NEUTRAL,Interspecies interaction,28,217,12.9
Yellow Fever/LA (D5),NEUTRAL,Metabolism,172,217,79.3
Yellow Fever/LA (D5),NEUTRAL,Not mapped,8,217,3.7
Yellow Fever/LA (D5),NEUTRAL,Reg. of BP,147,217,67.7
Yellow Fever/LA (D60),NEUTRAL,Cellular,35,40,87.5
Yellow Fever/LA (D60),NEUTRAL,Immune system,7,40,17.5
Yellow Fever/LA (D60),NEUTRAL,Interspecies interaction,5,40,12.5
Yellow Fever/LA (D60),NEUTRAL,Metabolism,27,40,67.5
Yellow Fever/LA (D60),NEUTRAL,Not mapped,3,40,7.5
Yellow Fever/LA (D60),NEUTRAL,Reg. of BP,26,40,65
Yellow Fever/LA (D7),NEUTRAL,Cellular,1916,2055,93.2
Yellow Fever/LA (D7),NEUTRAL,Immune system,424,2055,20.6
Yellow Fever/LA (D7),NEUTRAL,Interspecies interaction,303,2055,14.7
Yellow Fever/LA (D7),NEUTRAL,Metabolism,1513,2055,73.6
Yellow Fever/LA (D7),NEUTRAL,Not mapped,82,2055,4
Yellow Fever/LA (D7),NEUTRAL,Reg. of BP,1405,2055,68.4
Yellow Fever/LA (D7),UP,Cellular,40,47,85.1
Yellow Fever/LA (D7),UP,Immune system,33,47,70.2
Yellow Fever/LA (D7),UP,Interspecies interaction,36,47,76.6
Yellow Fever/LA (D7),UP,Metabolism,27,47,57.4
Yellow Fever/LA (D7),UP,Not mapped,3,47,6.4
Yellow Fever/LA (D7),UP,Reg. of BP,38,47,80.9
Yellow Fever/LA (D84),DOWN,Cellular,1,1,100
Yellow Fever/LA (D84),DOWN,Metabolism,1,1,100
Yellow Fever/LA (D84),DOWN,Reg. of BP,1,1,100
Yellow Fever/LA (D84),NEUTRAL,Cellular,588,640,91.9
Yellow Fever/LA (D84),NEUTRAL,Immune system,142,640,22.2
Yellow Fever/LA (D84),NEUTRAL,Interspecies interaction,96,640,15
Yellow Fever/LA (D84),NEUTRAL,Metabolism,466,640,72.8
Yellow Fever/LA (D84),NEUTRAL,Not mapped,26,640,4.1
Yellow Fever/LA (D84),NEUTRAL,Reg. of BP,435,640,68
Yellow Fever/LA (D84),UP,Cellular,3,4,75
Yellow Fever/LA (D84),UP,Interspecies interaction,1,4,25
Yellow Fever/LA (D84),UP,Metabolism,4,4,100
Yellow Fever/LA (D84),UP,Reg. of BP,3,4,75
"ZF2001 (V3, D07)",DOWN,Cellular,118,133,88.7
"ZF2001 (V3, D07)",DOWN,Immune system,60,133,45.1
"ZF2001 (V3, D07)",DOWN,Interspecies interaction,47,133,35.3
"ZF2001 (V3, D07)",DOWN,Metabolism,89,133,66.9
"ZF2001 (V3, D07)",DOWN,Not mapped,11,133,8.3
"ZF2001 (V3, D07)",DOWN,Reg. of BP,103,133,77.4
"ZF2001 (V3, D07)",NEUTRAL,Cellular,3049,3486,87.5
"ZF2001 (V3, D07)",NEUTRAL,Immune system,521,3486,14.9
"ZF2001 (V3, D07)",NEUTRAL,Interspecies interaction,342,3486,9.8
"ZF2001 (V3, D07)",NEUTRAL,Metabolism,2335,3486,67
"ZF2001 (V3, D07)",NEUTRAL,Not mapped,332,3486,9.5
"ZF2001 (V3, D07)",NEUTRAL,Reg. of BP,2138,3486,61.3
"ZF2001 (V3, D07)",UP,Cellular,1969,2444,80.6
"ZF2001 (V3, D07)",UP,Immune system,179,2444,7.3
"ZF2001 (V3, D07)",UP,Interspecies interaction,125,2444,5.1
"ZF2001 (V3, D07)",UP,Metabolism,1104,2444,45.2
"ZF2001 (V3, D07)",UP,Not mapped,406,2444,16.6
"ZF2001 (V3, D07)",UP,Reg. of BP,1453,2444,59.5
"ZF2001 (V3, D14)",DOWN,Cellular,61,73,83.6
"ZF2001 (V3, D14)",DOWN,Immune system,17,73,23.3
"ZF2001 (V3, D14)",DOWN,Interspecies interaction,12,73,16.4
"ZF2001 (V3, D14)",DOWN,Metabolism,41,73,56.2
"ZF2001 (V3, D14)",DOWN,Not mapped,12,73,16.4
"ZF2001 (V3, D14)",DOWN,Reg. of BP,39,73,53.4
"ZF2001 (V3, D14)",NEUTRAL,Cellular,2288,2683,85.3
"ZF2001 (V3, D14)",NEUTRAL,Immune system,370,2683,13.8
"ZF2001 (V3, D14)",NEUTRAL,Interspecies interaction,241,2683,9
"ZF2001 (V3, D14)",NEUTRAL,Metabolism,1750,2683,65.2
"ZF2001 (V3, D14)",NEUTRAL,Not mapped,307,2683,11.4
"ZF2001 (V3, D14)",NEUTRAL,Reg. of BP,1578,2683,58.8
"ZF2001 (V3, D14)",UP,Cellular,355,459,77.3
"ZF2001 (V3, D14)",UP,Immune system,30,459,6.5
"ZF2001 (V3, D14)",UP,Interspecies interaction,17,459,3.7
"ZF2001 (V3, D14)",UP,Metabolism,205,459,44.7
"ZF2001 (V3, D14)",UP,Not mapped,90,459,19.6
"ZF2001 (V3, D14)",UP,Reg. of BP,251,459,54.7
"ZF2001 (V3, D28)",DOWN,Cellular,73,94,77.7
"ZF2001 (V3, D28)",DOWN,Immune system,21,94,22.3
"ZF2001 (V3, D28)",DOWN,Interspecies interaction,15,94,16
"ZF2001 (V3, D28)",DOWN,Metabolism,42,94,44.7
"ZF2001 (V3, D28)",DOWN,Not mapped,18,94,19.1
"ZF2001 (V3, D28)",DOWN,Reg. of BP,53,94,56.4
"ZF2001 (V3, D28)",NEUTRAL,Cellular,1312,1535,85.5
"ZF2001 (V3, D28)",NEUTRAL,Immune system,199,1535,13
"ZF2001 (V3, D28)",NEUTRAL,Interspecies interaction,128,1535,8.3
"ZF2001 (V3, D28)",NEUTRAL,Metabolism,1018,1535,66.3
"ZF2001 (V3, D28)",NEUTRAL,Not mapped,174,1535,11.3
"ZF2001 (V3, D28)",NEUTRAL,Reg. of BP,900,1535,58.6
"ZF2001 (V3, D28)",UP,Cellular,100,133,75.2
"ZF2001 (V3, D28)",UP,Immune system,15,133,11.3
"ZF2001 (V3, D28)",UP,Interspecies interaction,3,133,2.3
"ZF2001 (V3, D28)",UP,Metabolism,62,133,46.6
"ZF2001 (V3, D28)",UP,Not mapped,27,133,20.3
"ZF2001 (V3, D28)",UP,Reg. of BP,82,133,61.7
