Cond1	Cond2	Shared	NotShared_cond1	NotShared_cond2	Total_Genes_Cond1	Total_Genes_Cond2	Genes_Names	Percentage_Shared_Cond1	Percentage_Shared_Cond2	pvalue	qvalue	log_q
BNT-I (D26, mild)	BNT (V2, D1)	2	112	356	114	358	MARCO, CCL2	1.75	0.56	1.2315183912620397e-107	2.4131158169777197e-106	105.61742183372
BNT-I (D26, severe)	BNT (V2, D1)	1	113	78	114	79	RIPK2	0.88	1.27	6.40995892792424e-54	1.76626167928283e-53	52.7529449533918
BNT-I (D3)	BNT (V2, D1)	10	104	100	114	110	SECTM1, EDNRB, IRF1, CXCL17, GBP2, FCGR1A, SFRP1, GBP6, GBP5, CEACAM1	8.77	9.09	6.16132190315632e-50	1.49870331075022e-49	48.8242843333005
BNT-I (D4)	BNT (V2, D1)	0	114	22	114	22	NA	0	0	7.81341756247174e-26	1.14349366064551e-25	24.9417662387129
BNT-I-BNT (D51, mild)	BNT (V2, D1)	0	114	67	114	67	NA	0	0	2.55117901378314e-51	6.33668850412063e-51	50.1981376411889
BNT-I-BNT (D51, severe)	BNT (V2, D1)	0	114	15	114	15	NA	0	0	6.686390679716999e-20	8.04885118048693e-20	19.094266102437
BNT-MO (V3, D1)	BNT (V2, D1)	100	14	95	114	195	IFIT1, IFIT3, OAS2, ACOD1, FAS, CLEC6A, ZBP1, BATF2, SECTM1, MX1, IL27, IL31RA, IL36A, AIM2, BST2, STAT1, STAT2, IRF1, TNFAIP6, IRF9, ISG20, DDX60, CXCL10, CXCL11, CXCL9, GBP2, APOL1, IFITM3, CYBB, TAP1, TAP2, IDO1, IDO2, NUB1, IFI16, IFI35, IFI44, IFI44L, SERPING1, IFI6, IFIH1, IFIT2, IFIT5, DHX58, ORM1, TRIM21, CCL2, RHBDF2, SOCS1, EIF2AK2, TRIM5, TRIM6, RIGI, RIPK2, CCL8, TRPV4, FCGR1A, PARP9, CCRL2, C2, SFRP1, GBP6, PDCD1LG2, CD274, ISG15, SLAMF8, FCGR1BP, C1QA, C1QB, C1QC, OASL, GBP7, GCH1, PML, RSAD2, LIF, GBP1, OAS1, SAMD9, TRIM22, LAMP3, P2RX7, GBP5, TNFSF10, TNFSF13B, OAS3, PARP14, TRAFD1, DTX3L, TIFA, SLIT2, NMI, PLSCR1, CEACAM1, WDFY1, IRF7, RNF213, USP18, GBP4, HERC5	87.72	51.28	1.4934744569524e-4	1.1207524857483e-4	3.95049028922718
ChAd (V1, D3)	BNT (V2, D1)	58	56	79	114	137	IFIT1, IFIT3, OAS2, CLEC6A, BATF2, SECTM1, MX1, COLEC12, IL27, MARCO, IL31RA, IL36A, AIM2, EDNRB, STAT1, CTSL, DDX60, CXCL10, CXCL11, CXCL9, IFITM3, IDO1, CFB, IDO2, IFI27, IFI35, IFI44, IFI44L, SERPING1, IFI6, CD276, CCL2, TRPV4, FCGR1A, PARP9, C2, PDCD1LG2, ISG15, SLAMF8, C1QA, C1QB, C1QC, OASL, GBP7, CCL25, RSAD2, GBP1, OAS1, LAMP3, GBP5, TNFSF10, OAS3, TLR7, SLIT2, PLSCR1, IRF7, USP18, GBP4	50.88	42.34	9.15174626637224e-17	9.7518215719873e-17	16.0109142535556
ChAd (V1, D6)	BNT (V2, D1)	1	113	84	114	85	IFI27	0.88	1.18	3.61609033392824e-56	1.06283976459501e-55	54.9735322054651
ChAd (V1, D7)	BNT (V2, D1)	3	111	34	114	37	CXCL10, IFI27, CCL25	2.63	8.11	2.2825047000452e-30	3.81539050586896e-30	29.4184610053199
ChAd (V2, D1)	BNT (V2, D1)	88	26	56	114	144	IFIT1, IFIT3, OAS2, CLEC6A, ZBP1, BATF2, MX1, IL27, MARCO, IL31RA, AIM2, BST2, STAT1, STAT2, TNFAIP6, IRF9, ISG20, DDX60, CXCL10, CXCL11, GBP2, APOL1, IFITM3, TAP1, TAP2, IDO1, CFB, IDO2, NUB1, IFI16, IFI27, IFI35, IFI44, IFI44L, SERPING1, IFI6, IFIH1, IFIT2, IFIT5, DHX58, TRIM21, CCL2, RHBDF2, SOCS1, EIF2AK2, TRIM5, TRIM6, RIGI, CCL8, FCGR1A, PARP9, C2, SFRP1, GBP6, PDCD1LG2, CD274, ISG15, SLAMF8, FCGR1BP, C1QB, C1QC, OASL, GCH1, PML, RSAD2, LIF, GBP1, OAS1, SAMD9, TRIM22, LAMP3, GBP5, TNFSF10, TNFSF13B, OAS3, TLR7, PARP14, TRAFD1, DTX3L, NMI, PLSCR1, CEACAM1, WDFY1, IRF7, RNF213, USP18, GBP4, HERC5	77.19	61.11	1.6588590562739e-5	1.28590196779735e-5	4.8907921390848
ChAd (V2, D3)	BNT (V2, D1)	0	114	11	114	11	NA	0	0	5.39289297259338e-16	5.51331080344196e-16	15.258587524224
ChAd (V2, D7)	BNT (V2, D1)	0	114	1	114	1	NA	0	0	0.00869565217391305	0.00570071925192374	2.24407034653184
ChAd-BNT (V2, D3)	BNT (V2, D1)	78	36	104	114	182	IFIT1, IFIT3, OAS2, CLEC6A, ZBP1, BATF2, SECTM1, MX1, COLEC12, IL27, MARCO, IL31RA, AIM2, BST2, STAT1, STAT2, CTSL, DDX60, CXCL10, CXCL11, CXCL9, GBP2, APOL1, IFITM3, CYBB, TAP1, IDO1, CFB, IDO2, IFI16, IFI27, IFI35, IFI44, IFI44L, SERPING1, IFI6, IFIH1, IFIT2, DHX58, CCL2, EIF2AK2, TRIM5, CCL8, TRPV4, FCGR1A, PARP9, C2, PDCD1LG2, CD274, ISG15, SLAMF8, C1QB, C1QC, OASL, GBP7, GCH1, CCL25, RSAD2, GBP1, OAS1, TRIM22, LAMP3, P2RX7, GBP5, TNFSF10, TNFSF13B, OAS3, TLR7, PARP14, DTX3L, SLIT2, NMI, PLSCR1, IRF7, RNF213, USP18, GBP4, HERC5	68.42	42.86	3.1937885267888797e-12	2.9334906042458997e-12	11.5326152984586
ChAd-BNT (V2, D7)	BNT (V2, D1)	13	101	104	114	117	IFIT1, IFIT3, BATF2, TNFAIP6, CXCL10, CXCL11, SERPING1, IFIT2, CCL2, CCL8, FCGR1A, CCRL2, RSAD2	11.4	11.11	3.4497674588145397e-48	8.111633715413109e-48	47.090891668337
ChAd-BNT (V3, D1)	BNT (V2, D1)	96	18	148	114	244	IFIT1, IFIT3, OAS2, FAS, CLEC6A, ZBP1, BATF2, SECTM1, MX1, IL27, MARCO, IL31RA, AIM2, BST2, STAT1, STAT2, IRF1, TNFAIP6, IRF9, ISG20, DDX60, CXCL10, CXCL11, CXCL9, GBP2, APOL1, IFITM3, TAP1, TAP2, IDO1, CFB, IDO2, NUB1, IFI16, IFI35, IFI44, IFI44L, SERPING1, IFI6, IFIH1, IFIT2, IFIT5, DHX58, TRIM21, CCL2, RHBDF2, SOCS1, EIF2AK2, TRIM5, TRIM6, RIGI, RIPK2, CCL8, TRPV4, FCGR1A, PARP9, C2, GBP6, PDCD1LG2, CD274, ISG15, SLAMF8, FCGR1BP, C1QA, C1QB, C1QC, OASL, GCH1, PML, RSAD2, LIF, GBP1, OAS1, SAMD9, TRIM22, LAMP3, P2RX7, GBP5, TNFSF10, TNFSF13B, OAS3, TLR7, PARP14, TRAFD1, DTX3L, TIFA, SLIT2, NMI, PLSCR1, CEACAM1, WDFY1, IRF7, RNF213, USP18, GBP4, HERC5	84.21	39.34	1.37754477506779e-7	1.11436895351751e-7	6.95297099592351
I (D10, moderate)	BNT (V2, D1)	66	48	418	114	484	IFIT1, IFIT3, OAS2, CLEC6A, ZBP1, BATF2, MX1, MARCO, IL36A, AIM2, EDNRB, STAT2, TNFAIP6, CTSL, DDX60, CXCL10, CXCL11, GBP2, TAP1, CFB, IFI16, IFI27, IFI35, IFI44, IFI44L, SERPING1, IFI6, IFIH1, IFIT2, IFIT5, EIF2AK2, TRIM6, TRPV4, FCGR1A, PARP9, CCRL2, C2, SFRP1, GBP6, PDCD1LG2, CD274, ISG15, C1QA, C1QB, C1QC, OASL, GCH1, PML, RSAD2, GBP1, OAS1, SAMD9, TRIM22, LAMP3, TNFSF10, TNFSF13B, OAS3, PARP14, TRAFD1, DTX3L, TIFA, NMI, PLSCR1, CEACAM1, USP18, HERC5	57.89	13.64	5.96132980211044e-37	1.16810104808516e-36	35.9325195863952
I (D10, severe)	BNT (V2, D1)	19	95	516	114	535	ZBP1, IL31RA, IL36A, AIM2, TNFAIP6, IDO1, IFI16, IFI27, ORM1, CCL2, EIF2AK2, PARP9, SFRP1, OASL, TRIM22, TLR7, PLSCR1, ORM2, GBP4	16.67	3.55	4.241965610477769e-94	4.40045917114536e-93	92.3565020041751
I (D26, moderate)	BNT (V2, D1)	6	108	309	114	315	CLEC6A, MARCO, IL36A, EDNRB, SFRP1, GBP4	5.26	1.9	2.5928474261714796e-94	2.77123140145089e-93	92.5573272085457
I (D26, severe)	BNT (V2, D1)	21	93	506	114	527	FAS, IL36A, AIM2, IFI27, IFI44, IFI44L, DHX58, ORM1, EIF2AK2, TRPV4, FCGR1A, PARP9, CCRL2, SFRP1, C1QA, TRIM22, TLR7, TIFA, PLSCR1, CEACAM1, IRF7	18.42	3.98	1.45395624975341e-90	1.2507694104983398e-89	88.9028227486429
I (D51, moderate)	BNT (V2, D1)	0	114	13	114	13	NA	0	0	5.25741347159458e-18	5.88669248568622e-18	17.2301286506593
I (D51, severe)	BNT (V2, D1)	31	83	344	114	375	FAS, ZBP1, BATF2, SECTM1, IL27, IL36A, AIM2, STAT1, IRF1, TNFAIP6, ISG20, GBP2, TAP1, IFIH1, RHBDF2, SOCS1, EIF2AK2, RIPK2, FCGR1A, PARP9, SFRP1, GBP6, CD274, GCH1, GBP1, TRIM22, PARP14, TIFA, NMI, PLSCR1, RNF213	27.19	8.27	1.19894435465609e-65	5.15697402844082e-65	64.2876050557822
I-BNT-I (D2)	BNT (V2, D1)	0	114	1	114	1	NA	0	0	0.00869565217391305	0.00570071925192374	2.24407034653184
I-I (D1)	BNT (V2, D1)	0	114	14	114	14	NA	0	0	5.750295984556609e-19	6.738038273950479e-19	18.1714665264332
I-I (D5)	BNT (V2, D1)	0	114	1	114	1	NA	0	0	0.00869565217391305	0.00570071925192374	2.24407034653184
ZF2001 (V3, D07)	BNT (V2, D1)	10	104	220	114	230	TNFAIP6, HOXB6, IDO2, IFIH1, CD276, SOCS1, RIPK2, CCL8, CCRL2, SLIT2	8.77	4.35	1.5755314468107497e-75	7.938506511911409e-75	74.1002611946314
ZF2001 (V3, D14)	BNT (V2, D1)	3	111	30	114	33	IDO2, GEM, ORM2	2.63	9.09	6.632242578425449e-28	1.02149134106222e-27	26.9907653104264
ZF2001 (V3, D28)	BNT (V2, D1)	0	114	17	114	17	NA	0	0	1.06793791243865e-21	1.4213790174499701e-21	20.8472900999482
BNT-I (D1)	BNT (V3, D1)	5	134	156	139	161	FOSL1, MMP8, ICAM1, EGR3, LTF	3.6	3.11	4.67021255912557e-79	2.70032838670775e-78	77.568583418114
BNT-I (D10, mild)	BNT (V3, D1)	75	64	566	139	641	GBP1, IFITM3, CFB, IFITM1, RSAD2, HP, PML, PARP14, GBP2, FAS, IFI44L, CXCL11, MX1, OAS3, DDX60, IFIT1, IFI27, MAFB, CRISP3, IFI6, WDFY1, IFI35, TRIM6, TIFA, LAMP3, GCH1, CCL3L1, FCGR1A, PIK3AP1, USP18, FFAR3, OAS1, LCN2, BATF2, RAB20, BMX, OASL, OLR1, IFI30, EIF2AK2, FANCA, SERPING1, ADAMDEC1, C1QB, TRIM22, TAP1, GBP6, MMP8, TNFSF13B, PARP9, PLSCR1, IFIT3, ANXA3, ISG15, CEACAM1, IFIT5, ZBP1, IFI44, CD274, PSMB9, IFI16, HERC5, TRAFD1, RIPK2, LTF, STAT2, TNFAIP6, OAS2, CXCL10, C1QC, C3AR1, DTX3L, CEACAM8, IFIH1, AIM2	53.96	11.7	3.8479205392029e-52	1.00531484618305e-51	50.9976979038693
BNT-I (D10, severe)	BNT (V3, D1)	91	48	564	139	655	GBP1, IFITM3, TNFSF10, CFB, IFITM1, RSAD2, HP, PML, PARP14, GBP2, FAS, CTSL, IFI44L, CXCL11, MX1, OAS3, DDX60, APOBEC3B, IFIT1, IFI27, MAFB, ENPP1, IFIT2, CRISP3, C2, IFI6, WDFY1, IFI35, TRIM6, DHX58, PRTN3, TIFA, LAMP3, FCGR1A, PIK3AP1, APOL1, USP18, FFAR3, OAS1, LCN2, BATF2, GBP5, RAB20, BMX, OASL, OLR1, IFI30, EIF2AK2, SERPING1, CCRL2, C1QB, TRIM22, TAP1, GBP6, MMP8, C1QA, TNFSF13B, IL27, PARP9, PLSCR1, IFIT3, RNF213, ANXA3, ISG15, CEACAM1, EGR3, IFIT5, ZBP1, IFI44, CD274, PSMB9, IFI16, HERC5, EDNRB, TRAFD1, RIPK2, LTF, STAT2, TNFAIP6, OAS2, CXCL10, C1QC, C3AR1, DTX3L, CEACAM8, PDCD1LG2, STAT1, IFIH1, SFRP1, AIM2, IRF7	65.47	13.89	8.151633921355151e-38	1.64291989470316e-37	36.7843836113285
BNT-I (D26, mild)	BNT (V3, D1)	11	128	347	139	358	CCL2, HP, CRISP3, LCN2, OLR1, IFI30, MMP8, ANXA3, LTF, CEACAM8, MARCO	7.91	3.07	3.0907693692225902e-105	5.4506258728887e-104	103.263553626616
BNT-I (D26, severe)	BNT (V3, D1)	5	134	74	139	79	CRISP3, LCN2, MMP8, RIPK2, LTF	3.6	6.33	7.109808574446831e-52	1.80406789163011e-51	50.7437471228886
BNT-I (D3)	BNT (V3, D1)	17	122	93	139	110	HP, FOSL1, GBP2, FCGR1A, GBP5, RAB20, BMX, GBP6, MMP8, ICAM1, ANXA3, CEACAM1, EGR3, IRF1, EDNRB, SECTM1, SFRP1	12.23	15.45	1.03263886525638e-47	2.3961535666597203e-47	46.620485351969
BNT-I (D4)	BNT (V3, D1)	0	139	22	139	22	NA	0	0	1.42385717725252e-27	2.146151325141e-27	26.6683396591843
BNT-I-BNT (D51, mild)	BNT (V3, D1)	6	133	61	139	67	CRISP3, LCN2, OLR1, MMP8, LTF, CEACAM8	4.32	8.96	6.176035856933739e-45	1.3874582570609398e-44	43.8577800741518
BNT-I-BNT (D51, severe)	BNT (V3, D1)	0	139	15	139	15	NA	0	0	4.06963506213186e-21	5.23859317741177e-21	20.2807853270083
BNT-MO (V3, D1)	BNT (V3, D1)	114	25	81	139	195	GBP1, IFITM3, CCL2, TNFSF10, IFITM1, RSAD2, HP, PML, FOSL1, CXCL9, PARP14, GBP2, FAS, IFI44L, CXCL11, MX1, OAS3, DDX60, APOBEC3B, IFIT1, DEFA1, CCL8, TRIM5, IFIT2, C2, IFI6, WDFY1, IFI35, TAP2, TRIM6, RIGI, DHX58, CCL3, SOCS1, TIFA, LAMP3, GCH1, CCL3L1, CCL3L3, FCGR1A, PIK3AP1, APOL1, IDO2, USP18, FFAR3, OAS1, BATF2, IDO1, IL31RA, GBP5, CLEC6A, RAB20, GBP7, OASL, IFI30, EIF2AK2, FANCA, SERPING1, CCRL2, C1QB, TRIM22, XCR1, RHBDF2, TAP1, GBP6, FCN2, C1QA, ICAM1, TNFSF13B, IL27, PARP9, PLSCR1, IFIT3, RNF213, ACOD1, ISG15, CEACAM1, EGR3, IFIT5, FCGR1BP, ZBP1, IRF1, IFI44, CD274, PSMB9, ISG20, GBP4, DEFA1B, IFI16, HERC5, TRAFD1, CYBB, RIPK2, LIF, STAT2, TNFAIP6, SLIT2, FFAR2, SECTM1, OAS2, CXCL10, C1QC, NUB1, C3AR1, DTX3L, P2RX7, PDCD1LG2, STAT1, IFIH1, SFRP1, AIM2, SLAMF8, TRPV4, IRF7	82.01	58.46	8.00075452190266e-6	6.28484214576426e-6	5.20170562586736
ChAd (V1, D3)	BNT (V3, D1)	65	74	72	139	137	GBP1, IFITM3, CCL2, TNFSF10, CFB, IFITM1, RSAD2, CXCL9, CTSL, IFI44L, CXCL11, MX1, OAS3, DDX60, APOBEC3B, IFIT1, IFI27, TLR7, C2, IFI6, IFI35, LAMP3, CCL3L1, FCGR1A, IDO2, USP18, FFAR3, OAS1, BATF2, IDO1, IL31RA, GBP5, CLEC6A, GBP7, OASL, IFI30, SERPING1, C1QB, XCR1, FCN2, C1QA, IL27, PARP9, PLSCR1, IFIT3, ISG15, IFI44, PSMB9, GBP4, EDNRB, IL4I1, SLIT2, SECTM1, OAS2, CXCL10, C1QC, C3AR1, PDCD1LG2, STAT1, AIM2, MARCO, SLAMF8, TRPV4, COLEC12, IRF7	46.76	47.45	4.92383328142894e-18	5.53074277818536e-18	17.2572165390742
ChAd (V1, D6)	BNT (V3, D1)	1	138	84	139	85	IFI27	0.72	1.18	1.08408964866087e-61	3.8236221352278e-61	60.4175250328954
ChAd (V1, D7)	BNT (V3, D1)	5	134	32	139	37	APOBEC3B, IFI27, CCL3, PRTN3, CXCL10	3.6	13.51	8.88708788456368e-30	1.45116064941145e-29	28.8382845067277
ChAd (V2, D1)	BNT (V3, D1)	86	53	58	139	144	GBP1, IFITM3, CCL2, TNFSF10, CFB, IFITM1, RSAD2, PML, PARP14, GBP2, IFI44L, CXCL11, MX1, OAS3, DDX60, IFIT1, CCL8, IFI27, TLR7, TRIM5, IFIT2, C2, IFI6, WDFY1, IFI35, TAP2, TRIM6, RIGI, DHX58, SOCS1, LAMP3, GCH1, FCGR1A, APOL1, IDO2, USP18, OAS1, BATF2, IDO1, IL31RA, GBP5, CLEC6A, OASL, IFI30, EIF2AK2, SERPING1, C1QB, TRIM22, RHBDF2, TAP1, GBP6, TNFSF13B, IL27, PARP9, PLSCR1, IFIT3, RNF213, ISG15, CEACAM1, IFIT5, FCGR1BP, ZBP1, IFI44, CD274, ISG20, GBP4, IFI16, HERC5, TRAFD1, LIF, STAT2, TNFAIP6, FFAR2, OAS2, CXCL10, C1QC, NUB1, DTX3L, PDCD1LG2, STAT1, IFIH1, SFRP1, AIM2, MARCO, SLAMF8, IRF7	61.87	59.72	2.62798176572566e-10	2.26603027631396e-10	9.64473429184762
ChAd (V2, D3)	BNT (V3, D1)	0	139	11	139	11	NA	0	0	6.71806590688906e-17	7.24613259747169e-17	16.1398937230446
ChAd (V2, D7)	BNT (V3, D1)	0	139	1	139	1	NA	0	0	0.00714285714285715	0.00478047574026188	2.32052888140263
ChAd-BNT (V2, D3)	BNT (V3, D1)	79	60	103	139	182	GBP1, IFITM3, CCL2, TNFSF10, CFB, RSAD2, CXCL9, PARP14, GBP2, CTSL, IFI44L, CXCL11, MX1, OAS3, DDX60, APOBEC3B, IFIT1, CCL8, IFI27, TLR7, TRIM5, IFIT2, C2, IFI6, IFI35, DHX58, LAMP3, GCH1, FCGR1A, APOL1, IDO2, USP18, FFAR3, OAS1, BATF2, IDO1, IL31RA, GBP5, CLEC6A, GBP7, OASL, EIF2AK2, SERPING1, ADAMDEC1, C1QB, TRIM22, TAP1, TNFSF13B, IL27, PARP9, PLSCR1, IFIT3, RNF213, ISG15, ZBP1, IFI44, CD274, GBP4, IFI16, HERC5, CYBB, IL4I1, STAT2, SLIT2, SECTM1, OAS2, CXCL10, C1QC, DTX3L, P2RX7, PDCD1LG2, STAT1, IFIH1, AIM2, MARCO, SLAMF8, TRPV4, COLEC12, IRF7	56.83	43.41	4.52869292316104e-18	5.10314966438281e-18	17.2921616945597
ChAd-BNT (V2, D7)	BNT (V3, D1)	21	118	96	139	117	CCL2, RSAD2, CXCL11, APOBEC3B, IFIT1, CCL8, MAFB, IFIT2, CCL3, CCL3L1, FCGR1A, FFAR3, BATF2, SERPING1, CCRL2, ICAM1, IFIT3, EGR3, TNFAIP6, FFAR2, CXCL10	15.11	17.95	1.40248884901335e-45	3.19137242529935e-45	44.496022511753
ChAd-BNT (V3, D1)	BNT (V3, D1)	108	31	136	139	244	GBP1, IFITM3, CCL2, TNFSF10, CFB, IFITM1, RSAD2, PML, FOSL1, CXCL9, PARP14, GBP2, FAS, IFI44L, CXCL11, MX1, OAS3, DDX60, IFIT1, CCL8, MAFB, TLR7, TRIM5, IFIT2, C2, IFI6, WDFY1, IFI35, TAP2, TRIM6, RIGI, DHX58, CCL3, SOCS1, TIFA, LAMP3, GCH1, CCL3L1, CCL3L3, FCGR1A, PIK3AP1, APOL1, IDO2, USP18, FFAR3, OAS1, BATF2, IDO1, IL31RA, GBP5, CLEC6A, RAB20, OASL, IFI30, EIF2AK2, FANCA, SERPING1, C1QB, TRIM22, RHBDF2, TAP1, GBP6, C1QA, ICAM1, TNFSF13B, IL27, PARP9, PLSCR1, IFIT3, RNF213, ISG15, CEACAM1, EGR3, IFIT5, FCGR1BP, ZBP1, IRF1, IFI44, CD274, PSMB9, ISG20, GBP4, DEFA1B, IFI16, HERC5, TRAFD1, RIPK2, LIF, IL4I1, STAT2, TNFAIP6, SLIT2, SECTM1, OAS2, CXCL10, C1QC, NUB1, C3AR1, DTX3L, P2RX7, PDCD1LG2, STAT1, IFIH1, AIM2, MARCO, SLAMF8, TRPV4, IRF7	77.7	44.26	1.48202128783503e-10	1.29065208757187e-10	9.88919081180865
I (D10, moderate)	BNT (V3, D1)	81	58	403	139	484	GBP1, TNFSF10, CFB, IFITM1, RSAD2, HP, PML, PARP14, GBP2, CTSL, IFI44L, CXCL11, MX1, OAS3, DDX60, APOBEC3B, IFIT1, IFI27, IFIT2, CRISP3, C2, IFI6, IFI35, TRIM6, TIFA, LAMP3, GCH1, FCGR1A, PIK3AP1, USP18, FFAR3, OAS1, LCN2, BATF2, CLEC6A, RAB20, BMX, OASL, IFI30, EIF2AK2, SERPING1, ADAMDEC1, CCRL2, C1QB, TRIM22, TAP1, GBP6, MMP8, C1QA, ICAM1, TNFSF13B, PARP9, PLSCR1, IFIT3, ANXA3, ISG15, CEACAM1, EGR3, IFIT5, ZBP1, IFI44, CD274, IFI16, HERC5, EDNRB, TRAFD1, LTF, STAT2, TNFAIP6, OAS2, CXCL10, C1QC, C3AR1, DTX3L, CEACAM8, PDCD1LG2, IFIH1, SFRP1, AIM2, MARCO, TRPV4	58.27	16.74	1.05153064377534e-39	2.19454756532154e-39	38.6586550016803
I (D10, severe)	BNT (V3, D1)	29	110	506	139	535	CCL2, IFITM1, HP, IFI27, TLR7, CRISP3, LCN2, IDO1, IL31RA, RAB20, BMX, OASL, OLR1, EIF2AK2, TRIM22, MMP8, PARP9, PLSCR1, ANXA3, ZBP1, GBP4, IFI16, IL4I1, LTF, TNFAIP6, C3AR1, CEACAM8, SFRP1, AIM2	20.86	5.42	1.8685389455562497e-97	2.35371509357759e-96	95.6282461076674
I (D26, moderate)	BNT (V3, D1)	16	123	299	139	315	HP, MAFB, CRISP3, PRTN3, LCN2, CLEC6A, BMX, OLR1, MMP8, ANXA3, GBP4, EDNRB, LTF, CEACAM8, SFRP1, MARCO	11.51	5.08	1.02612002315106e-91	9.047903092625609e-91	90.0434520595595
I (D26, severe)	BNT (V3, D1)	32	107	495	139	527	HP, FAS, IFI44L, IFI27, TLR7, CRISP3, DHX58, TIFA, FCGR1A, LCN2, RAB20, BMX, OLR1, EIF2AK2, CCRL2, TRIM22, MMP8, C1QA, ICAM1, PARP9, PLSCR1, ANXA3, CEACAM1, IFI44, IL4I1, LTF, C3AR1, CEACAM8, SFRP1, AIM2, TRPV4, IRF7	23.02	6.07	7.274392969341651e-93	6.934334760837339e-92	91.1589951962425
I (D51, moderate)	BNT (V3, D1)	3	136	10	139	13	OLR1, MMP8, LTF	2.16	23.08	2.62004570368673e-13	2.4908336661875e-13	12.6036552729729
I (D51, severe)	BNT (V3, D1)	46	93	329	139	375	GBP1, IFITM1, FOSL1, PARP14, GBP2, FAS, CRISP3, SOCS1, TIFA, GCH1, FCGR1A, PIK3AP1, LCN2, BATF2, RAB20, BMX, OLR1, IFI30, EIF2AK2, TRIM22, RHBDF2, TAP1, GBP6, MMP8, ICAM1, IL27, PARP9, PLSCR1, RNF213, ANXA3, EGR3, ZBP1, IRF1, CD274, PSMB9, ISG20, RIPK2, LTF, TNFAIP6, SECTM1, C3AR1, CEACAM8, STAT1, IFIH1, SFRP1, AIM2	33.09	12.27	1.48039333785171e-63	5.866740582128971e-63	62.2316031151654
I-BNT-I (D2)	BNT (V3, D1)	0	139	1	139	1	NA	0	0	0.00714285714285715	0.00478047574026188	2.32052888140263
I-I (D1)	BNT (V3, D1)	0	139	14	139	14	NA	0	0	4.17815866378874e-20	5.11684439152936e-20	19.2909977901664
I-I (D5)	BNT (V3, D1)	0	139	1	139	1	NA	0	0	0.00714285714285715	0.00478047574026188	2.32052888140263
ZF2001 (V3, D07)	BNT (V3, D1)	17	122	213	139	230	FOSL1, CCL8, MAFB, CCL3, SOCS1, IDO2, FFAR3, CPLX2, RAB20, CCRL2, ICAM1, HOXA3, RIPK2, TNFAIP6, SLIT2, FFAR2, IFIH1	12.23	7.39	1.37363735667814e-76	7.453641593710539e-76	75.1276314940099
ZF2001 (V3, D14)	BNT (V3, D1)	1	138	32	139	33	IDO2	0.72	3.03	6.728055026545339e-34	1.22320028703046e-33	32.9125024256862
ZF2001 (V3, D28)	BNT (V3, D1)	1	138	16	139	17	CCL3	0.72	5.88	7.1415531412895e-21	8.99589567571765e-21	20.0459555896662
BNT-I (D10, mild)	BNT-I (D1)	71	90	570	161	641	HMGB3, NFKBIA, GPR171, CXCL3, MIR221, FLT3, PRG2, SDC4, SLC4A1, JMJD6, JAG1, IL1R2, CD3G, TRIM32, AHSP, SPTA1, GPR15, VSIG4, F12, GAPDH, S1PR1, IRS2, SMPDL3B, CXCR6, FTH1, LAX1, MSH2, SLPI, C1R, IKZF3, BCL3, EREG, CD40LG, ZNF572, EOMES, PURA, GCSAM, ADAM9, CCR6, CDC42EP4, ITGA2, PELI1, THBS1, KLRC4, CAMP, LTF, GPR18, AHR, MMP8, FCER2, TRIB1, ADGRG3, KLF1, SIT1, CTSK, KYNU, ARG1, CD2, IL7R, KLRG1, TIGIT, SLAMF6, XCL2, CR2, FUT4, CCR8, CD22, NFIL3, HOXB4, TLR3, CXCR5	44.1	11.08	4.79726541032882e-71	2.28650310974445e-70	69.6408282036234
BNT-I (D10, severe)	BNT-I (D1)	81	80	574	161	655	HMGB3, NFKBIA, GPR171, CXCL2, CXCL3, EGR3, FLT3, PRG2, SDC4, PRR7, PTX3, IGFBP2, FOXO3, JMJD6, JAG1, IL1R2, CD3G, TRIM32, ITGA9, GPR15, VSIG4, FCAR, F12, LYVE1, GAPDH, S1PR1, IRS2, SMPDL3B, ITGB3, HIF1A, FTH1, LAX1, SLPI, C1R, IKZF3, BCL3, EREG, CD40LG, ZNF572, EOMES, PURA, GCSAM, ADAM9, CCR6, CDC42EP4, PADI4, PELI1, THBS1, KLRC4, CAMP, LTF, GPR18, MIR146A, MMP8, FCER2, TRIB1, ACVR1B, SIT1, CHGA, ARG1, ATP1B1, CD2, IL7R, SMAD6, KLRG1, CEACAM4, TIGIT, SLAMF6, CR2, FUT4, PGLYRP1, DUSP1, CCR8, NFIL3, INHBA, CLEC5A, HRH2, TNF, HOXB4, TLR3, CXCR5	50.31	12.37	5.65546331736159e-62	2.03540990491227e-61	60.6913481164069
