"","process","genes","go_term","immune_system","immune_sub_system","gene_set_short","immune_tissue","set_size"
"138","IMMUNE SYSTEM PROCESS","TXK,P0DOX8,STMP1,GZMM,EIF2AK2,LILRA5,FBXO38,LGALS9,P0DOX7,LILRA3,P0DOX3,CEACAM20,THEMIS,CD55,GBP2,FGR,CLEC6A,RNF135,HK1,JAGN1,TMEM33,C6,ADSS2,IFIT2,IFITM2,CD40,BTN3A2,BPI,LILRA6,MYO1G,CD1D,TRIM23,HLA-E,LGALS3,SPIRE1,ENDOD1,CAMP,PRKDC,CFD,HLA-G,PRKCE,CASP4,C1S,SLC15A4,IFI6,HLA-F,CD81,OLR1,TEC,CFB,XRCC6,XRCC5,CD19,GBP1,CFH,ADAR,TAP1,F2RL1,HLA-DMB,ACOD1,SFTPD,CTPS1,RIGI,SARM1,TRIM26,MBL2,PSMB8,KLRC2,LCN2,RNF213,C7,PRKCQ,NMB,P0DOX4,NLRC5,S100A12,BPIFC,LILRB2,TAP2,HLA-DPA1,TRIM65,HMGB1,LAIR1,CSK,ITGAM,TREML4,PTMS,PSMA1,CSF1,USP14,APOBEC3H,FCGR2A,TAX1BP1,CD160,CLU,BCL6,P0DOX5,PELI3,HP,HEXIM1,TNFAIP8L2,OTUD7B,CD79A,CD14,SFPQ,DEFA5,PLD3,HMGB2,APOBEC3F,BTK,PRG2,KLRC1,CD177,CR1,KLRK1,RNF19B,NLRP2B,MST1R,MASP2,IDO2,C4A,PIK3CG,MAVS,HLA-DOB,CLEC10A,TIRAP,LBP,SIRT2,DAB2IP,MIF,PARP9,STING1,PSMB9,PLPP6,IL4R,IL34,IRGM,ZAP70,ADARB1,SSC5D,NLRP10,IL27,C1R,DHX9,P0DOX6,C1QBP,CD300C,SYK,CD46,CD300LB,MASP1,SUSD4,ARID5A,TRIL,FCGR1A,IL31RA,NLRP9,IRF2,CD1C,GBP6,MMP3,HLA-DRB4,C4B,IRF1,C17orf99,MATR3,JAML,IL23R,IFI30,PML,GPR183,HMHB1,CD7,ITK,SLFN11,LACC1,NLRX1,IL2,OAS2,IFIT1,SLC15A3,CD1E,P0DOX2,ZNF683,TICAM2,OTUD4,HLA-DRB3,IRF9,IFITM1,ETS1,MX2,CD8B,BTLA,B2M,APOBEC3A,ARG2,CD300LD,IRF8,JAK3,RAET1L,CD247,ZC3HAV1,IFITM3,TARM1,CD3G,CX3CR1,CD86,PARP1,THEMIS2,CFP,CD8B2,MAP4K2,HCK,MCOLN2,GBP7,USP27X,NLRP6,METTL3,GP2,CD1B,EOMES,LY86,SERINC5,BST2,IL31,MX1,IRAG2,GATA3,BAG6,HLA-C,MYSM1,CTLA4,VSTM1,CD300LG,SKAP1,FCER1G,VTCN1,SRC,C4BPB,TTC4,FCGR3A,DEFA6,FGL1,TLR4,CGAS,TBKBP1,IDO1,HLA-DMA,CRTAM,DDX60,CR2,TFE3,BCL10,GSDMD,LILRA4,TNFRSF17,TFEB,ERAP2,LILRB4,MAP3K8,RAET1G,TICAM1,AXL,LAG3,CD6,LILRA2,IFI27,DCAF15,ADSS1,LAX1,IFI35,LILRB1,CD79B,BTNL8","GO:0002376","General","General","Immune system, Process","Undefined",509
"139","IMMUNOGLOBULIN HEAVY CHAIN V-D-J RECOMBINATION","YY1","GO:0071707","Adaptive","Humoral","V(D)J, Ig Heavy chain","B cell",1
"140","IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE","IL4R,IL9R,CD19,PRKCD,MPL,FCGR2B,IL9,BCL10,FCER1G,IL2RB,CD27,CSF2RB","Manual","Adaptive","Humoral","IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE","B cell",NA
"141","IMMUNOGLOBULIN MEDIATED IMMUNE RESPONSE","IL4R,IL9R,CD19,PRKCD,MPL,FCGR2B,IL9,BCL10,FCER1G,IL2RB,CD27,CSF2RB","GO:0016064","Adaptive","Humoral","Ig, Immune response","B cell",62
"142","IMMUNOGLOBULIN V(D)J RECOMBINATION","TCF3,PRKDC,LIG4","GO:0033152","Adaptive","Humoral","V(D)J, Ig","B cell",3
"143","IMMUNOLOGICAL SYNAPSE FORMATION","CD6,DOCK8,MSN,CD81,PRF1,EPHB1","GO:0001771","Adaptive","Cellular","Formation, Immunological synapse","T cell",6
"144","INDUCTION OF BACTERIAL AGGLUTINATION","RNASE3","GO:0043152","Undefined","Undefined","Induction of Bacterial agglutination","Undefined",1
"145","INFLAMMATION","IL10,SIRT2,NLRP6,PRDX2,LIPA,NLRP6,ELANE,IL31RA,CD6,CXCR2,NOTCH1,PNMA1,IL20RB,HMGB2,FOSL2,IL5RA,IL1RN,HMGB1,NOTCH2,RBPJ,RASGRP1,CD68","Manual","Innate","Inflammation","Inflammation","Inflammation",NA
"146","INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","NOTCH1,PNMA1,IL20RB,HMGB2,FOSL2,IL5RA,IL1RN,HMGB1,NOTCH2,RBPJ,RASGRP1,CD68","GO:0002437","Innate","Inflammation","Inflammatory response, Antigenic stimulus","Undefined",12
"147","INNATE IMMUNE RESPONSE","PPARG,IFNL4,PML,REL,RIGI,APOBEC3F,DEFB108B,CLEC6A,MST1R,OAS2,BPI,CAMP,NLRP10,ADARB1,BST2,TRIM27,MAVS,IRGM,TRIM21,PTX3,DEFB125,SSC5D,LGALS3,DAPK1,GBP1,GSDMD,STMP1,TRIM26,TARM1,TRIM51G,TAC1,RFPL4A,METTL3,MIF,TRIML2,CFD,NLRP2B,MBL2,IFI35,CLU,RNF135,SFPQ,IFI6,TAX1BP1,SFTPD,TRAF2,LILRA5,TTC4,HLA-C,LILRA4,IFNL2,CYBA,CSF1,FCGR1A,PARP1,CD46,SERINC5,DEFB131A,SARM1,LY86,CGAS,TRIM23,JAK3,STING1,CHGA,CX3CR1,KLRC2,PRKDC,CD160,KLRK1,FGR,BPIFB3,RFPL4AL1,MAP4K2,TRIM77,C1S,TRIM64C,DEFB128,PELI3,APOBEC3A,TMEM33,DEFB108A,IFIT2,GP2,VNN1,ADAR,DEFB1,APOBEC3H,IFITM3,GZMM,DEFB131B,XRCC5,FRK,NCF1,NLRC5,RNASE3,CD6,TRIM40,TNFAIP8L2,TRIM64B,C4B,TRIM22,TRIM48,F2RL1,CLEC10A,DEFB105A,HMGB2,BTK,ARG2,TLR4,KLRC1,PARP9,CD177,CR1,XRCC6,DEFB124,KRT16,NCF2,TICAM1,MASP2,S100A12,CFH,SYK,TRIM49D1,GATA3,C1QBP,HK1,BPIFC,IFNL3,CFP,HCK,TRIM65,NEDD4,DEFA5,CASP4,TREML1,SLC15A4,LBP,WFDC3,GARIN5A,LILRA2,WFDC10B,WFDC13,IFIT1,TRIM49C,CD55,GBP6,TRIM59,CD1D,NMB,NFKB2,MMP3,RELB,GBP2,TRIM64,PIK3CG,IFI27,ANKHD1,IRF1,SDHAF4,CD14,F12,ACOD1,UBA7,DEFB123,DEFB132,USP27X,B2M,LACC1,NLRX1,PLPP6,SPIRE1,NLRP9,HLA-E,ZC3HAV1,MX2,TBKBP1,PI3,ZNF683,IL27,TICAM2,C4A,OTUD4,DHX9,C1R,TRIM49B,TRIM43B,CORO1A,NFKB1,MATR3,DEFA4,HMGB1,GBP7,SIRT2,DEFB119,ITGAM,LCN2,SRC,C7,SRPK2,DEFA6,USP14,IL34,TRIM49,SLC15A3,FCER1G,MX1,IFITM2,BCL10,TIRAP,FOSL2,ENDOD1,SUSD4,DEFB106A,ZAP70,NQO1,IPO7,DDX60,MCOLN2,C6,EIF2AK2,IFITM1,HEXIM1,C4BPB,TREML4,CRISP3,ARID5A,WFDC9,DEFB107A,CFB,MASP1,TRIML1,TRIL,CR2,RELA,TRIM58,IFNL1,AXL,WFDC11,NLRP6,DAB2IP,TRIM68,IL23R","GO:0045087","Innate","General","Innate immune response","Innate",250
"148","INNATE IMMUNE RESPONSE ACTIVATING CELL SURFACE RECEPTOR SIGNALING PATHWAY","LILRA2","GO:0002220","Innate","Innate","Cell surface receptor, Innate","Innate",1
"149","INNATE IMMUNE RESPONSE IN MUCOSA","NOS2,FAU,H2BC12L,DEFA3,DEFB1,H2BC10,DEFA1,RNASE3,RNASE2,DEFA6,DEFA5,DEFA4,CAMP,RPL39","GO:0002227","Innate","Innate","Innate immune response, mucosa","Innate",14
"150","INNATE IMMUNE RESPONSE-ACTIVATING SIGNALING PATHWAY","HCK","GO:0002758","Innate","Innate","Innate immune response, Pathway","Innate",1
"151","INNATE IMMUNE SYSTEM","TFEB,LGALS4,TAP2,GP2,VEGFA,MPL,IFIT1,IL10,EPX,RAB44,CLU,FCGR2B,LILRA2,HCK,SLC15A4,XCL1,LGALS3,TICAM1,HMGB1,HLA-DRB3,PIK3CG,KLRC2,ELANE,TOX,IL15,SIRT2,NLRP6,LAG3,IFNLR1,SLC18A2,TIRAP,SCIMP,PSME1,FCGR1A,HLA-F,HLA-E,B2M,SLC11A1,CTSS,GPR183,F2R,BTK,CCL3,IL17RC,UNC13D,CEBPB,LIPA,CSF1,S100A12,CHGA,KITLG,NF1,KIT,SERPINB9,NDST2,STAT5B,CCR7,ARHGEF5,LGALS9,SCNN1B,AZU1,F2,CTSG,MAP2K6,TNFAIP3,CALR,PDIA3,ZBTB46,IRF8,PRDX2,PIK3AP1,TNIP2,PSEN1,LRP1,GRN,MBL2,LBP,CD14,TGFBR2,ITGB8,ITGB6,CX3CR1,IL33,IFNA8,IFNE,IL12B,EMP2,ATF2,ITK,FOSL2,NFKBIA,TLR4,XIAP,PRKCE,TICAM2,RAB11FIP2,FCER1G,IFI30,MFSD6,CD1D,CD1B,CD1E,CD1C,MAVS,RIGI,CGAS,STING1,VAMP2,VAMP7,FCER1A,SNAP23,CCR2,JAML,SIRPA,PECAM1,MERTK,AXL,STXBP3,BCR,ANXA3,CASP1,LACC1,RNF135,PHB1,LSM14A,CD40,SP100,SHMT2,CH25H,SMPD1,MX1,IL31RA,CD6,CXCR2,TAP1,ERAP2,IDE,AP3B1,ALOX5,CDC42,EPS8,DOCK8,NLRP12,ROR2,MCOLN2,B4GALT1,REG3G,HSPD1,SYK,DNASE1,CD177,PRTN3,PDE4B,MTHFD1,JAGN1,CLEC6A,PLCG2,BCL10,DEFB119,DEFB106A,RAET1L,RAET1G,HLA-C,HLA-G,HLA-DMB,HLA-DRB4,HLA-DMA,HLA-DOB,HLA-DPA1,HYAL2,MT1G,SPACA3,P0DOX3,FANCC,NCKAP1L,SOD1,BAX,HAMP,ITPKB,FCGR3A,KLRF2,RAB27A,CORO1A,ADAM17,ACE,IL6R,KMT2E,FCAR,IRGM,RELA,IFI35,STAT1,IRF1,JAK1,IFNGR1,TYK2,IFNGR2,SPI1,BATF2,NOTCH2,LTBR,RELB,RBPJ,PRDX1,GATA3,KLRK1,BAG6,IL2,RASGRP1,KAT7,SP3,PBX1,PTPRC,TYRO3,KLRC1,EP300,KLRC3,SRC,NAGLU,TRIL,FOSL1,RPS6KA3,MAPKAPK2,CCR1,CXCR4,CXCR1,CCL5,IL13,CRTC3,JMJD6,TMEM229B,ADGRF5,EDN2,IL10RB,IFNL1,IFNL4,IFNL3,IFNL2,NOTCH1,PNMA1,IL20RB,HMGB2,IL5RA,IL1RN,CD68,SFTPD,CCL2,EDNRB,RPL13A,CXCL17,SAA1,MMP2,CXCL8,F2RL1,IL18RAP,CXCL6,PRKCD,CAMP,DNM2,CTSE,SNCA,ITGAM,AIF1,TRPV1,C5AR1,CX3CL1,MAPT,NOS2,FAU,H2BC12L,DEFA3,DEFB1,H2BC10,DEFA1,RNASE3,RNASE2,DEFA6,DEFA5,DEFA4,RPL39,CBL,CLNK,GPR15LG,PTGDS,MILR1,ADORA2B,CPLX2,PTPN6,GZMB,TUBB4B,PLEKHM2,CEBPG,RNF19B,KIF5B,KIR3DL1,CLEC2A,NLRP10,XRCC5,MNDA,CASP6,XRCC6,SFPQ,PYHIN1,MATR3,HEXIM1,GBP2,PRKDC,SCG2,CCL4,CCL18,CCL23,CCL1,CCL8,CCL4L1,CCL7,CCL3L1,CCL24,GCH1,SLC30A8,IFITM2,C9JQL5,IFITM1,BST2,IFITM3,TRIM21,IL23R,CIITA,ADAMTS13,TRIM65,UBE2N,NMB,NMBR,EIF2AK2,NCK1,IFIT2,PDE12,STAT2,HDAC4,OAS2,IFNAR1,IFNAR2,IFI27,TBKBP1,CTSH,RAB4A,PSMB8,RAB5B,WDFY4,RAB3B,RAB10,RAB6A,FLT1,CCL20,RPS19,CXCL9,SRP54,ITGA1,TGFB2,EDN3,PPIB,DPEP1,CD300H,VAV1,CXCL3,BSG,CXCL5,PF4V1,CXADR,PPIA,CXCL1,CXCL2,DAPK1,WAS,STXBP1,AQP4,STXBP4,CD47,STX4,CLDN1,GBP6,GBP1,ACTG1,RAB43,IL12RB1,RPS6KB1,MRC1,TDGF1,MYO1C,ACTR2,ACTR3,FASLG,VIM,CD58,CALM1,GBP7,WNT5A,ACOD1,PPARG,PML,REL,APOBEC3F,DEFB108B,MST1R,BPI,ADARB1,TRIM27,PTX3,DEFB125,SSC5D,GSDMD,STMP1,TRIM26,TARM1,TRIM51G,TAC1,RFPL4A,METTL3,MIF,TRIML2,CFD,NLRP2B,IFI6,TAX1BP1,TRAF2,LILRA5,TTC4,LILRA4,CYBA,PARP1,CD46,SERINC5,DEFB131A,SARM1,LY86,TRIM23,JAK3,CD160,FGR,BPIFB3,RFPL4AL1,MAP4K2,TRIM77,C1S,TRIM64C,DEFB128,PELI3,APOBEC3A,TMEM33,DEFB108A,VNN1,ADAR,APOBEC3H,GZMM,DEFB131B,FRK,NCF1,NLRC5,TRIM40,TNFAIP8L2,TRIM64B,C4B,TRIM22,TRIM48,CLEC10A,DEFB105A,ARG2,PARP9,CR1,DEFB124,KRT16,NCF2,MASP2,CFH,TRIM49D1,C1QBP,HK1,BPIFC,CFP,NEDD4,CASP4,TREML1,WFDC3,GARIN5A,WFDC10B,WFDC13,TRIM49C,CD55,TRIM59,NFKB2,MMP3,TRIM64,ANKHD1,SDHAF4,F12,UBA7,DEFB123,DEFB132,USP27X,NLRX1,PLPP6,SPIRE1,NLRP9,ZC3HAV1,MX2,PI3,ZNF683,IL27,C4A,OTUD4,DHX9,C1R,TRIM49B,TRIM43B,NFKB1,LCN2,C7,SRPK2,USP14,IL34,TRIM49,SLC15A3,ENDOD1,SUSD4,ZAP70,NQO1,IPO7,DDX60,C6,C4BPB,TREML4,CRISP3,ARID5A,WFDC9,DEFB107A,CFB,MASP1,TRIML1,CR2,TRIM58,WFDC11,DAB2IP,TRIM68","Manual","Innate","General","Innate immune system","General",549
"152","ISOTYPE SWITCHING","LIG4,MSH2,MLH1,ERCC1,CD40LG,UNG,RNF168,SANBR,MSH6","GO:0045190","Adaptive","Humoral","Isotype switching","B cell",9
"153","ISOTYPE SWITCHING TO IGE ISOTYPES","BCL6,STAT6","GO:0048289","Adaptive","Humoral","Isotype switching, IgE","B cell",2
"154","ISOTYPE SWITCHING TO IGG ISOTYPES","HSPD1","GO:0048291","Adaptive","Humoral","Isotype switching, IgG","B cell",1
"155","LANGERHANS CELL DIFFERENTIATION","TGFBR2,ITGB8,ITGB6","GO:0061520","Innate","APC","Differentiation, Langerhans","APC",3
"156","LEUKOCYTE ACTIVATION","PRDX1,PRDX2,ZNF3","GO:0045321","General","Leukocyte","Activation, Leukocyte","Leukocyte",3
"157","LEUKOCYTE ACTIVATION INVOLVED IN IMMUNE RESPONSE","SYK,IL2","GO:0002366","General","Leukocyte","Activation, Immune response, Leukocyte","Leukocyte",2
"158","LEUKOCYTE ACTIVATION INVOLVED IN INFLAMMATORY RESPONSE","SCNN1B","GO:0002269","General","Leukocyte","Activation, Inflammatory response, Leukocyte","Leukocyte",1
"159","LEUKOCYTE ADHESIVE ACTIVATION","CX3CL1","GO:0050902","General","Leukocyte","Activation, Adhesive, Leukocyte","Leukocyte",1
"160","LEUKOCYTE CHEMOTAXIS","CXCR5,CX3CR1,S1PR1,PPIA,GPR183,IL10,CX3CL1,CNR2,MT-RNR2,CORO1A","GO:0030595","General","Leukocyte","Chemotaxis, Leukocyte","Leukocyte",10
"161","LEUKOCYTE CHEMOTAXIS INVOLVED IN INFLAMMATORY RESPONSE","ALOX5,MDK,PTN,LBP","GO:0002232","General","Leukocyte","Chemotaxis, Inflammatory response, Leukocyte","Leukocyte",4
"162","LEUKOCYTE DEGRANULATION","HCK","GO:0043299","General","Leukocyte","Degranulation, Leukocyte","Leukocyte",1
"163","LEUKOCYTE HOMEOSTASIS","BAX,BCL2,CXCL6,FLT3","GO:0001776","General","Leukocyte","Homeostasis, Leukocyte","Leukocyte",4
"164","LEUKOCYTE MEDIATED CYTOTOXICITY","PRF1","GO:0001909","General","Leukocyte","Cytotoxicity, Leukocyte","Leukocyte",1
"165","LEUKOCYTE MEDIATED IMMUNITY","DBH","GO:0002443","General","Leukocyte","Immunity, Leukocyte","Leukocyte",1
"166","LEUKOCYTE MIGRATION","PDE4B,SELL,MYH9,MSN,AIMP1,ELANE,SRC,SELP,SELE,ADORA1,ITGA3,DBH,F2RL1,SOS1,ITGB7,ADD2,ITGA6,CD34","GO:0050900","General","Leukocyte","Migration, Leukocyte","Leukocyte",18
"167","LEUKOCYTE MIGRATION INVOLVED IN IMMUNE RESPONSE","HCK,FUT7","GO:0002522","General","Leukocyte","Migration, Immune response, Leukocyte","Leukocyte",2
"168","LEUKOCYTE MIGRATION INVOLVED IN INFLAMMATORY RESPONSE","ELANE,CX3CL1,ADAM8,ALOX5,SELE,FUT7","GO:0002523","General","Leukocyte","Migration, Inflammatory response, Leukocyte","Leukocyte",6
"169","LEUKOCYTE TETHERING OR ROLLING","SELE,VCAM1,SELL,SELP,SPN,ADD2,JAM2,ITGB7,GCNT1,ITGA4,CX3CR1,LEP","GO:0050901","General","Leukocyte","Tethering or roling, Leukocyte","Leukocyte",12
"170","LYMPH NODE DEVELOPMENT","CXCR5,NKX2-3,IL7R,IL15,PDPN,RORC,RC3H1,SPNS2,LTB","GO:0048535","General","Organ","Development, Lymph node","Lymphocyte",9
"171","LYMPHOCYTE ACTIVATION","LAX1,AXL,TYRO3,MERTK","GO:0046649","Adaptive","General","Activation, Lymphocyte","Lymphocyte",4
"172","LYMPHOCYTE CHEMOTAXIS","CCL3,CCL18,CCL4,CCL7,XCL1,CCL2,ADAM8,GPR15LG,CX3CL1,CCL4L1,CCL1,CCL3L1,SAA1,CCL8,CCL24,CCL5,CCL20,CCL23","GO:0048247","Adaptive","General","Chemotaxis, Lymphocyte","Lymphocyte",18
"173","LYMPHOCYTE DIFFERENTIATION","IL2RG,STAT5B,PRKDC,RELB,TOX,SPI1","GO:0030098","Adaptive","General","Differentiation, Lymphocyte","Lymphocyte",6
"174","LYMPHOCYTE HOMEOSTASIS","SPNS2,SOS1,BCL2,TNFRSF17,SKIL,PACS1,SOS2","GO:0002260","Adaptive","General","Homeostasis, Lymphocyte","Lymphocyte",7
"175","LYMPHOCYTE MIGRATION","GATA3,SPNS2","GO:0072676","Adaptive","General","Migration, Lymphocyte","Lymphocyte",2
"176","LYMPHOCYTE MIGRATION INTO LYMPH NODE","FUT4,CCR7,FUT7","GO:0097022","Adaptive","General","Migration, Lymphonode, Lymphocyte","Lymphocyte",3
"177","LYMPHOCYTE MIGRATION INTO LYMPHOID ORGANS","CRTAM,ARTN,FUT7","GO:0097021","Adaptive","General","Migration, Lymphoid organs, Lymphocyte","Lymphocyte",3
"178","LYMPHOCYTE PROLIFERATION","IL2,IMPDH2,HPRT1,FLT3,TLR4,PURA","GO:0046651","Adaptive","General","Proliferation, Lymphocyte","Lymphocyte",6
"179","MACROPHAGE ACTIVATION","IL13,HAMP,CRTC3,JMJD6,FCGR3A,TMEM229B,SLC11A1,ADGRF5,TLR4,EDN2","GO:0042116","Innate","APC","Activation, Macrophage","Macrophage",10
"180","MACROPHAGE ACTIVATION INVOLVED IN IMMUNE RESPONSE","TICAM1,IFI35,IL33,PRKCE,SYK,LBP,PLCG2","GO:0002281","Innate","APC","Activation, Immune response, Macrophage","Macrophage",7
"181","MACROPHAGE CHEMOTAXIS","SFTPD,CCL2,LGALS3,AZU1,EDNRB,EDN2,RPL13A,CXCL17,CCL5,SAA1,CCL3,MMP2","GO:0048246","Innate","APC","Chemotaxis, Macrophage","Macrophage",12
"182","MACROPHAGE HOMEOSTASIS","LIPA,CSF1","GO:0061519","Innate","APC","Homeostasis, Macrophage","Macrophage",2
"183","MACROPHAGE MIGRATION","ROR2,MCOLN2,BCR,CCR2,B4GALT1","GO:1905517","Innate","APC","Migration, Macrophage","Macrophage",5
"184","MARGINAL ZONE B CELL DIFFERENTIATION","CDH17,BCL3,LFNG,NOTCH2","GO:0002315","Adaptive","Humoral","Differentiation, B cell, Marginal zone","B cell",4
"185","MAST CELL","CBL,RAB44,PIK3CG,CLNK,RASGRP1,GPR15LG,PTGDS,SYK,KIT,CHGA,FCER1A,MILR1,ADORA2B,CPLX2,BTK,SNAP23,SLC18A2,S100A12,KITLG,NF1,SERPINB9,NDST2,STAT5B,SLC15A4,CBL,RAB44,PIK3CG,CLNK,RASGRP1,GPR15LG,PTGDS,SYK,KIT,CHGA,FCER1A,MILR1,ADORA2B,CPLX2,BTK,SNAP23,SLC18A2,S100A12,KITLG,NF1,SERPINB9,NDST2,STAT5B,SLC15A4,CBL,RAB44,PIK3CG,CLNK,RASGRP1,GPR15LG,PTGDS,SYK,KIT,CHGA,FCER1A,MILR1,ADORA2B,CPLX2,BTK,SNAP23,SLC18A2,S100A12,KITLG,NF1,SERPINB9,NDST2,STAT5B,SLC15A4,CBL,RAB44,PIK3CG,CLNK,RASGRP1,GPR15LG,PTGDS,SYK,KIT,CHGA,FCER1A,MILR1,ADORA2B,CPLX2,BTK,SNAP23,SLC18A2,S100A12,KITLG,NF1,SERPINB9,NDST2,STAT5B,SLC15A4","Manual","Innate","Cell","Mast cell","Mast cell",24
"186","MAST CELL ACTIVATION","S100A12,CHGA","GO:0045576","Innate","Cells","Activation, Mast cell","Mast cell",2
"187","MAST CELL APOPTOTIC PROCESS","KITLG,NF1","GO:0033024","Innate","Cells","Apoptotic process, Mast cell","Mast cell",2
"188","MAST CELL CHEMOTAXIS","KIT,CHGA","GO:0002551","Innate","Cells","Chemotaxis, Mast cell","Mast cell",2
"189","MAST CELL DEGRANULATION","CBL,RAB44,PIK3CG,CLNK,RASGRP1,GPR15LG,PTGDS,SYK,KIT,CHGA,FCER1A,MILR1,ADORA2B,CPLX2","GO:0043303","Innate","Cells","Degranulation, Mast cell","Mast cell",14
"190","MAST CELL HOMEOSTASIS","SLC15A4","GO:0033023","Innate","Cells","Homeostasis, Mast cell","Mast cell",1
"191","MAST CELL MEDIATED IMMUNITY","SERPINB9,NDST2","GO:0002448","Innate","Cells","Immunity, Mast cell","Mast cell",2
"192","MAST CELL MIGRATION","KITLG,STAT5B","GO:0097531","Innate","Cells","Migration, Mast cell","Mast cell",2
"193","MATURE B CELL DIFFERENTIATION","IL2RG","GO:0002335","Adaptive","Humoral","Differentiation, B cell, Mature","B cell",1
"194","MATURE B CELL DIFFERENTIATION INVOLVED IN IMMUNE RESPONSE","RAG2,GPR183,C17orf99,FCGR2B","GO:0002313","Adaptive","Humoral","Differentiation, Immune response, B cell, Mature","B cell",4
"195","MATURE NATURAL KILLER CELL CHEMOTAXIS","XCL1","GO:0035782","Innate","Cells","Chemotaxis, NK cell, mature","NK cell",1
"196","MEMORY B CELL DIFFERENTIATION","ST3GAL1","GO:0002319","Adaptive","Humoral","Differentiation, B cell, Memory","B cell",1
"197","MEMORY T CELL ACTIVATION","TNFSF4","GO:0035709","Adaptive","Cellular","Activation, T cell, Memory","T cell",1
"198","MEMORY T CELL EXTRAVASATION","ITGAL","GO:0035683","Adaptive","Cellular","Extravasation, T cell, Memory","T cell",1
"199","MEMORY T CELL PROLIFERATION","DOCK8","GO:0061485","Adaptive","Cellular","Proliferation, T cell, Memory","T cell",1
"200","MICROGLIAL CELL ACTIVATION","SNCA,ITGAM,AIF1,TRPV1,IL13,C5AR1,IFNGR1,IFNGR2,CX3CL1,CLU,MAPT,AZU1,NAGLU","GO:0001774","Innate","Cellular","Activation, Microglial cell","Microglial cell",13
"201","MICROGLIAL CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE","CX3CR1,IL33,GRN","GO:0002282","Innate","Cellular","Activation, Immune response, Microglial cell","Microglial cell",3
"202","MONOCYTE ACTIVATION","AZU1,HYAL2,MT1G,CSF1,SPACA3,P0DOX3","GO:0042117","Innate","APC","Activation, Monocyte","Monocyte",6
"203","MONOCYTE CHEMOTAXIS","CCL3L1,CX3CL1,IL6R,CCL3,CCL18,CCL1,CCL7,LGALS3,CTSG,XCL1,CCL5,CCL2,CCL23,FLT1,CCL4,CCL4L1,CCL24,CCR2,CCL20,RPS19,CCL8,S100A12","GO:0002548","Innate","APC","Chemotaxis, Monocyte","Monocyte",22
"204","MONOCYTE EXTRAVASATION","CCR2,JAML,SIRPA,PECAM1","GO:0035696","Innate","APC","Extravasation, Monocyte","Monocyte",4
"205","MONOCYTE HOMEOSTASIS","MPL,CSF1","GO:0035702","Innate","APC","Homeostasis, Monocyte","Monocyte",2
"206","MONOCYTES","CCL3L1,CX3CL1,IL6R,CCL3,CCL18,CCL1,CCL7,LGALS3,CTSG,XCL1,CCL5,CCL2,CCL23,FLT1,CCL4,CCL4L1,CCL24,CCR2,CCL20,RPS19,CCL8,S100A12,AZU1,HYAL2,MT1G,CSF1,SPACA3,P0DOX3,JAML,SIRPA,PECAM1,MPL,CCL3L1,CX3CL1,IL6R,CCL3,CCL18,CCL1,CCL7,LGALS3,CTSG,XCL1,CCL5,CCL2,CCL23,FLT1,CCL4,CCL4L1,CCL24,CCR2,CCL20,RPS19,CCL8,S100A12,AZU1,HYAL2,MT1G,CSF1,SPACA3,P0DOX3,JAML,SIRPA,PECAM1,MPL,CCL3L1,CX3CL1,IL6R,CCL3,CCL18,CCL1,CCL7,LGALS3,CTSG,XCL1,CCL5,CCL2,CCL23,FLT1,CCL4,CCL4L1,CCL24,CCR2,CCL20,RPS19,CCL8,S100A12,AZU1,HYAL2,MT1G,CSF1,SPACA3,P0DOX3,JAML,SIRPA,PECAM1,MPL,CCL3L1,CX3CL1,IL6R,CCL3,CCL18,CCL1,CCL7,LGALS3,CTSG,XCL1,CCL5,CCL2,CCL23,FLT1,CCL4,CCL4L1,CCL24,CCR2,CCL20,RPS19,CCL8,S100A12,AZU1,HYAL2,MT1G,CSF1,SPACA3,P0DOX3,JAML,SIRPA,PECAM1,MPL","Manual","Innate","Monocytes","Monocytes","Cell",32
"207","MONONUCLEAR CELL MIGRATION","LGALS3","GO:0071674","Innate","Lymphocytes","Migration, Mononuclear cell","Mononuclear cells",1
"208","MUCOSA-ASSOCIATED LYMPHOID TISSUE DEVELOPMENT","NKX2-3","GO:0048537","General","Mucosa","Development, Lymphoid tissue, Mucosa","Undefined",1
"209","MUCOSAL IMMUNE RESPONSE","OTUD7B,CD160,IFNL2,IFNLR1","GO:0002385","General","Immune response","Immune response, Mucosa","Mucosa",4
"210","MYD88-DEPENDENT TOLL-LIKE RECEPTOR SIGNALING PATHWAY","TLR4,REG3G,HSPD1,TIRAP,BTK","GO:0002755","Innate","PRR","PRR, TLR MyD88 dep","All",5
"211","MYD88-INDEPENDENT TOLL-LIKE RECEPTOR SIGNALING PATHWAY","TICAM1","GO:0002756","Innate","PRR","PRR, TLR MyD88 indep","All",1
"212","MYELOID CELL HOMEOSTASIS","FANCC,NCKAP1L,SOD1,BAX,HAMP,ITPKB","GO:0002262","Innate","Cellular","Homeostasis, Myeloid cell","NK T cell",6
"213","MYELOID DENDRITIC CELL ACTIVATION","HMGB1","GO:0001773","Innate","APC","Activation, Dendritic cell, Myeloid","Dendritic cell",1
