process,immune_system,immune_subsystem,cells,set_size,genes,immune_set
"Differentiation, CD4+, CD25+, abTreg",Adaptive,Cellular,T cell,2,"FUT7,IL2RG",ImmuneGO by Modules
"Lineage commitment, CD4+, CD25+, abTreg",Adaptive,Cellular,T cell,1,TOX,ImmuneGO by Modules
"Activation, CD8+, abT cell",Adaptive,Cellular,T cell,2,"HLA-E,WDFY4",ImmuneGO by Modules
"Differentiation, CD8+, abT cell",Adaptive,Cellular,T cell,3,"PSMB11,IRF1,TNFSF8",ImmuneGO by Modules
"Differentiation, Immune response, CD8+, abT cell",Adaptive,Cellular,T cell,1,EOMES,ImmuneGO by Modules
"Lineage commitment, CD8+, abT cell",Adaptive,Cellular,T cell,2,"TOX,BCL2",ImmuneGO by Modules
"Differentiation, CD8+, gdT cell, Intraepithelial",Adaptive,Cellular,T cell,1,KLRC1,ImmuneGO by Modules
"PRR, Cell surface, Pathway",Innate,PRR,All,3,"MBL2,LBP,CD14",ImmuneGO by Modules
Cellular extravasation,General,General,Leukocyte,3,"ITGA1,AZU1,JAM2",ImmuneGO by Modules
Cellular response to Interferon I,Innate,Interferon,Undefined,1,IFIT1,ImmuneGO by Modules
Cellular response to Interferon II,Innate,Interferon,Undefined,59,"DAPK1,WAS,CCL5,CCL4,STXBP1,NOS2,AQP4,CCL8,STXBP4,CD47,STX4,STAT1,CLDN1,GBP6,CCL1,GBP2,CCL3,GBP1,CCL4L1,CCL3L1,ACTG1,RAB43,CCL18,CCL2,FCAR,IL12RB1,RPS6KB1,MRC1,CX3CL1,XCL1,TDGF1,TLR4,IRF8,CDC42,RPL13A,CCL20,LGALS9,STXBP3,MYO1C,ACTR2,CCL24,ACTR3,CASP1,FASLG,SIRPA,CCL7,CCL23,KIF5B,VIM,CD58,CALM1,GBP7,IL12B,WNT5A,HLA-DPA1,PDE12,ACOD1,ADAMTS13,AIF1",ImmuneGO by Modules
"Antigen, Chronic, Inflammatory response",Innate,Inflammation,Undefined,1,IL10,ImmuneGO by Modules
"Activation, Complement",Complement,Complement,Undefined,16,"C4B,CFHR2,C7,CFH,C4A,C6,CFD,CFHR3,MASP1,CFHR1,C1S,CLU,C1R,MASP2,CFP,CFB",ImmuneGO by Modules
"Complement, Alternative pathway",Complement,Complement,Undefined,7,"CFD,CR1,CFP,CFB,CR2,CFH,C7",ImmuneGO by Modules
"Complement, Classical pathway",Complement,Complement,Undefined,17,"SUSD4,C1QBP,C6,CD46,MBL2,C4BPB,C1R,CD55,C1S,NCR3LG1,CR1,C4A,C7,C4B,CR2,CLU,MASP2",ImmuneGO by Modules
"Complement, Lectin pathway",Complement,Complement,Undefined,3,"MASP1,MBL2,MASP2",ImmuneGO by Modules
"Complement, C5a pathway",Complement,Complement,Undefined,1,C5AR1,ImmuneGO by Modules
"Complement, Pathway",Complement,Complement,Undefined,8,"C5AR1,FPR1,GPLD1,GPR32P1,CR1,FPR2,FPR3,CR2",ImmuneGO by Modules
"PRR, Cytosolic, Pathway",Innate,PRR,Undefined,4,"MAVS,RIGI,CGAS,STING1",ImmuneGO by Modules
"Degranulation, Cytotoxic T cell",Adaptive,Cellular,T cell,1,RAB27A,ImmuneGO by Modules
"Chemotaxis, Dendritic cell",Innate,APC,Dendritic cell,10,"CCR2,CXCR2,CCR1,CXCR4,CXCR1,CCR7,HMGB1,GPR183,PIK3CG,CCL5",ImmuneGO by Modules
"Homeostasis, Dendritic cell",Innate,APC,Dendritic cell,2,"GPR183,F2R",ImmuneGO by Modules
"Migration, Dendritic cell",Innate,APC,Dendritic cell,5,"ALOX5,CDC42,EPS8,DOCK8,NLRP12",ImmuneGO by Modules
Diapedesis,General,General,Leukocyte,3,"FER,ITGA4,PECAM1",ImmuneGO by Modules
"Differentiation , DN2 thymocyte",Adaptive,Cellular,T cell,3,"LIG4,PTPRC,RAG2",ImmuneGO by Modules
"Differentiation , DN4 thymocyte",Adaptive,Cellular,T cell,1,ABL1,ImmuneGO by Modules
"Chemotaxis, Eosinophil",Innate,Eosinophil,Eosinophil,16,"SCG2,CCL5,CCL4,CCL18,CCL3,LGALS3,CCL23,CCL1,CCL8,CCL4L1,CCL2,CCL7,CX3CL1,CCL3L1,XCL1,CCL24",ImmuneGO by Modules
"Degranulation, Eosinophil",Innate,Eosinophil,Eosinophil,4,"VAMP2,VAMP7,CCL3,FCER1A",ImmuneGO by Modules
"Homeostasis, Eosinophil",Innate,Eosinophil,Eosinophil,2,"BTK,MPL",ImmuneGO by Modules
"Migration, Eosinophil",Innate,Eosinophil,Eosinophil,1,EPX,ImmuneGO by Modules
Establishment of T cell polarity,Adaptive,Cellular,T cell,3,"CCR7,CRTAM,MYH9",ImmuneGO by Modules
"Selection, T cell, Extrathymic",Adaptive,Cellular,T cell,1,IL15,ImmuneGO by Modules
"Fc receptor, Pathway",Adaptive,Tolerance,Undefined,1,FCER1G,ImmuneGO by Modules
"Fc-gR signaling, phagocytosis",Adaptive,Humoral,B cell,14,"LIMK1,VAV2,SRC,VAV1,SYK,ABL1,PRKCE,MYO1G,HCK,PTK2,PRKCD,FGR,PLPP4,FCGR2B",ImmuneGO by Modules
"Differentiation, folicular B cell",Adaptive,Humoral,B cell,4,"FCGR2B,IRF8,SPI1,PLCG2",ImmuneGO by Modules
"Activation, gdT cell",Adaptive,Cellular,T cell,7,"ITK,CXADR,JAML,CD3G,CD247",ImmuneGO by Modules
"Differentiation, gdT cell",Adaptive,Cellular,T cell,4,"SYK,STAT5B,TCF7,PTPRC",ImmuneGO by Modules
"Differentiation, Germinal center, B cell",Adaptive,Humoral,B cell,3,"CDH17,SPI1,IRF8",ImmuneGO by Modules
"Formation, Germinal center",Adaptive,Germinal center,Germinal center,6,"MEF2C,UNC13D,BCL6,ADAM17,NFKB2,BCL3",ImmuneGO by Modules
"Chemotaxis, Granulocyte",Innate,Granulocyte,Granulocyte,2,"CCL3,IL17RC",ImmuneGO by Modules
"Formation, Granuloma",Innate,Innate,Undefined,2,"UNC13D,CEBPB",ImmuneGO by Modules
"Diapedesis, Th cell",Adaptive,Cellular,T cell,2,"CRKL,CRK",ImmuneGO by Modules
"Extravasation, Th cell",Adaptive,Cellular,T cell,1,CCL2,ImmuneGO by Modules
"Organ development, Hematopoietic or lymphoid",General,Organ,Undefined,2,"ASXL1,LTBR",ImmuneGO by Modules
"Immune response, Hepatic",General,Organ,Undefined,1,IL6R,ImmuneGO by Modules
"Secretion, Histamine, Mast cell",Innate,Cells,Mast cell,4,"BTK,SNAP23,SLC18A2,RAB44",ImmuneGO by Modules
"Secretion, Histamine, IgE",Innate,Cells,Mast cell,1,RAB44,ImmuneGO by Modules
Humoral immune response,General,Humoral,Undefined,23,"IFNA8,CCR2,IL7,NOTCH2,GATA3,IFNE,BMI1,CD83,CD28,ALOX5,MS4A1,BCL2,PSMB10,CCL2,TFEB,MEF2C,GPR183,BST1,TFE3,ST6GAL1,POU2F2,RBPJ,NOTCH1",ImmuneGO by Modules
"Ig, Humoral immune response",Adaptive,Humoral,B cell,3,"BCL3,ZP3,CD81",ImmuneGO by Modules
"Differentiation, B cell, Immature",Adaptive,Humoral,B cell,5,"SPI1,PRKDC,IRF2BP2,KIT,SYVN1",ImmuneGO by Modules
"Proliferation, thymus, T cell, immature",Adaptive,Humoral,B cell,2,"WNT4,CLEC4G",ImmuneGO by Modules
"Clearance, Immune complex",Innate,Innate,Undefined,1,CLU,ImmuneGO by Modules
"Clearance, Immune complex, Monocytes, Macrophages",Innate,Innate,APC,1,FCGR2B,ImmuneGO by Modules
Immune response,General,General,Undefined,262,"HLA-C,CCL1,RAG1,CXCL14,VAV1,IL2RG,CCL20,HLA-DOB,LILRB2,CD1C,ITGB8,HLA-DPA1,CCR7,TNFSF15,CCL2,PTAFR,CEACAM8,CD1E,SCAP,C7,CX3CR1,KIR3DL1,HLA-DMA,IL12A,ETS1,CXCL6,CCR1,IL10,HLA-E,CCR2,CCL4L1,C1R,PNP,GPR183,IL1RL1,FCGR1A,XCL1,CXCL12,LAX1,CXCL1,CD1D,DPP8,TNFSF8,ENPP1,CRHR1,GTPBP1,IL3,EXOSC9,NRROS,KIR2DL1,LY86,IL18RAP,LIF,IGSF6,HAMP,CCL24,TGFBR3,SERPINB9,CEBPG,CR2,ADGRE5,CIITA,CCL4,IGF1R,IFITM2,IL1RN,CRIP1,XBP1,GPR65,TCF7,TNFSF4,S1PR4,LTB,IL15,PKHD1L1,RGS1,CCL23,CD96,IL10RB,HLA-DMB,IL7,CTSK,WAS,ACKR3,CTSS,IL13,PIK3R1,CD28,IL32,VPREB1,THBS1,CNIH1,CXCL2,FASLG,CXCR5,DEFA1,ENDOU,OPRD1,CXCR1,ZAP70,RFX1,CTSG,CCR10,GEM,PIK3CG,SP2,HLA-DRB3,MAP4K2,CCL7,CHST4,IFI6,TNFRSF1B,TYK2,TNFSF10,IL27RA,FCGR3A,IL7R,CCL3L1,KIR2DL3,CXCL3,HRH2,TRIM22,SPN,CSF3,CCL5,CXCR4,PF4V1,LTBR,BMPR1A,CXCL5,CD79B,TLR4,FAS,C6,CTLA4,FCAR,CD70,SMAD3,PRG2,FCGR2B,RAET1L,FCGR2C,CCL3,IRF8,CD80,CTSW,GBP6,CNR2,CXCR2,IL1R1,XCR1,GBP2,HLA-F,RAET1G,C5AR1,NOTCH1,IL1R2,DEFB1,CCL8,CD8B,IL9,CTSH,IFITM3,CD7,PTGER4,CD1B,CX3CL1,ITGB6,B2M,CXCR3,OSM,BMP6,KIR2DS2,OPRK1,CEBPB,AZGP1,HLA-G,HLA-DRB4,CXCL8,IL2,CD40LG,CCL18,MS4A2,CLEC4G,GZMA,IRAK1BP1,TNFRSF4,FCGRT,CTSC,CD164,CXCL9,IL4R,CD86,CFP,C1QBP,TNFSF9,PIK3R6,CYP11B1",ImmuneGO by Modules
"Immune response, Gut",General,General,Undefined,2,"ITGA4,ITGB7",ImmuneGO by Modules
"Immune response, Nasopharyngeal",General,General,Undefined,1,TTLL1,ImmuneGO by Modules
"Immune response, Tumor cell",General,General,Undefined,1,PRF1,ImmuneGO by Modules
"Immune response, Cell-surface receptor pathway",General,General,Undefined,1,BAG6,ImmuneGO by Modules
"Immune system, Development",General,General,Undefined,4,"SMAD3,BCL2,RO60,GATA3",ImmuneGO by Modules
"Immune system, Process",General,General,Undefined,509,"TXK,P0DOX8,STMP1,GZMM,EIF2AK2,LILRA5,FBXO38,LGALS9,P0DOX7,LILRA3,P0DOX3,CEACAM20,THEMIS,CD55,GBP2,FGR,CLEC6A,RNF135,HK1,JAGN1,TMEM33,C6,ADSS2,IFIT2,IFITM2,CD40,BTN3A2,BPI,LILRA6,MYO1G,CD1D,TRIM23,HLA-E,LGALS3,SPIRE1,ENDOD1,CAMP,PRKDC,CFD,HLA-G,PRKCE,CASP4,C1S,SLC15A4,IFI6,HLA-F,CD81,OLR1,TEC,CFB,XRCC6,XRCC5,CD19,GBP1,CFH,ADAR,TAP1,F2RL1,HLA-DMB,ACOD1,SFTPD,CTPS1,RIGI,SARM1,TRIM26,MBL2,PSMB8,KLRC2,LCN2,RNF213,C7,PRKCQ,NMB,P0DOX4,NLRC5,S100A12,BPIFC,LILRB2,TAP2,HLA-DPA1,TRIM65,HMGB1,LAIR1,CSK,ITGAM,TREML4,PTMS,PSMA1,CSF1,USP14,APOBEC3H,FCGR2A,TAX1BP1,CD160,CLU,BCL6,P0DOX5,PELI3,HP,HEXIM1,TNFAIP8L2,OTUD7B,CD79A,CD14,SFPQ,DEFA5,PLD3,HMGB2,APOBEC3F,BTK,PRG2,KLRC1,CD177,CR1,KLRK1,RNF19B,NLRP2B,MST1R,MASP2,IDO2,C4A,PIK3CG,MAVS,HLA-DOB,CLEC10A,TIRAP,LBP,SIRT2,DAB2IP,MIF,PARP9,STING1,PSMB9,PLPP6,IL4R,IL34,IRGM,ZAP70,ADARB1,SSC5D,NLRP10,IL27,C1R,DHX9,P0DOX6,C1QBP,CD300C,SYK,CD46,CD300LB,MASP1,SUSD4,ARID5A,FCGR1A,IL31RA,NLRP9,IRF2,CD1C,GBP6,MMP3,HLA-DRB4,C4B,IRF1,C17orf99,MATR3,JAML,IL23R,IFI30,PML,GPR183,HMHB1,CD7,ITK,SLFN11,LACC1,NLRX1,IL2,OAS2,IFIT1,SLC15A3,CD1E,P0DOX2,ZNF683,TICAM2,OTUD4,HLA-DRB3,IRF9,IFITM1,ETS1,MX2,CD8B,BTLA,B2M,APOBEC3A,ARG2,CD300LD,IRF8,JAK3,RAET1L,CD247,ZC3HAV1,IFITM3,TARM1,CD3G,CX3CR1,CD86,PARP1,THEMIS2,CFP,CD8B2,MAP4K2,HCK,MCOLN2,GBP7,USP27X,NLRP6,METTL3,GP2,CD1B,EOMES,LY86,SERINC5,BST2,IL31,MX1,IRAG2,GATA3,BAG6,HLA-C,MYSM1,CTLA4,VSTM1,CD300LG,SKAP1,FCER1G,VTCN1,SRC,C4BPB,TTC4,FCGR3A,DEFA6,FGL1,TLR4,CGAS,TBKBP1,IDO1,HLA-DMA,CRTAM,DDX60,CR2,TFE3,BCL10,GSDMD,LILRA4,TNFRSF17,TFEB,ERAP2,LILRB4,MAP3K8,RAET1G,TICAM1,AXL,LAG3,CD6,LILRA2,IFI27,DCAF15,ADSS1,LAX1,IFI35,LILRB1,CD79B,BTNL8",ImmuneGO by Modules
"V(D)J, Ig Heavy chain",Adaptive,Humoral,B cell,1,YY1,ImmuneGO by Modules
"Ig, Immune response",Adaptive,Humoral,B cell,62,"IL4R,IL9R,CD19,PRKCD,MPL,FCGR2B,IL9,BCL10,FCER1G,IL2RB,CD27,CSF2RB",ImmuneGO by Modules
"V(D)J, Ig",Adaptive,Humoral,B cell,3,"TCF3,PRKDC,LIG4",ImmuneGO by Modules
"Formation, Immunological synapse",Adaptive,Cellular,T cell,6,"CD6,DOCK8,MSN,CD81,PRF1,EPHB1",ImmuneGO by Modules
Induction of Bacterial agglutination,Undefined,Undefined,Undefined,1,RNASE3,ImmuneGO by Modules
"Inflammatory response, Antigenic stimulus",Innate,Inflammation,Undefined,12,"NOTCH1,PNMA1,IL20RB,HMGB2,FOSL2,IL5RA,IL1RN,HMGB1,NOTCH2,RBPJ,RASGRP1,CD68",ImmuneGO by Modules
Innate immune response,Innate,General,Innate,250,"PPARG,IFNL4,PML,REL,RIGI,APOBEC3F,DEFB108B,CLEC6A,MST1R,OAS2,BPI,CAMP,NLRP10,ADARB1,BST2,TRIM27,MAVS,IRGM,TRIM21,PTX3,DEFB125,SSC5D,LGALS3,DAPK1,GBP1,GSDMD,STMP1,TRIM26,TARM1,TRIM51G,TAC1,RFPL4A,METTL3,MIF,TRIML2,CFD,NLRP2B,MBL2,IFI35,CLU,RNF135,SFPQ,IFI6,TAX1BP1,SFTPD,LILRA5,TTC4,HLA-C,LILRA4,IFNL2,CYBA,CSF1,FCGR1A,PARP1,CD46,SERINC5,DEFB131A,SARM1,LY86,CGAS,TRIM23,JAK3,STING1,CHGA,CX3CR1,KLRC2,PRKDC,CD160,KLRK1,FGR,BPIFB3,RFPL4AL1,MAP4K2,TRIM77,C1S,TRIM64C,DEFB128,PELI3,APOBEC3A,TMEM33,DEFB108A,IFIT2,GP2,VNN1,ADAR,DEFB1,APOBEC3H,IFITM3,GZMM,DEFB131B,XRCC5,FRK,NCF1,NLRC5,RNASE3,CD6,TRIM40,TNFAIP8L2,TRIM64B,C4B,TRIM22,TRIM48,F2RL1,CLEC10A,DEFB105A,HMGB2,BTK,ARG2,TLR4,KLRC1,PARP9,CD177,CR1,XRCC6,DEFB124,KRT16,NCF2,TICAM1,MASP2,S100A12,CFH,SYK,TRIM49D1,GATA3,C1QBP,HK1,BPIFC,IFNL3,CFP,HCK,TRIM65,NEDD4,DEFA5,CASP4,TREML1,SLC15A4,LBP,WFDC3,GARIN5A,LILRA2,WFDC10B,WFDC13,IFIT1,TRIM49C,CD55,GBP6,TRIM59,CD1D,NMB,NFKB2,MMP3,RELB,GBP2,TRIM64,PIK3CG,IFI27,ANKHD1,IRF1,SDHAF4,CD14,F12,ACOD1,UBA7,DEFB123,DEFB132,USP27X,B2M,LACC1,NLRX1,PLPP6,SPIRE1,NLRP9,HLA-E,ZC3HAV1,MX2,TBKBP1,PI3,ZNF683,IL27,TICAM2,C4A,OTUD4,DHX9,C1R,TRIM49B,TRIM43B,CORO1A,NFKB1,MATR3,DEFA4,HMGB1,GBP7,SIRT2,DEFB119,ITGAM,LCN2,SRC,C7,SRPK2,DEFA6,USP14,IL34,TRIM49,SLC15A3,FCER1G,MX1,IFITM2,BCL10,TIRAP,FOSL2,ENDOD1,SUSD4,DEFB106A,ZAP70,NQO1,IPO7,DDX60,MCOLN2,C6,EIF2AK2,IFITM1,HEXIM1,C4BPB,TREML4,CRISP3,ARID5A,WFDC9,DEFB107A,CFB,MASP1,TRIML1,CR2,RELA,TRIM58,IFNL1,AXL,WFDC11,NLRP6,DAB2IP,TRIM68,IL23R",ImmuneGO by Modules
"Cell surface receptor, Innate",Innate,Innate,Innate,1,LILRA2,ImmuneGO by Modules
"Innate immune response, mucosa",Innate,Innate,Innate,14,"NOS2,FAU,H2BC12L,DEFA3,DEFB1,H2BC10,DEFA1,RNASE3,RNASE2,DEFA6,DEFA5,DEFA4,CAMP,RPL39",ImmuneGO by Modules
"Innate immune response, Pathway",Innate,Innate,Innate,1,HCK,ImmuneGO by Modules
Isotype switching,Adaptive,Humoral,B cell,9,"LIG4,MSH2,MLH1,ERCC1,CD40LG,UNG,RNF168,SANBR,MSH6",ImmuneGO by Modules
"Isotype switching, IgE",Adaptive,Humoral,B cell,2,"BCL6,STAT6",ImmuneGO by Modules
"Isotype switching, IgG",Adaptive,Humoral,B cell,1,HSPD1,ImmuneGO by Modules
"Differentiation, Langerhans",Innate,APC,APC,3,"TGFBR2,ITGB8,ITGB6",ImmuneGO by Modules
"Activation, Leukocyte",General,Leukocyte,Leukocyte,3,"PRDX1,PRDX2,ZNF3",ImmuneGO by Modules
"Activation, Immune response, Leukocyte",General,Leukocyte,Leukocyte,2,"SYK,IL2",ImmuneGO by Modules
"Activation, Inflammatory response, Leukocyte",General,Leukocyte,Leukocyte,1,SCNN1B,ImmuneGO by Modules
"Activation, Adhesive, Leukocyte",General,Leukocyte,Leukocyte,1,CX3CL1,ImmuneGO by Modules
"Chemotaxis, Leukocyte",General,Leukocyte,Leukocyte,10,"CXCR5,CX3CR1,S1PR1,PPIA,GPR183,IL10,CX3CL1,CNR2,MT-RNR2,CORO1A",ImmuneGO by Modules
"Chemotaxis, Inflammatory response, Leukocyte",General,Leukocyte,Leukocyte,4,"ALOX5,MDK,PTN,LBP",ImmuneGO by Modules
"Degranulation, Leukocyte",General,Leukocyte,Leukocyte,1,HCK,ImmuneGO by Modules
"Homeostasis, Leukocyte",General,Leukocyte,Leukocyte,4,"BAX,BCL2,CXCL6,FLT3",ImmuneGO by Modules
"Cytotoxicity, Leukocyte",General,Leukocyte,Leukocyte,1,PRF1,ImmuneGO by Modules
"Immunity, Leukocyte",General,Leukocyte,Leukocyte,1,DBH,ImmuneGO by Modules
"Migration, Leukocyte",General,Leukocyte,Leukocyte,18,"PDE4B,SELL,MYH9,MSN,AIMP1,ELANE,SRC,SELP,SELE,ADORA1,ITGA3,DBH,F2RL1,SOS1,ITGB7,ADD2,ITGA6,CD34",ImmuneGO by Modules
"Migration, Immune response, Leukocyte",General,Leukocyte,Leukocyte,2,"HCK,FUT7",ImmuneGO by Modules
"Migration, Inflammatory response, Leukocyte",General,Leukocyte,Leukocyte,6,"ELANE,CX3CL1,ADAM8,ALOX5,SELE,FUT7",ImmuneGO by Modules
"Tethering or roling, Leukocyte",General,Leukocyte,Leukocyte,12,"SELE,VCAM1,SELL,SELP,SPN,ADD2,JAM2,ITGB7,GCNT1,ITGA4,CX3CR1,LEP",ImmuneGO by Modules
"Development, Lymph node",General,Organ,Lymphocyte,9,"CXCR5,NKX2-3,IL7R,IL15,PDPN,RORC,RC3H1,SPNS2,LTB",ImmuneGO by Modules
"Activation, Lymphocyte",Adaptive,General,Lymphocyte,4,"LAX1,AXL,TYRO3,MERTK",ImmuneGO by Modules
"Chemotaxis, Lymphocyte",Adaptive,General,Lymphocyte,18,"CCL3,CCL18,CCL4,CCL7,XCL1,CCL2,ADAM8,GPR15LG,CX3CL1,CCL4L1,CCL1,CCL3L1,SAA1,CCL8,CCL24,CCL5,CCL20,CCL23",ImmuneGO by Modules
"Differentiation, Lymphocyte",Adaptive,General,Lymphocyte,6,"IL2RG,STAT5B,PRKDC,RELB,TOX,SPI1",ImmuneGO by Modules
"Homeostasis, Lymphocyte",Adaptive,General,Lymphocyte,7,"SPNS2,SOS1,BCL2,TNFRSF17,SKIL,PACS1,SOS2",ImmuneGO by Modules
"Migration, Lymphocyte",Adaptive,General,Lymphocyte,2,"GATA3,SPNS2",ImmuneGO by Modules
"Migration, Lymphonode, Lymphocyte",Adaptive,General,Lymphocyte,3,"FUT4,CCR7,FUT7",ImmuneGO by Modules
"Migration, Lymphoid organs, Lymphocyte",Adaptive,General,Lymphocyte,3,"CRTAM,ARTN,FUT7",ImmuneGO by Modules
"Proliferation, Lymphocyte",Adaptive,General,Lymphocyte,6,"IL2,IMPDH2,HPRT1,FLT3,TLR4,PURA",ImmuneGO by Modules
"Activation, Macrophage",Innate,APC,Macrophage,10,"IL13,HAMP,CRTC3,JMJD6,FCGR3A,TMEM229B,SLC11A1,ADGRF5,TLR4,EDN2",ImmuneGO by Modules
"Activation, Immune response, Macrophage",Innate,APC,Macrophage,7,"TICAM1,IFI35,IL33,PRKCE,SYK,LBP,PLCG2",ImmuneGO by Modules
"Chemotaxis, Macrophage",Innate,APC,Macrophage,12,"SFTPD,CCL2,LGALS3,AZU1,EDNRB,EDN2,RPL13A,CXCL17,CCL5,SAA1,CCL3,MMP2",ImmuneGO by Modules
"Homeostasis, Macrophage",Innate,APC,Macrophage,2,"LIPA,CSF1",ImmuneGO by Modules
"Migration, Macrophage",Innate,APC,Macrophage,5,"ROR2,MCOLN2,BCR,CCR2,B4GALT1",ImmuneGO by Modules
"Differentiation, B cell, Marginal zone",Adaptive,Humoral,B cell,4,"CDH17,BCL3,LFNG,NOTCH2",ImmuneGO by Modules
"Activation, Mast cell",Innate,Cells,Mast cell,2,"S100A12,CHGA",ImmuneGO by Modules
"Apoptotic process, Mast cell",Innate,Cells,Mast cell,2,"KITLG,NF1",ImmuneGO by Modules
"Chemotaxis, Mast cell",Innate,Cells,Mast cell,2,"KIT,CHGA",ImmuneGO by Modules
"Degranulation, Mast cell",Innate,Cells,Mast cell,14,"CBL,RAB44,PIK3CG,CLNK,RASGRP1,GPR15LG,PTGDS,SYK,KIT,CHGA,FCER1A,MILR1,ADORA2B,CPLX2",ImmuneGO by Modules
"Homeostasis, Mast cell",Innate,Cells,Mast cell,1,SLC15A4,ImmuneGO by Modules
"Immunity, Mast cell",Innate,Cells,Mast cell,2,"SERPINB9,NDST2",ImmuneGO by Modules
"Migration, Mast cell",Innate,Cells,Mast cell,2,"KITLG,STAT5B",ImmuneGO by Modules
"Differentiation, B cell, Mature",Adaptive,Humoral,B cell,1,IL2RG,ImmuneGO by Modules
"Differentiation, Immune response, B cell, Mature",Adaptive,Humoral,B cell,4,"RAG2,GPR183,C17orf99,FCGR2B",ImmuneGO by Modules
"Chemotaxis, NK cell, mature",Innate,Cells,NK cell,1,XCL1,ImmuneGO by Modules
"Differentiation, B cell, Memory",Adaptive,Humoral,B cell,1,ST3GAL1,ImmuneGO by Modules
"Activation, T cell, Memory",Adaptive,Cellular,T cell,1,TNFSF4,ImmuneGO by Modules
"Extravasation, T cell, Memory",Adaptive,Cellular,T cell,1,ITGAL,ImmuneGO by Modules
"Proliferation, T cell, Memory",Adaptive,Cellular,T cell,1,DOCK8,ImmuneGO by Modules
"Activation, Microglial cell",Innate,Cellular,Microglial cell,13,"SNCA,ITGAM,AIF1,TRPV1,IL13,C5AR1,IFNGR1,IFNGR2,CX3CL1,CLU,MAPT,AZU1,NAGLU",ImmuneGO by Modules
"Activation, Immune response, Microglial cell",Innate,Cellular,Microglial cell,3,"CX3CR1,IL33,GRN",ImmuneGO by Modules
"Activation, Monocyte",Innate,APC,Monocyte,6,"AZU1,HYAL2,MT1G,CSF1,SPACA3,P0DOX3",ImmuneGO by Modules
"Chemotaxis, Monocyte",Innate,APC,Monocyte,22,"CCL3L1,CX3CL1,IL6R,CCL3,CCL18,CCL1,CCL7,LGALS3,CTSG,XCL1,CCL5,CCL2,CCL23,FLT1,CCL4,CCL4L1,CCL24,CCR2,CCL20,RPS19,CCL8,S100A12",ImmuneGO by Modules
"Extravasation, Monocyte",Innate,APC,Monocyte,4,"CCR2,JAML,SIRPA,PECAM1",ImmuneGO by Modules
"Homeostasis, Monocyte",Innate,APC,Monocyte,2,"MPL,CSF1",ImmuneGO by Modules
"Migration, Mononuclear cell",Innate,Lymphocytes,Mononuclear cells,1,LGALS3,ImmuneGO by Modules
"Development, Lymphoid tissue, Mucosa",General,Mucosa,Undefined,1,NKX2-3,ImmuneGO by Modules
"Immune response, Mucosa",General,Immune response,Mucosa,4,"OTUD7B,CD160,IFNL2,IFNLR1",ImmuneGO by Modules
"PRR, TLR MyD88 dep",Innate,PRR,All,5,"TLR4,REG3G,HSPD1,TIRAP,BTK",ImmuneGO by Modules
"PRR, TLR MyD88 indep",Innate,PRR,All,1,TICAM1,ImmuneGO by Modules
"Homeostasis, Myeloid cell",Innate,Cellular,NK T cell,6,"FANCC,NCKAP1L,SOD1,BAX,HAMP,ITPKB",ImmuneGO by Modules
"Activation, Dendritic cell, Myeloid",Innate,APC,Dendritic cell,1,HMGB1,ImmuneGO by Modules
"APP, Dendritic cell, Myeloid",Innate,APC,Dendritic cell,1,HLA-DRB3,ImmuneGO by Modules
"Chemotaxis, Dendritic cell, Myeloid",Innate,APC,Dendritic cell,2,"CCR7,ARHGEF5",ImmuneGO by Modules
"Differentiation, Myeloid Dendritic cell",Innate,APC,Dendritic cell,8,"SPI1,BATF2,TGFBR2,NOTCH2,LTBR,PSEN1,RELB,RBPJ",ImmuneGO by Modules
"Migration, Myeloid leukocyte",General,Cells,Leukocyte,4,"CSF1,PAFAH1B1,PIK3R1,NF1",ImmuneGO by Modules
"Activation, NK cell",Innate,Cells,NK cell,8,"IL12B,PRDX1,GATA3,KLRK1,BAG6,FCGR3A,IL2,RASGRP1",ImmuneGO by Modules
"Activation, Immune response, NK cell",Innate,Cells,NK cell,3,"IFNA8,IFNE,IL12B",ImmuneGO by Modules
"Chemotaxis, NK cell",Innate,Cells,NK cell,1,PIK3CG,ImmuneGO by Modules
"Degranulation, NK cell",Innate,Cells,NK cell,6,"FCGR3A,UNC13D,KLRF2,RAB27A,VAMP7,CORO1A",ImmuneGO by Modules
"Differentiation, NK cell",Innate,Cells,NK cell,9,"KAT7,SP3,PBX1,PTPRC,MERTK,AXL,STAT5B,TYRO3,IL15",ImmuneGO by Modules
"Cytotoxicity, NK cell",Innate,Cells,NK cell,15,"FCGR3A,PTPN6,GZMB,RAET1G,LAG3,TUBB4B,PLEKHM2,CEBPG,RNF19B,KIF5B,KLRK1,STAT5B,KIR3DL1,PRDX1,CLEC2A",ImmuneGO by Modules
"Immunity, NK cell",Innate,Cells,NK cell,1,KLRC2,ImmuneGO by Modules
"Proliferation, NK cell",Innate,Cells,NK cell,3,"IL15,EMP2,STAT5B",ImmuneGO by Modules
"Tolerance, NK cell",Innate,Cells,NK cell,2,"LGALS9,HLA-E",ImmuneGO by Modules
"Selection-, T cell, Memory",Adaptive,Cellular,T cell,1,THEMIS,ImmuneGO by Modules
"Selection-, T cell, Thymic",Adaptive,Cellular,T cell,6,"ZAP70,GLI3,CD28,CCR7,SPN,PTPRC",ImmuneGO by Modules
