id,immune_system,immune_subsystem,cells,module_title,composite_name,module_size_4,module_category,annotation_level,web_link,module_member_genes,top_matched_pathway_in_kegg_pid_and_biocarta,jaccard_index_10,enrichment_p_value_11,pathway_size,overlap_size_13,top_matched_chaussabel_module,jaccard_index_15,enrichment_p_value_16,module_size_17,overlap_size_18,top_matched_transcription_factor,jaccard_index_20,enrichment_p_value_21,gene_set_size,overlap_size_23,top_matched_gene_ontology_terms_number_of_matched_genes
M11.0,Innate,Cells,Monocyte,enriched in monocytes (II),enriched in monocytes (II) (M11.0),189,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M11.0.htm,"FXYD6,KCNE3,FAM198B,HSPA6,LAT2,CD33,TIMP2,CD36,TNFSF12-TNFSF13,C5AR1,MARCH1,FCGR1B,FCGR1A,SLC15A3,S100A11,MS4A7,MAFB,S100A12,CPPED1,TYROBP,FGR,PLA2G7,IRAK3,LYN,PYGL,SIRPA,FCAR,CRISPLD2,RNASE2,TBXAS1,PLBD1,HK3,FPR2,NOD2,IFI30,AQP9,IMPA2,LRP1,TMEM176A,CSF3R,RBP7,CACNA2D3,MS4A4A,HPSE,KCTD12,SMPDL3A,LST1,RBM47,SYK,SECTM1,PLXDC2,TLR2,CD163,BST1,TLR4,GLT1D1,TREM1,TLR8,FBP1,TNFSF13,CD1D,CSF2RA,SLC7A7,EMR2,RASSF4,SLC31A2,MGST1,IFNGR2,RIN2,LY86,PLXNB2,LILRB3,LILRB2,LILRB1,CLEC7A,QPCT,RNF130,PILRA,NFE2,TNS3,HNMT,GCA,FCN1,TFEC,VNN2,VNN3,TLR5,RTN1,NCF1C,GAS2L1,GRN,BLVRB,ITGAX,MS4A6A,IL13RA1,CD93,TNFAIP2,CD14,ITGAM,SIRPB1,SORT1,AIF1,BTK,NCF2,NCF1,MYCL1,CCR1,CD302,PTAFR,HCK,STAB1,P2RY13,FCER1G,SPI1,CYP1B1,NLRP3,CSF1R,CD86,SCPEP1,ADAP2,S100A9,S100A8,CST3,KIAA0513,EPB41L3,MTMR11,CSTA,RXRA,ASGR1,ASGR2,FES,LGALS2,PRAM1,KIAA1598,CDA,SGK1,LMO2,ALDH2,FGL2,CLEC4E,CTSH,CYFIP1,MPEG1,PLAUR,IGSF6,NLRP12,MEGF9,APOB48R,F13A1,ALDH1A1,SERPINA1,CEBPA,KYNU,RAB32,RAB31,CEBPD,SEPX1,SIGLEC7,SULF2,MYOF,KLF4,FPR1,MNDA,FCGRT,ALOX5,ANPEP,PDGFC,NRGN,PRKCD,FCGR2A,CYBB,PADI2,CPVL,DMXL2,AOAH,CHST15,CFD,SLC11A1,CLEC4A,ZNF467,TYMP,SIGLEC9,LILRA6,TGFBI,LILRA5,LILRA2,LILRA3,CFP,LILRA1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (104), plasma membrane (72), integral to membrane (62)"
M23,Innate,Cells,Monocyte,"RA, WNT, CSF receptors network (monocyte)","RA, WNT, CSF receptors network (monocyte) (M23)",12,immune,partial,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M23.htm,"RARA,FZD1,CEBPA,CSF2RA,FOS,CSF1R,FZD2,RXRA,SPI1,PTGS2,CSF3R,IL8",[PID]Calcineurin-regulated NFAT-dependent transcription in lymphocytes,0.06,1.37e-6,42,3,[Chaussabel.v2]M4.13,0.03,9.31e-6,79,3,NA,NA,NA,NA,NA,"protein binding (12), positive regulation of transcription, DNA-dependent (7), nucleus (6)"
M64,Innate,Cells,Monocyte,enriched in activated dendritic cells/monocytes,enriched in activated dendritic cells/monocytes (M64),17,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M64.htm,"CXCL1,DRAM1,G0S2,SOD2,SIRPA,IL1RN,NINJ1,IL13RA1,TNFAIP2,SLC31A2,BASP1,MARCKS,FAM129A,ANPEP,SLC15A3,IL1B,IL8",NA,NA,NA,NA,NA,[Chaussabel.v2]M3.2,0.03,5.01e-8,138,5,NA,NA,NA,NA,NA,"protein binding (7), plasma membrane (7), integral to membrane (6)"
M73,Innate,Cells,Monocyte,enriched in monocytes (III),enriched in monocytes (III) (M73),12,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M73.htm,"CEBPB,DUSP6,MAML3,TFEC,FOS,IER3,CCR1,RIN2,GPR109B,BCL6,PLXDC2,TIMP2",NA,NA,NA,NA,NA,[Chaussabel.v2]M3.2,0.02,4.9500000000000004e-5,138,3,HMGIY_Q6,0.02,2.28e-6,187,4,"protein binding (8), regulation of transcription, DNA-dependent (5), nucleus (5)"
M118.0,Innate,Cells,Monocyte,enriched in monocytes (IV),enriched in monocytes (IV) (M118.0),57,immune,partial,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M118.0.htm,"PTGS2,EMR1,AMICA1,DOCK5,CD4,LY96,ARHGEF10L,TNFSF13B,LTBR,PGD,TNFRSF1B,LRRK2,DPYD,MGAM,PTX3,LYZ,IL1R2,DOK3,CARD9,EVI5,GPR109B,DUSP6,MYO1F,FGD4,HHEX,HAL,ST3GAL6,DYSF,RNASE6,SLC24A4,VNN1,NAIP,RHOU,CD68,CXCR2,NACC2,SMARCD3,PADI4,TMEM176B,LGALS3,SAMHD1,CTSS,EMILIN2,ACPP,F5,STEAP4,C19orf59,ACSL1,PAK1,C1orf162,MOSC1,TLR1,PID1,BCL6,HLA-DMB,MPP1,AGPAT9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (35), plasma membrane (23), integral to membrane (23)"
M118.1,Innate,Cells,Monocyte,enriched in monocytes (surface),enriched in monocytes (surface) (M118.1),17,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M118.1.htm,"LTBR,CD4,TNFRSF1B,MCTP1,S1PR3,EMR1,C19orf59,SLC24A4,STEAP4,C1orf162,SLC16A3,NFAM1,TMEM176B,HLA-DMB,IL1R2,AGPAT9,TNFSF13B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"integral to membrane (17), plasma membrane (11), membrane (10)"
S4,Innate,Cells,Monocyte,Monocyte surface signature,Monocyte surface signature (S4),94,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/S4.htm,"FXYD6,KCNE3,AMICA1,CD33,CD36,C5AR1,FCGR1B,APCDD1,LTBR,PECAM1,CYBRD1,GPR109B,PLXND1,FCAR,DYSF,FPR1,FPR2,HLA-DRB4,CSF3R,CCR1,C19orf59,TLR2,CD163,TLR1,TLR4,TLR5,TREM1,TNFSF12,CLEC12B,CLEC12A,EMR1,EMR2,LPPR2,IL1R2,MARCO,LILRB3,LILRB2,LILRB1,SLC11A1,MGAM,C10orf54,TMEM71,SLC46A2,VNN2,KCNQ1,FCGR2A,TNFRSF1B,MBOAT7,CD93,ITGAM,SIRPB1,GPER,CD4,TNFRSF10B,CCR2,CD302,PTAFR,MCTP1,FCER1A,S1PR3,P2RY13,SLC7A7,AGTRAP,CECR6,IL6R,ASGR1,ASGR2,TMEM154,LRP1,LRRC33,C1orf162,TMTC2,ABCA1,STEAP4,SPNS1,P2RX1,VSTM1,BRI3,NFAM1,TMEM55A,PYCARD,FCGRT,GLIPR1,MFSD1,SLC24A4,PTGIR,MS4A6A,P2RY2,SLC40A1,SLC16A3,ANO10,PTPRE,SIGLEC9,GPR133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"integral to membrane (69), plasma membrane (64), protein binding (50)"
M78,Innate,Cells,Myeloid cell,"myeloid cell cytokines, metallopeptidases and laminins","myeloid cell cytokines, metallopeptidases and laminins (M78)",11,immune,partial,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M78.htm,"IL1RN,IL23A,IL10,MMP19,IL6,LAMC2,MMP9,EDN1,SFN,LAMB3,GSN",[PID]AP-1 transcription factor network,0.05,2.3100000000000002e-8,66,4,NA,NA,NA,NA,NA,AP1_Q4,0.05,5.12e-23,214,11,"extracellular region (11), protein binding (10), extracellular space (8)"
M81,Innate,Cells,Myeloid cell,enriched in myeloid cells and monocytes,enriched in myeloid cells and monocytes (M81),35,immune,partial,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M81.htm,"LIN7A,MYH10,PTGS1,EHD3,PCSK6,CCR2,CHI3L1,EGF,CLEC5A,FCER1G,NLRP3,ITGA2B,MMRN1,CSF1R,THBS1,SPARC,MARCKS,SLC8A1,PDGFA,ITGB3,HHEX,PROS1,TF,CLU,CXCL12,PRAM1,ACTN1,F5,CD14,FKBP1B,TLR7,TLR4,SNCA,BCL6,SELP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (26), plasma membrane (18), blood coagulation (15)"
M37.1,Innate,Cells,Neutrophil,enriched in neutrophils (I),enriched in neutrophils (I) (M37.1),52,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M37.1.htm,"LIN7A,NCF4,EMR3,FCGR3A,S100P,FCGR3B,TNFRSF10C,C5AR1,MGC31957,CHI3L1,NLRP12,CYP4F3,MXD1,SEPX1,MGAM,DGAT2,RGL4,REPS2,VNN2,CXCR1,NFE2,KRT23,GPR109B,PYGL,FPR2,G0S2,KCNJ15,LRRC4,FPR1,CREB5,FCGR2A,CMTM2,MANSC1,CSF3R,FFAR2,RNF24,LRG1,ST6GALNAC2,ORM1,MME,CDA,PROK2,PFKFB4,VNN3,SLC22A4,BASP1,TREM1,GLT1D1,GPR97,PTAFR,STEAP4,ALPL",NA,NA,NA,NA,NA,[Chaussabel.v2]M3.2,0.13,1.1299999999999999e-35,138,22,NA,NA,NA,NA,NA,"plasma membrane (25), integral to membrane (23), protein binding (19)"
M132,Innate,Cells,Neutrophil,recruitment of neutrophils,recruitment of neutrophils (M132),11,immune,partial,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M132.htm,"PROK2,FPR1,FPR2,GNG10,C5AR1,GPR109B,CXCR1,CCR3,PTAFR,FFAR2,F2RL1",KEGG_CHEMOKINE_SIGNALING_PATHWAY,0.02,9.66e-5,190,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G-protein coupled receptor protein signaling pathway (11), plasma membrane (9), integral to membrane (9)"
M163,Innate,Cells,Neutrophil,enriched in neutrophils (II),enriched in neutrophils (II) (M163),14,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M163.htm,"NPL,ARAP3,HSPA6,TYROBP,CFD,IMPA2,DENND3,BTNL8,FRAT2,MBOAT7,TSPAN2,BEST1,FLJ10357,SLC40A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (5), integral to membrane (5), plasma membrane (4)"
M7.2,Innate,Cells,NK,enriched in NK cells (I),enriched in NK cells (I) (M7.2),49,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M7.2.htm,"TGFBR3,KLRB1,KLRD1,CCL5,TBX21,FCGR3B,PTGDR,CD247,NLRC3,GPR56,MYBL1,ARL4C,KLRF1,STAT4,PLEKHF1,IL18RAP,RORA,EOMES,XCL2,XCL1,FGFBP2,SAMD3,CTSW,CST7,ZAP70,KLRC1,PRKCH,S1PR5,CLIC3,TRD@,GNLY,SH2D2A,FASLG,PRF1,PRKCQ,GIMAP7,GZMA,IL2RB,HOPX,ITK,GZMB,NKG7,CD96,GZMM,GZMH,KLRK1,SLAMF7,TRA@,TARP",NA,NA,NA,NA,NA,[Chaussabel.v2]M3.6,0.28,1.29e-45,47,21,NA,NA,NA,NA,NA,"protein binding (27), plasma membrane (21), cytoplasm (15)"
M61.0,Innate,Cells,NK,enriched in NK cells (II),enriched in NK cells (II) (M61.0),24,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M61.0.htm,"KLRB1,CD7,GPR56,NKG7,KIR2DL2,KIR2DS4,KIR2DS5,KIR2DS2,KIR2DS3,S1PR5,KIR2DS1,KLRF1,TGFBR3,KIR3DL1,KIR2DL5A,KIR3DL3,IL2RB,KLRK1,KIR2DL3,CD96,KIR2DL1,CD247,PVRIG,TARP",KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,0.07,7.599999999999999e-19,137,11,[Chaussabel.v2]M3.6,0.11,4e-14,47,7,NA,NA,NA,NA,NA,"plasma membrane (16), integral to membrane (13), integral to plasma membrane (12)"
M61.1,Innate,Cells,NK,enriched in NK cells (KIR cluster),enriched in NK cells (KIR cluster) (M61.1),13,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M61.1.htm,"KIR2DS4,KIR2DS5,KIR2DS2,KIR2DS3,KIR2DS1,KIR2DL3,KIR2DL2,KIR2DL1,KIR2DL4,KIR3DS1,KIR3DL1,KIR2DL5A,KIR3DL3",KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.12,1.7400000000000001e-25,89,11,[Chaussabel.v2]M8.46,0.21,1.24e-13,16,5,NA,NA,NA,NA,NA,"plasma membrane (8), regulation of immune response (7), receptor activity (7)"
M61.2,Innate,Cells,NK,enriched in NK cells (receptor activation),enriched in NK cells (receptor activation) (M61.2),16,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M61.2.htm,"KIR2DL3,ITK,CD96,CARD11,KIR2DS2,KIR2DS1,CD244,KIR2DL2,KIR2DL1,CD247,KLRK1,ZAP70,KIR2DL4,PRKCQ,KIR3DL1,KLRD1",KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,0.08,1.39e-21,137,11,[Chaussabel.v2]M4.15,0.09,8.119999999999999e-11,42,5,NA,NA,NA,NA,NA,"plasma membrane (14), protein binding (12), regulation of immune response (10)"
M157,Innate,Cells,NK,enriched in NK cells (III),enriched in NK cells (III) (M157),14,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M157.htm,"KLRC3,PPP1R16B,RASGRP1,CCL4,CX3CR1,GPR18,TIGIT,CD7,C1orf21,PVRIG,GIMAP6,TRGC2,MATK,PTPN4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (8), plasma membrane (7), integral to membrane (6)"
S1,Innate,Cells,NK,NK cell surface signature,NK cell surface signature (S1),48,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/S1.htm,"PDGFRB,TNFSF11,IL12RB2,TNFSF14,SLC7A5,ADRB2,S1PR5,ATP9A,TIE1,PTGDR,NCAM1,KLRF1,ELOVL6,IL18RAP,KIR2DS4,KIR2DS5,KIR2DS2,KIR2DS3,PTGER2,KIR2DS1,SLCO4C1,GPR82,TGFBR3,KLRC3,ENPP5,IL18R1,NCR1,DLL1,FASLG,KIR3DL1,KIR2DL5A,KIR3DL3,IL2RB,TMEM64,CX3CR1,KLRK1,CD97,SYNGR3,RARRES3,KIT,KIR2DL3,KIR2DL2,KIR2DL1,ATP8B4,SLAMF7,PVRIG,GPR114,HAVCR2",KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,0.08,1.67e-18,137,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"integral to membrane (33), plasma membrane (30), protein binding (26)"
M13,Innate,PRR,Generic,innate activation by cytosolic DNA sensing,innate activation by cytosolic DNA sensing (M13),11,immune,partial,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M13.htm,"DDX58,IRF7,CCL4,CCL5,ZBP1,NFKBIA,AIM2,IL6,PYCARD,CXCL10,IL1B",KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,0.2,9.160000000000001e-30,56,11,[Chaussabel.v2]M3.4,0.07,9.410000000000001e-9,53,4,IRF1_01,0.02,1.81e-6,195,4,"protein binding (7), cytoplasm (7), inflammatory response (6)"
M16,Innate,PRR,Generic,TLR and inflammatory signaling,TLR and inflammatory signaling (M16),45,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M16.htm,"FCGR1A /// FCGR1C,HSPA6,NCF4,TLR6,C5AR1,FCGR1B,APOB48R,LILRB3,KCNJ15,LILRB1,PILRA,TYROBP,MGAM,FGR,P2RY13,CXCR2,NFE2,IRAK3,MYD88,FPR2,SIGLEC9,FCAR,DYSF,NPL,FPR1,ALOX5,FCGR2C,AQP9,FES,CSF3R,TLR7,LY96,LILRB2,ITGAX,KCNJ2,WDFY3,TLR2,TLR1,BST1,ANPEP,TLR4,TLR5,LILRA6,TLR8,PADI4",NA,NA,NA,NA,NA,[Chaussabel.v2]M3.2,0.07,4.900000000000001e-17,138,12,NA,NA,NA,NA,NA,"protein binding (29), plasma membrane (29), receptor activity (20)"
M25,Innate,PRR,Generic,TLR8-BAFF network,TLR8-BAFF network (M25),10,immune,partial,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M25.htm,"SLC40A1,TNFSF13B,ASGR1,ASGR2,PCTP,AP1S2,TLR8,BCL6,IL1R2,TBXAS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CEBP_Q2_01,0.05,4.8199999999999996e-21,211,10,"protein binding (7), membrane (6), integral to membrane (6)"
M68,Innate,PRR,Generic,RIG-1 like receptor signaling,RIG-1 like receptor signaling (M68),10,immune,partial,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M68.htm,"DDX58,IRF7,DHX58,TRIM25,NFKBIA,IFIH1,TNF,ISG15,CXCL10,IL8",KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.14,5.740000000000001e-26,71,10,[Chaussabel.v2]M3.4,0.07,6.000000000000001e-9,53,4,NA,NA,NA,NA,NA,"protein binding (9), cytoplasm (7), innate immune response (6)"
M111.0,Innate,PRR,Generic,viral sensing & immunity; IRF2 targets network (I),viral sensing & immunity; IRF2 targets network (I) (M111.0),17,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M111.0.htm,"TAP1,KYNU,TLR7,ZBP1,IFI35,LY86,THBS1,TNFSF13B,PSMB8,EREG,FES,BST2,USP18,CTSS,RIPK2,AIF1,CXCL16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ICSBP_Q6,0.09,3.37e-36,190,17,"protein binding (11), plasma membrane (7), extracellular region (6)"
M111.1,Innate,PRR,Generic,viral sensing & immunity; IRF2 targets network (II),viral sensing & immunity; IRF2 targets network (II) (M111.1),11,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M111.1.htm,"TAP1,DDX58,PSMB10,ZBP1,CASP1,PSMB8,BST2,CXCL10,USP18,IFIT2,TNFSF13B",KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,0.06,1.18e-8,56,4,[Chaussabel.v2]M3.4,0.05,2.09e-6,53,3,IRF_Q6,0.07,9.880000000000001e-25,151,11,"protein binding (6), nucleus (5), cytoplasm (5)"
M24,Innate,Signaling,Generic,"cell activation (IL15, IL23, TNF)","cell activation (IL15, IL23, TNF) (M24)",15,immune,partial,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M24.htm,"SBNO2,MAP3K8,IL23A,FN1,CD83,PDGFRA,IL15,TNFAIP3,SERPING1,TNF,TF,COL3A1,NFKB2,A2M,BCL3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NFKAPPAB_01,0.03,1.92e-9,194,6,"protein binding (14), extracellular region (8), signal transduction (6)"
M29,Innate,Signaling,Generic,proinflammatory cytokines and chemokines,proinflammatory cytokines and chemokines (M29),10,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M29.htm,"PTX3,CCRL2,IL6,CCL3 /// CCL3L1 /// CCL3L3,TNF,IL1A,C3,CCL20,IL1B,IL8",BIOCARTA_LAIR_PATHWAY,0.23,3.4500000000000004e-14,17,5,NA,NA,NA,NA,NA,CEBPB_01,0.01,8.61e-5,203,3,"inflammatory response (9), extracellular region (8), protein binding (7)"
M59,Innate,Signaling,Generic,"CCR1, 7 and cell signaling","CCR1, 7 and cell signaling (M59)",10,immune,partial,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M59.htm,"DUSP6,ZNF423,TIMP2,SOCS2,MAPK14,CCR1,CISH,CCR7,BCL6,TRIB1",NA,NA,NA,NA,NA,[Chaussabel.v2]M3.2,0.02,2.7300000000000003e-5,138,3,HSF1_01,0.02,1.44e-8,202,5,"protein binding (9), nucleus (4), cytoplasm (4)"
M86.0,Innate,Signaling,Generic,chemokines and inflammatory molecules in myeloid cells,chemokines and inflammatory molecules in myeloid cells (M86.0),19,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M86.0.htm,"CXCL1,TRAF1,ADORA2A /// CYTSA,CXCL2,NFKBIA,CCL4,BCL2A1,GCH1,G0S2,TNFAIP3,TNFAIP6,TNF,HS3ST3B1,NFKB1,SLAMF7,CCL20,IL1B,DUSP1,PDE4B",KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.09,4.56e-14,62,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (11), signal transduction (9), inflammatory response (8)"
M4.3,Innate,Cells,Myeloid cell,myeloid cell enriched receptors and transporters,myeloid cell enriched receptors and transporters (M4.3),31,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M4.3.htm,"CD1D,SLC7A7,AMICA1,CCR1,LRRC25,GPBAR1,MYOF,MARCO,SULF2,CD86,SLC1A3,SLC8A1,IGSF6,MPEG1,MTMR11,RNASE6,SLC24A4,SIGLEC16,ASGR1,SLC15A3,KCTD12,CHST15,SLC2A6,SECTM1,CLEC4A,CD14,TLR5,TLR8,SIGLEC7,MS4A14,LILRA1",NA,NA,NA,NA,NA,[Chaussabel.v2]M4.14,0.1,1.14e-14,59,8,NA,NA,NA,NA,NA,"integral to membrane (19), membrane (17), protein binding (16)"
