"process","genes","go_term","immune_system","immune_sub_system","gene_set_short","immune_tissue","set_size"
"MYELOID DENDRITIC CELL DIFFERENTIATION","SPI1,BATF2,TGFBR2,NOTCH2,LTBR,PSEN1,RELB,RBPJ,CAMK4,CSF2,IL4,IRF4,TRAF6,DHRS2,UBD,BATF,BATF3,DCSTAMP",NA,NA,NA,NA,NA,NA
"MYELOID LEUKOCYTE ACTIVATION","TYROBP",NA,NA,NA,NA,NA,NA
"MYELOID LEUKOCYTE MIGRATION","CSF1,PAFAH1B1,PIK3R1,NF1","GO:0097529","General","Cells","Migration, Myeloid leukocyte","Leukocyte",4
"NATURAL KILLER CELL ACTIVATION","IL12B,PRDX1,GATA3,KLRK1,BAG6,FCGR3A,IL2,RASGRP1,CASP8,CD2,IFNB1,IL2RB,IL18,KIR3DS1,PIK3CD,IL18R1,NCR1,IL21R,IFNK,SLAMF7,ULBP3,ULBP2,ULBP1,NCR3,KLRC4-KLRK1","GO:0030101","Innate","Cells","Activation, NK cell","NK cell",8
"NATURAL KILLER CELL ACTIVATION","IL12B,PRDX1,GATA3,KLRK1,BAG6,FCGR3A,IL2,RASGRP1,CASP8,CD2,IFNB1,IL2RB,IL18,KIR3DS1,PIK3CD,IL18R1,NCR1,IL21R,IFNK,SLAMF7,ULBP3,ULBP2,ULBP1,NCR3,KLRC4-KLRK1",NA,NA,NA,NA,NA,NA
"NATURAL KILLER CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE","IFNA8,IFNE,IL12B,IFNA1,IFNA2,IFNA4,IFNA5,IFNA6,IFNA7,IFNA10,IFNA13,IFNA14,IFNA16,IFNA17,IFNA21,IFNB1,IFNW1,CD244,IFNK","GO:0002323","Innate","Cells","Activation, Immune response, NK cell","NK cell",3
"NATURAL KILLER CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE","IFNA8,IFNE,IL12B,IFNA1,IFNA2,IFNA4,IFNA5,IFNA6,IFNA7,IFNA10,IFNA13,IFNA14,IFNA16,IFNA17,IFNA21,IFNB1,IFNW1,CD244,IFNK",NA,NA,NA,NA,NA,NA
"NATURAL KILLER CELL CHEMOTAXIS","PIK3CG,PIK3CD","GO:0035747","Innate","Cells","Chemotaxis, NK cell","NK cell",1
"NATURAL KILLER CELL CHEMOTAXIS","PIK3CG,PIK3CD",NA,NA,NA,NA,NA,NA
"NATURAL KILLER CELL DEGRANULATION","FCGR3A,UNC13D,KLRF2,RAB27A,VAMP7,CORO1A,NKG7","GO:0043320","Innate","Cells","Degranulation, NK cell","NK cell",6
"NATURAL KILLER CELL DEGRANULATION","FCGR3A,UNC13D,KLRF2,RAB27A,VAMP7,CORO1A,NKG7",NA,NA,NA,NA,NA,NA
"NATURAL KILLER CELL DIFFERENTIATION","KAT7,SP3,PBX1,PTPRC,MERTK,AXL,STAT5B,TYRO3,IL15,IL15RA,NFIL3,PIK3CD,SLAMF1,TOX,TUSC2,HECTD1,RABL3","GO:0001779","Innate","Cells","Differentiation, NK cell","NK cell",9
"NATURAL KILLER CELL DIFFERENTIATION","KAT7,SP3,PBX1,PTPRC,MERTK,AXL,STAT5B,TYRO3,IL15,IL15RA,NFIL3,PIK3CD,SLAMF1,TOX,TUSC2,HECTD1,RABL3",NA,NA,NA,NA,NA,NA
"NATURAL KILLER CELL INHIBITORY SIGNALING PATHWAY","KIR2DL1,KLRC1,CLEC12B",NA,NA,NA,NA,NA,NA
"NATURAL KILLER CELL MEDIATED CYTOTOXICITY","FCGR3A,PTPN6,GZMB,RAET1G,LAG3,TUBB4B,PLEKHM2,CEBPG,RNF19B,KIF5B,KLRK1,STAT5B,KIR3DL1,PRDX1,CLEC2A,CD2,LYST,IL18,SH2D1A,NKG7,ARL8B,SLAMF7,ULBP3,ULBP2,ULBP1,RAET1E,TUBB,MICA,KLRC4-KLRK1","GO:0042267","Innate","Cells","Cytotoxicity, NK cell","NK cell",15
"NATURAL KILLER CELL MEDIATED CYTOTOXICITY","FCGR3A,PTPN6,GZMB,RAET1G,LAG3,TUBB4B,PLEKHM2,CEBPG,RNF19B,KIF5B,KLRK1,STAT5B,KIR3DL1,PRDX1,CLEC2A,CD2,LYST,IL18,SH2D1A,NKG7,ARL8B,SLAMF7,ULBP3,ULBP2,ULBP1,RAET1E,TUBB,MICA,KLRC4-KLRK1",NA,NA,NA,NA,NA,NA
"NATURAL KILLER CELL MEDIATED CYTOTOXICITY DIRECTED AGAINST TUMOR CELL TARGET","NKG7",NA,NA,NA,NA,NA,NA
"NATURAL KILLER CELL MEDIATED IMMUNITY","KLRC2,KLRD1","GO:0002228","Innate","Cells","Immunity, NK cell","NK cell",1
"NATURAL KILLER CELL MEDIATED IMMUNITY","KLRC2,KLRD1",NA,NA,NA,NA,NA,NA
"NATURAL KILLER CELL PROLIFERATION","IL15,EMP2,STAT5B,ELF4,SLAMF1","GO:0001787","Innate","Cells","Proliferation, NK cell","NK cell",3
"NATURAL KILLER CELL PROLIFERATION","IL15,EMP2,STAT5B,ELF4,SLAMF1",NA,NA,NA,NA,NA,NA
"NATURAL KILLER CELL TOLERANCE INDUCTION","LGALS9,HLA-E,HAVCR2","GO:0002519","Innate","Cells","Tolerance, NK cell","NK cell",2
"NATURAL KILLER CELL TOLERANCE INDUCTION","LGALS9,HLA-E,HAVCR2",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF ACTIVATED T CELL PROLIFERATION","ARG1,CASP3,LRRC32,LGALS9,PRKAR1A,PRNP,BTN2A2,LILRB4,SCRIB,CD274,FOXP3,CRTAM,PDCD1LG2,RC3H1,MIR181C",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF ACTIVATION OF MEMBRANE ATTACK COMPLEX","CD59,CR1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF ACTIVATION-INDUCED CELL DEATH OF T CELLS","TSC22D3,FADD,GPAM",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF ACUTE INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","FCGR2B,NPY,NPY5R,SELENOS",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF ADAPTIVE IMMUNE MEMORY RESPONSE","TNFRSF14,CD160",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF ADAPTIVE IMMUNE RESPONSE","ALOX15,TRIM27,SAMSN1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF ALPHA-BETA T CELL ACTIVATION","ADORA2A,LILRB1,VSIR",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF ALPHA-BETA T CELL DIFFERENTIATION","GLI3,IHH,SHH",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF ALPHA-BETA T CELL PROLIFERATION","TNFRSF14,CLEC4G",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF ANTIBACTERIAL PEPTIDE PRODUCTION","SPINK5",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF ANTIBODY-DEPENDENT CELLULAR CYTOTOXICITY","FCGR2B",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF ANTIFUNGAL INNATE IMMUNE RESPONSE","USP15,FAM3A",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF ANTIGEN PROCESSING AND PRESENTATION","LILRB2",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I","HFE",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN VIA MHC CLASS I","TAPBPL",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN VIA MHC CLASS II","HLA-DOA,HLA-DOB",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE OR POLYSACCHARIDE ANTIGEN VIA MHC CLASS II","THBS1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF B CELL ACTIVATION","FCGR2B,FOXJ1,TNFAIP3,LAPTM5,BANK1,SAMSN1,TBC1D10C,MIR185",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF B CELL DIFFERENTIATION","HMGB3,ID2,INHA,INHBA,SFRP1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF B CELL PROLIFERATION","ATM,BTK,CASP3,CTLA4,FCGR2B,IL10,INPP5D,LYN,MNDA,PAWR,PKN1,TYROBP,CD300A,TNFRSF13B,TNFRSF21,RC3H1,MIR185",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF B CELL RECEPTOR SIGNALING PATHWAY","CD22,FCGR2B,GPS2,LPXN,CD300A,PLCL2,FCRL3,MIR34A",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF CD4-POSITIVE, ALPHA-BETA T CELL ACTIVATION","TWSG1,TARM1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF CD4-POSITIVE, ALPHA-BETA T CELL COSTIMULATION","CD160",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF CD4-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION","RUNX1,RUNX3,CBFB,HMGB1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF CD4-POSITIVE, ALPHA-BETA T CELL PROLIFERATION","ARG2,CBLB,LGALS9,XCL1,CD274,FOXP3,TWSG1,VSIR,NDFIP1,ITCH,LGALS9B,LGALS9C",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF CD8-POSITIVE, ALPHA-BETA T CELL ACTIVATION","HFE,LILRB1,CD274",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF CD8-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION","SLC4A2,SOCS1,ZBTB7B",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF CD8-POSITIVE, ALPHA-BETA T CELL PROLIFERATION","SLC4A2,VSIR",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF CELLULAR EXTRAVASATION","BCR,MIR146A",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF CHRONIC INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","IL10",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF COMPLEMENT ACTIVATION","CR1,CD55",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF COMPLEMENT ACTIVATION, ALTERNATIVE PATHWAY","CR1,VSIG4,SUSD4",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF COMPLEMENT ACTIVATION, CLASSICAL PATHWAY","C4BPA,C4BPB,CR1,CR1L,CR2,CD46,SUSD4,SVEP1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF COMPLEMENT ACTIVATION, LECTIN PATHWAY","A2M,SERPING1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF CYTOKINE PRODUCTION INVOLVED IN IMMUNE RESPONSE","ANGPT1,APOA1,APOA2,IL10,TNF,LILRB1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF CYTOTOXIC T CELL DEGRANULATION","CEACAM1,FCGR2B,NCKAP1L",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF CYTOTOXIC T CELL DIFFERENTIATION","LILRB4",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF DENDRITIC CELL ANTIGEN PROCESSING AND PRESENTATION","CD68,FCGR2B,THBS1,FGL2",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF DENDRITIC CELL CHEMOTAXIS","SLAMF8",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF DENDRITIC CELL CYTOKINE PRODUCTION","JAK3",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF DENDRITIC CELL DIFFERENTIATION","FCGR2B,HLA-G,LILRB1,TMEM176B,ZBTB46",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF EOSINOPHIL ACTIVATION","CD300A",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF EOSINOPHIL DEGRANULATION","CCR2",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF EOSINOPHIL EXTRAVASATION","PTGER4",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF EOSINOPHIL MIGRATION","CD300A",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF ERYTHROCYTE DIFFERENTIATION","ZFP36L1,HOXA5,HSPA9,STAT5B,ZFP36,LDB1,MAFB,KLF13",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF ESTABLISHMENT OF T CELL POLARITY","RIPOR2",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF FC-GAMMA RECEPTOR SIGNALING PATHWAY INVOLVED IN PHAGOCYTOSIS","CD47,APPL1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF GERMINAL CENTER FORMATION","FOXJ1,RC3H1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF GRANULOCYTE DIFFERENTIATION","CEACAM1,C1QC,RARA,CUL4A,ADIPOQ,ZBTB46",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF HEMATOPOIETIC STEM CELL PROLIFERATION","CEBPA,SNAI2,MIR221,MIR222",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF HEMOCYTE DIFFERENTIATION","DLL1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF HEMOPOIESIS","HSPA9,IL17D",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF HUMORAL IMMUNE RESPONSE MEDIATED BY CIRCULATING IMMUNOGLOBULIN","FCGR2B,FOXJ1,PTPN6",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF IMMATURE T CELL PROLIFERATION IN THYMUS","BMP4,ERBB2,IHH,TMEM131L,CLEC4G",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF IMMUNE RESPONSE","AMBP,COL3A1,CTLA4,FCGR2B,HLA-G,INPP5D,LYN,PDCD1,SPINK5,FOXP3,WDR41,FCRLB,SMCR8",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF IMMUNE SYSTEM PROCESS","SOX9",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF IMMUNOGLOBULIN PRODUCTION","CD22,CR1,FCGR2B,IL13RA2,TMBIM6,IL33,FCRL3,ZPBP2",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF IMMUNOLOGICAL SYNAPSE FORMATION","LGALS3,HAVCR2",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","MAPK14,FGR,FYN,GPR17,GPX1,HCK,HLA-DRB1,IL12B,LYN,FURIN,PLCG1,PSMA1,PSMB4,SRC,SYK,YES1,PLK2,MKRN2,TREM2,NOD2,RHBDF2,NLRP6,MIR105-1,MIR19A,MIR19B1,MIR6869",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF INNATE IMMUNE RESPONSE","PARP1,DRD2,IFI16,TRIM21,TNFAIP3,TYRO3,BANF1,NMI,ATG12,ATG5,TRAFD1,IRAK3,TREX1,LYAR,CACTIN,DHX58,MUL1,NLRX1,ZDHHC18,NLRC3,MIR181B1,MIR21,ACOD1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF ISOTYPE SWITCHING","PARP3",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF ISOTYPE SWITCHING TO IGA ISOTYPES","THOC1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF ISOTYPE SWITCHING TO IGE ISOTYPES","BCL6,FOXP3,NDFIP1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF LEUKOCYTE ACTIVATION","GPER1,CD200,ZBTB46",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF LEUKOCYTE CHEMOTAXIS","GPR18,SLIT2",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF LEUKOCYTE MIGRATION","ADA,ADORA1,HMOX1,HOXA7,NF1,RABGEF1,ADTRP,IL33",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF LEUKOCYTE TETHERING OR ROLLING","CCL21,CCL25,CXCL12,CCL28",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF LYMPHOCYTE ACTIVATION","AXL,TYRO3,MERTK",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF LYMPHOCYTE CHEMOTAXIS","PADI2",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF LYMPHOCYTE DIFFERENTIATION","FBXO7",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF LYMPHOCYTE MIGRATION","AKT1,WASL,ADTRP,GCSAM,MIA3",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF LYMPHOCYTE PROLIFERATION","IL2,SOX11,LST1,GAL,RASSF5",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF MACROPHAGE ACTIVATION","BPI,FCGR2B,IL4,CD200,NR1H3,VSIG4,ZC3H12A,IL31RA,LRFN5,ADGRF5,MIR130A",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF MACROPHAGE ANTIGEN PROCESSING AND PRESENTATION","FGL2",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF MACROPHAGE CHEMOTAXIS","C5,CYP19A1,DDT,MIF,STAP1,SLAMF8,MMP28",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF MACROPHAGE CYTOKINE PRODUCTION","ACP5,AXL,PRG2,TGFB1,TGFB2,TGFB3,TWIST1,EPX,IRAK3,NOD2,CUEDC2,NLRX1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF MACROPHAGE DIFFERENTIATION","C1QC,GATA2,INHA,INHBA,PTPN2,ADIPOQ,ZBTB46,MIR486-1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF MACROPHAGE MIGRATION","BCR,CNN2,CD200,EMILIN1,CD200R1,MIR128-1,MIR24-1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF MAST CELL ACTIVATION","CNR1,CNR2,CD84,CD300LF,MILR1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF MAST CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE","FER,ENPP3,PTPN6,CD300A",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF MAST CELL APOPTOTIC PROCESS","KITLG",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF MAST CELL CHEMOTAXIS","RIN3",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF MAST CELL CYTOKINE PRODUCTION","BCL6,HMOX1,RABGEF1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF MAST CELL DEGRANULATION","FOXF1,HMOX1,IL13RA2,LGALS9,CD84,CD300A,RABGEF1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF MAST CELL DIFFERENTIATION","ZFPM1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF MATURE B CELL APOPTOTIC PROCESS","ADA,CD74,MIF,BCL10",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF MDA-5 SIGNALING PATHWAY","C1QBP,RIOK3,TKFC,DHX58",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF MEGAKARYOCYTE DIFFERENTIATION","GABPA,PRMT1,MYB,PF4,H4C9,H4C1,H4C4,H4C6,H4C12,H4C11,H4C3,H4C8,H4C2,H4C5,H4C13,H4C14,CIB1,H4C16,H4C15,MIR486-1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF MEMORY T CELL DIFFERENTIATION","FGL2,IFNL1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF MICROGLIAL CELL ACTIVATION","GRN,LDLR,PTPRC,CX3CL1,CST7,NR1D1,SYT11,TAFA3",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF MICROGLIAL CELL MEDIATED CYTOTOXICITY","CX3CR1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF MICROGLIAL CELL MIGRATION","STAP1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF MONOCYTE ACTIVATION","CD33,FN1,LILRB4",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF MONOCYTE CHEMOTAXIS","DUSP1,NBL1,CCN3,SLIT2,GREM1,SLAMF8,MICOS10-NBL1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF MONOCYTE DIFFERENTIATION","APCS,CDK6,HOXA7,INPP5D,MYC,GPR68,ZBTB46,MIR125B1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF MONOCYTE EXTRAVASATION","PLCB1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF MONONUCLEAR CELL MIGRATION","BMP5,SLIT2",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF MYD88-DEPENDENT TOLL-LIKE RECEPTOR SIGNALING PATHWAY","CD300A,CD300LF",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF MYD88-INDEPENDENT TOLL-LIKE RECEPTOR SIGNALING PATHWAY","SARM1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF MYELOID CELL DIFFERENTIATION","CDK6,PTK2B,HMGB3,HOXA9,HOXB8,ITPKB,MEIS1,MEIS2,NFKBIA,ZBTB16,CTR9,DLL1,GPR171,PAF1,RBM15,CDC73,SKIC8,LEO1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF MYELOID DENDRITIC CELL ACTIVATION","IL10,TSPAN32,HAVCR2",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF MYELOID LEUKOCYTE DIFFERENTIATION","LYN",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF NATURAL KILLER CELL ACTIVATION","FGR,PIBF1,RHBDD3,HAVCR2,CLNK,MICA",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF NATURAL KILLER CELL CHEMOTAXIS","CCL2,KLRK1,KLRC4-KLRK1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF NATURAL KILLER CELL CYTOKINE PRODUCTION","HLA-F,CD96",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF NATURAL KILLER CELL DEGRANULATION","HLA-F",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF NATURAL KILLER CELL DIFFERENTIATION INVOLVED IN IMMUNE RESPONSE","PGLYRP1,PGLYRP2,PGLYRP3",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF NATURAL KILLER CELL MEDIATED CYTOTOXICITY","ARRB2,CRK,GFER,HLA-E,HLA-F,HLA-G,KIR2DL4,KLRC1,KLRD1,LGALS9,LILRB1,CLEC12B,MICA",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF NATURAL KILLER CELL MEDIATED CYTOTOXICITY DIRECTED AGAINST TUMOR CELL TARGET","CEACAM1,TGFB1,HAVCR2",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF NEUTROPHIL ACTIVATION","FCGR2B,GRN,CD300A,MIR125A",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF NEUTROPHIL APOPTOTIC PROCESS","CXCR2,ITPKB",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF NEUTROPHIL CHEMOTAXIS","DPP4,TNFAIP6,SLIT2,C5AR2,MIR223",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF NEUTROPHIL DEGRANULATION","BCR,SPI1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF NEUTROPHIL DIFFERENTIATION","INPP5D,TRIB1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF NEUTROPHIL MIGRATION","SLAMF8",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF NK T CELL ACTIVATION","CD300A",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF NK T CELL PROLIFERATION","ZBTB7B",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF NUCLEOTIDE-BINDING OLIGOMERIZATION DOMAIN CONTAINING 1 SIGNALING PATHWAY","TNFAIP3",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF NUCLEOTIDE-BINDING OLIGOMERIZATION DOMAIN CONTAINING 2 SIGNALING PATHWAY","TNFAIP3,PTPN22,ERBIN",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF OSTEOCLAST DEVELOPMENT","FBN1,LTF,LILRB1,CLDN18,FBXW7",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF OSTEOCLAST DIFFERENTIATION","CTNNB1,FBN1,IAPP,IL4,INPP5D,NF1,TNFRSF11B,PIK3R1,CCL3,SFRP1,TCTA,TLR3,TLR4,GPR137B,TNFAIP6,GPR55,CARTPT,MAFB,LRRC17,FSTL3,PIAS3,TOB2,LILRB4,LILRB3,GPR137,UBASH3B,TMEM178A,ZNF675",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF PLASMA CELL DIFFERENTIATION","BCL6,CR1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF PLASMACYTOID DENDRITIC CELL CYTOKINE PRODUCTION","BST2",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF POSITIVE THYMIC T CELL SELECTION","PTPN2",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF REGULATORY T CELL DIFFERENTIATION","CTLA4,IRF1,LAG3,MDK,TNFSF4,MIR21,MIR30B",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF RESPIRATORY BURST INVOLVED IN INFLAMMATORY RESPONSE","GRN,INS,RPS19,DUSP10,SLAMF8",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF RIG-I SIGNALING PATHWAY","C1QBP,SEC14L1,UFD1,RNF125,NPLOC4,GPATCH3,DHX58,NLRX1",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF T CELL ACTIVATION","CTSG,DUSP3,FGL1,JAK3,LAPTM5,SOCS6,GPNMB,PTPN22,LAX1,PAG1,DUSP22,TNFAIP8L2,VTCN1,TIGIT,IL4I1,ILDR2,MIR181C,MIR27A",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF T CELL ACTIVATION VIA T CELL RECEPTOR CONTACT WITH ANTIGEN BOUND TO MHC MOLECULE ON ANTIGEN PRESENTING CELL","LGALS3,LILRB1,HAVCR2",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF T CELL COSTIMULATION","LILRB2,LILRB4",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF T CELL CYTOKINE PRODUCTION","HFE,HLA-F,SMAD7,XCL1,SLAMF1,LILRB4,FOXP3",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF T CELL DIFFERENTIATION","CD74,DTX1,IFNA2,IFNB1,PRDX2,IFNL1,NRARP",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF T CELL DIFFERENTIATION IN THYMUS","BMP4,FOXJ1,IHH,RAG2,SHH,ZC3H8",NA,NA,NA,NA,NA,NA
"NEGATIVE REGULATION OF T CELL EXTRAVASATION","IL27RA",NA,NA,NA,NA,NA,NA
