...1	Cond1	Cond2	Shared	NotShared_cond1	NotShared_cond2	Total_Genes_Cond1	Total_Genes_Cond2	Genes_Names	Percentage_Shared_Cond1	Percentage_Shared_Cond2	pvalue	qvalue
8138	STAMARIL (D10)	ZOSTAVAX (H72)	1	8	109	30	857	NA	3.33	0.12	1.23031137108146e-11	3.99135359685141e-12
8143	STAMARIL (D7)	ZOSTAVAX (H72)	1	8	175	30	1374	NA	3.33	0.07	3.22274061624572e-13	1.12540549959502e-13
8144	HPV-VLP (D0)	ZOSTAVAX (H72)	1	8	147	30	1025	NA	3.33	0.1	1.24164236397248e-12	4.23049834811546e-13
8145	MMR II (Y7)	ZOSTAVAX (H72)	1	8	471	30	3035	NA	3.33	0.03	1.36552596237385e-16	5.579493223187761e-17
8152	TC-83 (D14)	ZOSTAVAX (H72)	1	8	121	30	779	NA	3.33	0.13	5.54126506394293e-12	1.82395805497507e-12
8153	TC-83 (D2)	ZOSTAVAX (H72)	1	8	73	30	490	NA	3.33	0.2	2.52514836288256e-10	7.68411378410025e-11
8155	MVA85A (D1)	ZOSTAVAX (H72)	1	8	8	30	52	NA	3.33	1.92	4.1135335252982e-4	8.70709089093055e-5
8171	BNT-MO (V3, D1)	ZOSTAVAX (H72)	1	8	194	30	1281	TRBJ1-5	3.33	0.08	1.44693495435102e-13	5.1526645948845305e-14
8200	CHAD63-KH (H24)	INFLUENZA (D0)	3	3	730	31	5081	PTPN22,PURA,GRB2	9.68	0.06	3.02217795067323e-7	7.69942917916697e-8
8202	INACTIVATED INFLUENZA (D7)	INFLUENZA (D0)	3	3	279	31	1653	PTPN22,PURA,GRB2	9.68	0.18	5.23879748642496e-6	1.24771402340425e-6
8203	INACTIVATED INFLUENZA (D2)	INFLUENZA (D0)	1	5	54	31	333	PURA	3.23	0.3	1.09859687207498e-6	2.71121463066345e-7
8210	CN54GP140 (D1)	INFLUENZA (D0)	1	5	18	31	110	ACTB	3.23	0.91	1.4116318464144e-4	3.07786457018611e-5
8214	HIV-1 GAG-POL NEF (D1)	INFLUENZA (D0)	2	4	616	31	4241	CASP6,PTPN22	6.45	0.05	2.42850038903725e-9	6.96014409824147e-10
8217	INFLUENZA (D1)	INFLUENZA (D0)	1	5	69	31	447	PTPN22	3.23	0.22	3.4763685159209e-7	8.82091154666743e-8
8221	FLUARIX FLUVIRIN (D3)	INFLUENZA (D0)	1	5	177	31	1182	PURA	3.23	0.08	3.7068576423413604e-9	1.0561553614296502e-9
8227	FLUARIX FLUVIRIN (D7)	INFLUENZA (D0)	4	2	399	31	2412	CASP6,PPIB,PTPN22,PURA	12.9	0.17	1.8335166850018e-4	3.96891017992638e-5
8234	FLUMIST (D7)	INFLUENZA (D0)	3	3	826	31	5101	CASP6,PTPN22,PURA	9.68	0.06	2.09111926740566e-7	5.37623291032675e-8
8242	WETVAX (D5-7)	INFLUENZA (D0)	1	5	197	31	1724	GRB2	3.23	0.06	2.1948556322550604e-9	6.32067225222338e-10
8243	WETVAX (D50-60)	INFLUENZA (D0)	1	5	84	31	702	PTPN22	3.23	0.14	1.36521045128669e-7	3.54465128021236e-8
8251	STAMARIL (D14)	INFLUENZA (D0)	1	5	16	31	137	PPIB	3.23	0.73	2.2784233310549e-4	4.90336383990652e-5
8264	TC-83 (D14)	INFLUENZA (D0)	1	5	121	31	779	PPIB	3.23	0.13	2.36005117770979e-8	6.4045220261707e-9
8274	BNT-I (D1)	INFLUENZA (D0)	1	5	160	31	946	PURA	3.23	0.11	6.0700741622844e-9	1.7021819005615202e-9
8275	BNT-I (D10, mild)	INFLUENZA (D0)	2	4	639	31	4349	PURA,ACTB	6.45	0.05	2.0994760163449403e-9	6.05567923267665e-10
8276	BNT-I (D10, severe)	INFLUENZA (D0)	1	5	654	31	4499	PURA	3.23	0.02	5.8372466385399196e-12	1.91937956843383e-12
8277	BNT-I (D26, mild)	INFLUENZA (D0)	3	3	355	31	2431	CASP6,PURA,ACTB	9.68	0.12	2.5720363068645e-6	6.22688426325468e-7
8281	BNT-I-BNT (D51, mild)	INFLUENZA (D0)	1	5	66	31	446	CASP6	3.23	0.22	4.28830442158493e-7	1.08353377513269e-7
8294	I (D10, severe)	INFLUENZA (D0)	2	4	533	31	3665	CASP6,PURA	6.45	0.05	4.31312837438929e-9	1.22144409436325e-9
8298	I (D51, severe)	INFLUENZA (D0)	1	5	374	31	2435	GRB2	3.23	0.04	9.330151481477019e-11	2.8979249074714196e-11
8306	PFALCIPARUM RTSS (D1)	PANDEMRIX (D7)	2	56	3	477	27	IFI27,SERPING1	0.42	7.41	2.7785495971103e-4	5.95630477076224e-5
8308	WETVAX (ANY)	PANDEMRIX (D7)	15	43	20	477	221	APOBEC3B,IFI27,IFI30,IFI44,IFIT1,IFIT2,IFIT3,IFITM1,IFITM2,MX1,MX2,OAS1,OAS2,SERPING1,TRIM22	3.14	6.79	1.64018932260078e-9	4.77790495504228e-10
8309	YF VAX (ANY)	PANDEMRIX (D7)	17	41	27	477	327	APOBEC3B,IFI27,IFI30,IFI44,IFIT1,IFIT2,IFIT3,IFITM1,IFITM2,MX1,MX2,OAS1,OAS2,SERPING1,TRIM22,CD3D,ZAP70	3.56	5.2	6.556081808378079e-11	2.0519687393966497e-11
8311	CHAD63-KH (H24)	PANDEMRIX (D7)	40	18	693	477	5081	CD38,NA,APOBEC3A,APOBEC3B,CXCL10,CXCL9,GBP1,GBP2,GBP4,GBP5,IDO1,IFI27,IFI30,IFI35,IFI44,IFIT1,IFIT2,IFIT3,IFITM1,IFITM2,IFNGR2,MX1,MX2,OAS1,OAS2,OAS3,OASL,PSMB8,SERPING1,TRIM22,CD247,CD3E,CD3G,CD8B,FYN,LCK,NFATC2,PRKCQ,RASGRP1,ZAP70	8.39	0.79	6.12605818646822e-22	3.17071356440728e-22
8312	INACTIVATED INFLUENZA (D28)	PANDEMRIX (D7)	5	53	213	477	1439	NA,IFITM2,MX1,TRIM22,FYN	1.05	0.35	5.14294322692052e-51	7.04341896199997e-51
8313	INACTIVATED INFLUENZA (D7)	PANDEMRIX (D7)	11	47	271	477	1653	CD38,NA,IGLL1,JCHAIN,MZB1,TNFRSF17,IFNAR1,TRIM22,CD3G,CD8B,FYN	2.31	0.67	9.14533415339553e-47	1.07106369184561e-46
8315	FLUARIX (D0)	PANDEMRIX (D7)	1	57	5	477	33	NA	0.21	3.03	8.53625068236654e-7	2.12075949100685e-7
8316	RVSV ZEBOV (D7)	PANDEMRIX (D7)	2	56	8	477	82	CXCL10,IFIT1	0.42	2.44	7.83484546895532e-9	2.1815423850001403e-9
8321	CN54GP140 (D1)	PANDEMRIX (D7)	1	57	18	477	110	NA	0.21	0.91	1.51649468390638e-16	6.184326278806531e-17
8325	HIV-1 GAG-POL NEF (D1)	PANDEMRIX (D7)	42	16	576	477	4241	CD38,NA,CXCL10,GBP1,GBP2,GBP4,GBP5,IDO1,IFI27,IFI30,IFI35,IFI44,IFIT1,IFIT2,IFIT3,IFITM1,IFITM2,IFNGR2,MX1,MX2,OAS1,OAS2,OAS3,OASL,PSMB8,SERPING1,TRIM22,CD247,CD3D,CD3E,CD3G,CD8A,CD8B,FYN,LAT,LCK,NFATC2,PLCG1,PRKCQ,RASGRP1,SLA2,ZAP70	8.81	0.99	2.9712847702251697e-18	1.30858725302914e-18
8326	HIV-1 GAG-POL NEF (D3)	PANDEMRIX (D7)	16	42	66	477	549	CXCL10,GBP1,IFI27,IFI44,IFIT1,IFIT2,IFIT3,IFITM1,MX1,MX2,OAS1,OAS2,OAS3,OASL,SERPING1,TRIM22	3.35	2.91	3.54578780922947e-20	1.69989977606384e-20
8327	HPV-VLP (M2)	PANDEMRIX (D7)	9	49	179	477	1315	CD38,NA,APOBEC3B,CXCL9,IDO1,IFITM1,IFITM2,SERPING1,LCK	1.89	0.68	5.86003725938611e-42	5.82465460742176e-42
8328	INFLUENZA (D1)	PANDEMRIX (D7)	6	52	64	477	447	NA,IFI44,IFIT1,OAS1,OAS2,OAS3	1.26	1.34	3.96009020297391e-28	2.55630071354605e-28
8329	PANDEMRIX (D1)	PANDEMRIX (D7)	19	39	21	477	582	CXCL10,CXCL9,CD247,CD3D,CD3E,CD3G,CD8A,CD8B,FYN,LAT,LCK,NFATC2,PAG1,PLCG1,PRF1,PRKCQ,RASGRP1,SLA2,ZAP70	3.98	3.26	2.59941918016126e-8	7.04349249240677e-9
8330	FLUARIX FLUVIRIN (D28)	PANDEMRIX (D7)	3	55	44	477	241	NA,IFI35,OAS2	0.63	1.24	1.05381090268296e-25	6.2345757981228e-26
8331	MONOV INFLUENZA A (D28)	PANDEMRIX (D7)	2	56	26	477	281	IFI30,IFNGR2	0.42	0.71	1.08118109144968e-19	5.0564872626690097e-20
8332	FLUARIX FLUVIRIN (D3)	PANDEMRIX (D7)	2	56	176	477	1182	NA,PRF1	0.42	0.17	3.23245945154376e-52	4.69185661586797e-52
8333	INFLUENZA (D3)	PANDEMRIX (D7)	5	53	140	477	1057	NA,TNFRSF17,APOBEC3A,IFI30,IFNGR2	1.05	0.47	7.955523278922949e-43	8.144969554659848e-43
8334	MONOV INFLUENZA A (D3)	PANDEMRIX (D7)	16	42	40	477	336	APOBEC3B,GBP1,GBP4,GBP5,IFI35,IFI44,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,OAS3,OASL,SERPING1,TRIM22	3.35	4.76	8.8701100494186e-15	3.3278421732110702e-15
8335	PANDEMRIX (D3)	PANDEMRIX (D7)	1	57	4	477	70	CXCL9	0.21	1.43	8.96306321648485e-6	2.10765300757529e-6
8336	PANDEMRIX (D30)	PANDEMRIX (D7)	1	57	5	477	87	CXCL9	0.21	1.15	8.53625068236654e-7	2.12075949100685e-7
8337	FLUAD (D7)	PANDEMRIX (D7)	1	57	65	477	291	IFNAR1	0.21	0.34	1.0534201399963399e-34	8.356721235217059e-35
8338	FLUARIX FLUVIRIN (D7)	PANDEMRIX (D7)	16	42	387	477	2412	CD38,IGHV1-69,IGHV3-48,NA,IGKC,IGLL1,JCHAIN,MZB1,TNFRSF17,APOBEC3B,IFI44,IFIT1,IFNGR1,OAS3,CD247,FYN	3.35	0.66	4.8655275430517606e-46	5.53388094366926e-46
8339	INFLUENZA (D7)	PANDEMRIX (D7)	11	47	87	477	521	IGHV1-69,NA,JCHAIN,TNFRSF17,GBP5,IDO1,IFI44,OAS1,OAS2,OAS3,SERPING1	2.31	2.11	6.89763726647088e-28	4.41413031002364e-28
8340	INACTIVATED INFLUENZA (D0)	PANDEMRIX (D7)	1	57	1	477	7	GBP5	0.21	14.29	0.0338983050847457	0.00625929068523222
8341	FLUZONE (D1)	PANDEMRIX (D7)	3	55	4	477	44	IDO1,IFIT3,SERPING1	0.63	6.82	6.27414425153941e-5	1.39844769620847e-5
8343	FLUZONE (D7)	PANDEMRIX (D7)	1	57	11	477	174	TNFRSF17	0.21	0.57	6.579631267588519e-12	2.1584233663491197e-12
8344	FLUMIST (D3)	PANDEMRIX (D7)	10	48	218	477	1510	NA,IFI30,IFI35,IFNGR1,MX1,MX2,OAS1,OAS2,OAS3,TRIM22	2.1	0.66	3.4223359564225396e-44	3.6244515687243195e-44
8345	FLUMIST (D7)	PANDEMRIX (D7)	24	34	805	477	5101	NA,IGKC,MZB1,CXCL10,GBP1,IFI30,IFI44,IFIT3,IFITM1,IFITM2,IFNGR1,MX1,OAS1,OAS2,OAS3,OASL,PSMB8,CD247,FYN,LAT,LCK,NFATC2,PRF1,RASGRP1	5.03	0.47	1.09683427490264e-45	1.2330468513677699e-45
8347	FLUENZ (D3-4)	PANDEMRIX (D7)	2	56	3	477	59	CD3G,CD8A	0.42	3.39	2.7785495971103e-4	5.95630477076224e-5
8348	FLUMIST (D30)	PANDEMRIX (D7)	1	57	2	477	13	NA	0.21	7.69	0.00169491525423729	3.4649282553339e-4
8350	MENACTRA (D3)	PANDEMRIX (D7)	1	57	31	477	371	SERPING1	0.21	0.27	3.74670977922863e-23	2.02739888160551e-23
8351	MENACTRA (D7)	PANDEMRIX (D7)	4	54	6	477	57	NA,IGLL1,JCHAIN,TNFRSF17	0.84	7.02	2.80095725515152e-6	6.7668135490291e-7
8352	WETVAX (D2-4)	PANDEMRIX (D7)	9	49	34	477	383	IGKC,CXCL10,GBP2,IFI44,IFIT1,IFIT3,MX1,SERPING1,CD3D	1.89	2.35	3.14622817314601e-17	1.32458498844339e-17
8353	WETVAX (D5-7)	PANDEMRIX (D7)	33	25	165	477	1724	NA,IGKC,IGLL1,APOBEC3B,CXCL10,CXCL9,GBP1,GBP2,IDO1,IFI27,IFI30,IFI35,IFI44,IFIT1,IFIT2,IFIT3,IFITM1,IFITM2,IFNGR2,MX1,MX2,OAS1,OAS2,SERPING1,TRIM22,CD3D,CD3G,CD8A,CD8B,LAT,LCK,PRKCQ,ZAP70	6.92	1.91	2.1467022676626302e-17	9.12303499305024e-18
8354	WETVAX (D50-60)	PANDEMRIX (D7)	5	53	80	477	702	NA,IFNGR1,OAS1,CD8B,LAT	1.05	0.71	7.97675193704155e-33	6.0103817210067396e-33
8355	BCG (D7)	PANDEMRIX (D7)	1	57	4	477	14	NA	0.21	7.14	8.96306321648485e-6	2.10765300757529e-6
8356	MVA85A (D2)	PANDEMRIX (D7)	12	46	47	477	551	NA,APOBEC3A,CXCL10,IFI27,IFI35,IFI44,IFIT1,IFIT2,IFIT3,IFITM2,MX1,SERPING1	2.52	2.18	1.09248514087411e-18	4.90563488766318e-19
8358	ZOSTAVAX (D3)	PANDEMRIX (D7)	1	57	3	477	26	MX1	0.21	3.85	1.1114198388441e-4	2.43974223955204e-5
8359	YF17D (D3)	PANDEMRIX (D7)	15	43	20	477	235	CD38,CXCL10,IFI27,IFI44,IFIT1,IFIT2,IFIT3,MX1,MX2,OAS1,OAS2,OAS3,OASL,SERPING1,TRIM22	3.14	6.38	1.64018932260078e-9	4.77790495504228e-10
8360	YF VAX (D4-7)	PANDEMRIX (D7)	21	37	123	477	941	APOBEC3A,APOBEC3B,GBP5,IFI27,IFI30,IFI44,IFIT1,IFIT2,IFIT3,IFITM1,IFITM2,MX1,MX2,OAS1,OAS2,OAS3,OASL,SERPING1,TRIM22,CD3D,ZAP70	4.4	2.23	7.02253077966921e-24	3.90899547851881e-24
8361	STAMARIL (D10)	PANDEMRIX (D7)	22	36	88	477	857	CD38,NA,JCHAIN,GBP1,GBP2,GBP5,IFI27,IFI30,IFI35,IFI44,IFIT1,IFIT2,IFIT3,IFITM1,MX1,OAS1,OAS2,OAS3,OASL,SERPING1,TRIM22,PRF1	4.61	2.57	2.8267396226251e-19	1.2988974970715498e-19
8362	STAMARIL (D14)	PANDEMRIX (D7)	4	54	13	477	137	CD38,JCHAIN,MZB1,TNFRSF17	0.84	2.92	4.0960521412311896e-11	1.2987696155888e-11
8363	STAMARIL (D28)	PANDEMRIX (D7)	2	56	13	477	154	MX1,OASL	0.42	1.3	1.80708182701374e-12	6.10592198060088e-13
8364	STAMARIL (D3)	PANDEMRIX (D7)	18	40	103	477	997	APOBEC3A,GBP1,IFI27,IFI30,IFI35,IFI44,IFIT1,IFIT2,IFIT3,IFITM1,MX1,MX2,OAS1,OAS2,OAS3,OASL,SERPING1,TRIM22	3.77	1.81	3.91496305403137e-24	2.19340049164904e-24
8365	STAMARIL (D60)	PANDEMRIX (D7)	1	57	21	477	238	IFI30	0.21	0.42	2.9532515752802197e-18	1.30109952554849e-18
8366	STAMARIL (D7)	PANDEMRIX (D7)	26	32	150	477	1374	CD38,NA,APOBEC3A,CXCL10,GBP1,GBP2,GBP4,GBP5,IDO1,IFI27,IFI30,IFI35,IFI44,IFIT1,IFIT2,IFIT3,IFITM1,MX1,MX2,OAS1,OAS2,OAS3,OASL,SERPING1,TRIM22,PRF1	5.45	1.89	4.78396668383025e-22	2.4852546001311e-22
8367	HPV-VLP (D0)	PANDEMRIX (D7)	21	37	127	477	1025	CD38,NA,APOBEC3B,CXCL10,CXCL9,GBP1,IDO1,IFI27,IFI44,IFIT1,IFIT3,IFITM1,IFITM2,MX1,MX2,OAS1,OAS2,OAS3,OASL,SERPING1,CD8B	4.4	2.05	2.8528670328394997e-24	1.6050085282950999e-24
8368	MMR II (Y7)	PANDEMRIX (D7)	29	29	443	477	3035	CD38,NA,MZB1,APOBEC3A,APOBEC3B,CXCL10,CXCL9,GBP1,GBP2,GBP4,GBP5,IDO1,IFI27,IFI35,IFI44,IFIT1,IFIT2,IFIT3,IFITM1,IFITM2,IFNGR1,MX1,MX2,OAS1,OAS2,OAS3,OASL,SERPING1,TRIM22	6.08	0.96	3.0771737065863797e-31	2.1928562791986798e-31
8369	PREVNAR (M8)	PANDEMRIX (D7)	3	55	17	477	130	GBP4,GBP5,SERPING1	0.63	2.31	3.84178653256286e-14	1.40498425602252e-14
8370	PREVNAR (M9)	PANDEMRIX (D7)	4	54	31	477	214	CXCL9,GBP4,GBP5,SERPING1	0.84	1.87	6.13055387626293e-20	2.90266499252368e-20
8373	BCG (W10)	PANDEMRIX (D7)	12	46	132	477	1065	CD38,CXCL10,GBP1,GBP2,GBP4,GBP5,IDO1,IFI30,IFIT3,MX1,OAS3,TRIM22	2.52	1.13	2.8135896947992597e-33	2.14563913421778e-33
8374	PPD (W10)	PANDEMRIX (D7)	6	52	95	477	724	GBP1,GBP2,GBP4,GBP5,IDO1,IFI30	1.26	0.83	1.53376471519887e-34	1.21063545799595e-34
8375	TC-83 (D14)	PANDEMRIX (D7)	17	41	105	477	779	NA,IGKC,JCHAIN,MZB1,TNFRSF17,GBP1,IFI27,IFI44,IFIT1,OAS1,OAS2,OAS3,OASL,TRIM22,CD3D,FYN,RASGRP1	3.56	2.18	3.2557974955135097e-25	1.8889882966842697e-25
8376	TC-83 (D2)	PANDEMRIX (D7)	22	36	52	477	490	NA,APOBEC3A,CXCL10,GBP1,GBP4,GBP5,IFI27,IFI35,IFI44,IFIT1,IFIT2,IFIT3,IFITM1,IFITM2,MX1,MX2,OAS1,OAS2,OAS3,OASL,SERPING1,TRIM22	4.61	4.49	5.34967739617177e-14	1.94179870302412e-14
8377	TC-83 (D7)	PANDEMRIX (D7)	18	40	32	477	273	CXCL10,GBP1,IFI27,IFI35,IFI44,IFIT1,IFIT2,IFIT3,IFITM1,IFITM2,MX1,MX2,OAS1,OAS2,OAS3,OASL,SERPING1,TRIM22	3.77	6.59	7.95370780018445e-12	2.60309095986597e-12
8378	MVA85A (D1)	PANDEMRIX (D7)	4	54	5	477	52	NA,CXCL10,GBP5,IDO1	0.84	7.69	1.79261264329697e-5	4.13664498083933e-6
8379	MVA85A (D28)	PANDEMRIX (D7)	5	53	3	477	75	CXCL10,CXCL9,GBP1,GBP4,IFI35	1.05	6.67	0.00155598777438177	3.1876339892565e-4
8382	BNT (V1, D6)	PANDEMRIX (D7)	1	57	1	477	13	IFI27	0.21	7.69	0.0338983050847457	0.00625929068523222
8383	BNT (V2, D1)	PANDEMRIX (D7)	20	38	94	477	739	CXCL10,CXCL9,GBP1,GBP2,GBP4,GBP5,IDO1,IFI27,IFI35,IFI44,IFIT1,IFIT2,IFIT3,MX1,OAS1,OAS2,OAS3,OASL,SERPING1,TRIM22	4.19	2.71	1.87402321041277e-21	9.51024429605287e-22
8384	BNT (V3, D1)	PANDEMRIX (D7)	23	35	116	477	904	APOBEC3B,CXCL10,CXCL9,GBP1,GBP2,GBP4,GBP5,IDO1,IFI27,IFI30,IFI35,IFI44,IFIT1,IFIT2,IFIT3,IFITM1,MX1,OAS1,OAS2,OAS3,OASL,SERPING1,TRIM22	4.82	2.54	1.36068378179019e-21	6.951324149188709e-22
8385	BNT-I (D1)	PANDEMRIX (D7)	1	57	160	477	946	CD3G	0.21	0.11	3.76401163843804e-52	5.4321399114655305e-52
8386	BNT-I (D10, mild)	PANDEMRIX (D7)	37	21	604	477	4349	APOBEC3A,CXCL10,GBP1,GBP2,IFI27,IFI30,IFI35,IFI44,IFIT1,IFIT3,IFITM1,IFITM2,IFNGR2,MX1,MX2,OAS1,OAS2,OAS3,OASL,PSMB8,SERPING1,TRIM22,CD247,CD3D,CD3E,CD3G,CD8A,CD8B,FYN,LAT,LCK,NFATC2,PLCG1,PRF1,PRKCQ,RASGRP1,ZAP70	7.76	0.85	1.360280767302e-24	7.718279779638219e-25
8387	BNT-I (D10, severe)	PANDEMRIX (D7)	43	15	612	477	4499	CD38,JCHAIN,MZB1,TNFRSF17,APOBEC3A,APOBEC3B,CXCL10,GBP1,GBP2,GBP5,IFI27,IFI30,IFI35,IFI44,IFIT1,IFIT2,IFIT3,IFITM1,IFITM2,IFNGR2,MX1,MX2,OAS1,OAS2,OAS3,OASL,PSMB8,SERPING1,TRIM22,CD247,CD3D,CD3E,CD3G,CD8A,CD8B,FYN,LAT,LCK,NFATC2,PLCG1,PRKCQ,RASGRP1,ZAP70	9.01	0.96	1.85122972802436e-17	7.875298796429139e-18
8388	BNT-I (D26, mild)	PANDEMRIX (D7)	14	44	344	477	2431	APOBEC3A,IFI30,IFNGR1,IFNGR2,CD247,CD3E,CD3G,LAT,LCK,NFATC2,PLCG1,PRF1,RASGRP1,ZAP70	2.94	0.58	8.05026523091615e-47	9.445678232318381e-47
8390	BNT-I (D3)	PANDEMRIX (D7)	2	56	108	477	679	GBP2,GBP5	0.42	0.29	2.0731876859409997e-42	2.09199205020011e-42
8394	BNT-MO (V3, D1)	PANDEMRIX (D7)	25	33	170	477	1281	IGKV1D-8,APOBEC3A,APOBEC3B,CXCL10,CXCL9,GBP1,GBP2,GBP4,GBP5,IDO1,IFI30,IFI35,IFI44,IFIT1,IFIT2,IFIT3,IFITM1,MX1,MX2,OAS1,OAS2,OAS3,OASL,SERPING1,TRIM22	5.24	1.95	2.6663960397131902e-24	1.50077028205695e-24
8395	ChAd (V1, D3)	PANDEMRIX (D7)	22	36	115	477	995	APOBEC3A,APOBEC3B,CXCL10,CXCL9,GBP1,GBP4,GBP5,IDO1,IFI27,IFI30,IFI35,IFI44,IFIT1,IFIT3,IFITM1,MX1,MX2,OAS1,OAS2,OAS3,OASL,SERPING1	4.61	2.21	2.83883666704424e-22	1.4876327749282e-22
8396	ChAd (V1, D6)	PANDEMRIX (D7)	6	52	79	477	350	IGHV3-48,IGKC,JCHAIN,MZB1,TNFRSF17,IFI27	1.26	1.71	1.8346529455195398e-31	1.31483930126249e-31
8397	ChAd (V1, D7)	PANDEMRIX (D7)	7	51	30	477	272	CD38,JCHAIN,MZB1,TNFRSF17,APOBEC3B,CXCL10,IFI27	1.47	2.57	3.46078524249148e-17	1.45120324385411e-17
8398	ChAd (V2, D1)	PANDEMRIX (D7)	24	34	120	477	866	IGKC,APOBEC3A,CXCL10,GBP1,GBP2,GBP4,GBP5,IDO1,IFI27,IFI30,IFI35,IFI44,IFIT1,IFIT2,IFIT3,IFITM1,MX1,MX2,OAS1,OAS2,OAS3,OASL,SERPING1,TRIM22	5.03	2.77	3.37237610766556e-21	1.6940285029840901e-21
8401	ChAd-BNT (V2, D3)	PANDEMRIX (D7)	24	34	158	477	1209	CD38,APOBEC3A,APOBEC3B,CXCL10,CXCL9,GBP1,GBP2,GBP4,GBP5,IDO1,IFI27,IFI35,IFI44,IFIT1,IFIT2,IFIT3,MX1,MX2,OAS1,OAS2,OAS3,OASL,SERPING1,TRIM22	5.03	1.99	2.50207766313736e-24	1.40954230330148e-24
8402	ChAd-BNT (V2, D7)	PANDEMRIX (D7)	10	48	107	477	798	CD38,JCHAIN,MZB1,TNFRSF17,APOBEC3B,CXCL10,IFIT1,IFIT2,IFIT3,SERPING1	2.1	1.25	4.74110593237697e-32	3.49103110435991e-32
8403	ChAd-BNT (V3, D1)	PANDEMRIX (D7)	25	33	219	477	1626	APOBEC3A,CXCL10,CXCL9,GBP1,GBP2,GBP4,GBP5,IDO1,IFI30,IFI35,IFI44,IFIT1,IFIT2,IFIT3,IFITM1,MX1,MX2,OAS1,OAS2,OAS3,OASL,SERPING1,TRIM22,CD247,PRF1	5.24	1.54	2.76018445837223e-27	1.72866190805449e-27
8404	I (D10, moderate)	PANDEMRIX (D7)	38	20	446	477	3175	CD38,JCHAIN,MZB1,TNFRSF17,APOBEC3A,APOBEC3B,CXCL10,GBP1,GBP2,IFI27,IFI30,IFI35,IFI44,IFIT1,IFIT2,IFIT3,IFITM1,IFNGR2,MX1,OAS1,OAS2,OAS3,OASL,SERPING1,TRIM22,CD247,CD3D,CD3E,CD3G,CD8A,CD8B,LAT,LCK,NFATC2,PLCG1,PRF1,RASGRP1,ZAP70	7.97	1.2	5.8872950664939995e-21	2.92702719754129e-21
8405	I (D10, severe)	PANDEMRIX (D7)	19	39	516	477	3665	APOBEC3A,GBP4,IDO1,IFI27,IFITM1,IFITM2,IFNGR1,IFNGR2,OASL,TRIM22,CD3D,CD3E,CD3G,LAT,LCK,PAG1,PLCG1,RASGRP1,ZAP70	3.98	0.52	1.82866623630256e-46	2.11805868447448e-46
8406	I (D26, moderate)	PANDEMRIX (D7)	16	42	299	477	2016	GBP4,IFITM2,IFNGR1,CD247,CD3D,CD3E,CD3G,CD8A,CD8B,LAT,LCK,NFATC2,PLCG1,PRF1,RASGRP1,ZAP70	3.35	0.79	8.49231726849843e-42	8.40131847749519e-42
8407	I (D26, severe)	PANDEMRIX (D7)	17	41	510	477	3289	JCHAIN,TNFRSF17,APOBEC3A,IFI27,IFI44,IFNGR1,TRIM22,CD247,CD3E,CD3G,FYN,LAT,LCK,PAG1,PLCG1,PRF1,ZAP70	3.56	0.52	3.42178296785902e-49	4.36844566088501e-49
8409	I (D51, severe)	PANDEMRIX (D7)	11	47	364	477	2435	APOBEC3A,GBP1,GBP2,IFI30,IFITM1,IFITM2,IFNGR2,PSMB8,TRIM22,CD3E,CD3G	2.31	0.45	3.43635298042276e-52	4.98207128853478e-52
8413	ZF2001 (V3, D07)	PANDEMRIX (D7)	1	57	229	477	1337	MZB1	0.21	0.07	7.29808972041941e-60	1.42497781291876e-59
8421	CHAD63-KH (H24)	FLUARIX (D28)	1	7	732	69	5081	CD40	1.45	0.02	3.41396686997165e-16	1.35884050898841e-16
8422	INACTIVATED INFLUENZA (D28)	FLUARIX (D28)	1	7	217	69	1439	STAP1	1.45	0.07	1.51765508070816e-12	5.13899535683758e-13
8423	INACTIVATED INFLUENZA (D7)	FLUARIX (D28)	1	7	281	69	1653	STAP1	1.45	0.06	2.57651471696045e-13	9.042447104174881e-14
8424	INACTIVATED INFLUENZA (D2)	FLUARIX (D28)	1	7	54	69	333	STAP1	1.45	0.3	1.62669023892648e-8	4.444986873021921e-9
8425	FLUARIX (D0)	FLUARIX (D28)	1	7	5	69	33	CD22	1.45	3.03	0.00466200466200467	9.2633315324925e-4
8435	HIV-1 GAG-POL NEF (D1)	FLUARIX (D28)	2	6	616	69	4241	CD22,CD40	2.9	0.05	3.49827195194074e-13	1.22060933952096e-13
8437	HPV-VLP (M2)	FLUARIX (D28)	2	6	186	69	1315	CD40,STAP1	2.9	0.15	4.08866461549485e-10	1.22965840846692e-10
8439	PANDEMRIX (D1)	FLUARIX (D28)	1	7	39	69	582	CD40	1.45	0.17	1.27203201183041e-7	3.31021683730286e-8
8448	FLUARIX FLUVIRIN (D7)	FLUARIX (D28)	3	5	400	69	2412	BLNK,CD22,CD40	4.35	0.12	6.09189317106762e-10	1.81524576659058e-10
8449	INFLUENZA (D7)	FLUARIX (D28)	1	7	97	69	521	CD40	1.45	0.19	3.51482672758777e-10	1.06061816440316e-10
8454	FLUMIST (D3)	FLUARIX (D28)	1	7	227	69	1510	BLNK	1.45	0.07	1.11485298136535e-12	3.80776128728402e-13
8455	FLUMIST (D7)	FLUARIX (D28)	3	5	826	69	5101	CD22,PAWR,SCRIB	4.35	0.06	1.6856048746796e-11	5.44320839622971e-12
