"","genes","infection_vaccination","n_conditions","gene_set_short","process","comparison"
"5788","CCL20","Vaccination",4,"Chemotaxis, Lymphocyte","LYMPHOCYTE CHEMOTAXIS","Vaccination only"
"5789","CCL20","Vaccination",4,"Chemotaxis, Monocyte","MONOCYTE CHEMOTAXIS","Vaccination only"
"5790","CCL20","Vaccination",4,"Monocytes","MONOCYTES","Vaccination only"
"5791","CCL20","Vaccination",4,"Neutrophil","NEUTROPHIL","Vaccination only"
"5792","CCL20","Vaccination",4,"Chemotaxis, Neutrophil","NEUTROPHIL CHEMOTAXIS","Vaccination only"
"5793","CCL20","Vaccination",4,"Migration, T cell","T CELL MIGRATION","Vaccination only"
"5794","CCL20","Vaccination",4,"T cells","T CELLS","Vaccination only"
"5795","CCL20","Vaccination",4,"Migration, Thymocyte","THYMOCYTE MIGRATION","Vaccination only"
"5796","CCL20","Vaccination",4,NA,"POSITIVE REGULATION OF T CELL MIGRATION","Vaccination only"
"5797","CCL24","Vaccination",1,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Vaccination only"
"5798","CCL24","Vaccination",1,"Antiviral and inteferon","ANTIVIRAL AND INTERFERON","Vaccination only"
"5799","CCL24","Vaccination",1,"Cellular response to Interferon II","CELLULAR RESPONSE TO TYPE II INTERFERON","Vaccination only"
"5800","CCL24","Vaccination",1,"Eosinophil","EOSINOPHIL","Vaccination only"
"5801","CCL24","Vaccination",1,"Chemotaxis, Eosinophil","EOSINOPHIL CHEMOTAXIS","Vaccination only"
"5802","CCL24","Vaccination",1,"Immune response","IMMUNE RESPONSE","Vaccination only"
"5803","CCL24","Vaccination",1,"Innate immune system","INNATE IMMUNE SYSTEM","Vaccination only"
"5804","CCL24","Vaccination",1,"Chemotaxis, Lymphocyte","LYMPHOCYTE CHEMOTAXIS","Vaccination only"
"5805","CCL24","Vaccination",1,"Chemotaxis, Monocyte","MONOCYTE CHEMOTAXIS","Vaccination only"
"5806","CCL24","Vaccination",1,"Monocytes","MONOCYTES","Vaccination only"
"5807","CCL24","Vaccination",1,"Neutrophil","NEUTROPHIL","Vaccination only"
"5808","CCL24","Vaccination",1,"Chemotaxis, Neutrophil","NEUTROPHIL CHEMOTAXIS","Vaccination only"
"5809","CCL24","Vaccination",1,NA,"POSITIVE REGULATION OF EOSINOPHIL MIGRATION","Vaccination only"
"5810","CCL25","Vaccination",4,NA,"MONOCYTE CHEMOTAXIS","Vaccination only"
"5811","CCL25","Vaccination",4,NA,"IMMUNE RESPONSE","Vaccination only"
"5812","CCL25","Vaccination",4,NA,"NEUTROPHIL CHEMOTAXIS","Vaccination only"
"5813","CCL25","Vaccination",4,NA,"EOSINOPHIL CHEMOTAXIS","Vaccination only"
"5814","CCL25","Vaccination",4,NA,"LYMPHOCYTE CHEMOTAXIS","Vaccination only"
"5815","CCL25","Vaccination",4,NA,"CELLULAR RESPONSE TO TYPE II INTERFERON","Vaccination only"
"5816","CCL25","Vaccination",4,NA,"NEGATIVE REGULATION OF LEUKOCYTE TETHERING OR ROLLING","Vaccination only"
"5817","CCL3","Vaccination",8,"Macrophages","MACROPHAGES","Vaccination only"
"5818","CCL3","Vaccination",8,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Vaccination only"
"5819","CCL3","Vaccination",8,"Antiviral and inteferon","ANTIVIRAL AND INTERFERON","Vaccination only"
"5820","CCL3","Vaccination",8,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Vaccination only"
"5821","CCL3","Vaccination",8,"Cellular response to Interferon II","CELLULAR RESPONSE TO TYPE II INTERFERON","Vaccination only"
"5822","CCL3","Vaccination",8,"Eosinophil","EOSINOPHIL","Vaccination only"
"5823","CCL3","Vaccination",8,"Chemotaxis, Eosinophil","EOSINOPHIL CHEMOTAXIS","Vaccination only"
"5824","CCL3","Vaccination",8,"Degranulation, Eosinophil","EOSINOPHIL DEGRANULATION","Vaccination only"
"5825","CCL3","Vaccination",8,"Chemotaxis, Granulocyte","GRANULOCYTE CHEMOTAXIS","Vaccination only"
"5826","CCL3","Vaccination",8,"Immune response","IMMUNE RESPONSE","Vaccination only"
"5827","CCL3","Vaccination",8,"Innate immune system","INNATE IMMUNE SYSTEM","Vaccination only"
"5828","CCL3","Vaccination",8,"Chemotaxis, Lymphocyte","LYMPHOCYTE CHEMOTAXIS","Vaccination only"
"5829","CCL3","Vaccination",8,"Chemotaxis, Macrophage","MACROPHAGE CHEMOTAXIS","Vaccination only"
"5830","CCL3","Vaccination",8,"Chemotaxis, Monocyte","MONOCYTE CHEMOTAXIS","Vaccination only"
"5831","CCL3","Vaccination",8,"Monocytes","MONOCYTES","Vaccination only"
"5832","CCL3","Vaccination",8,"Neutrophil","NEUTROPHIL","Vaccination only"
"5833","CCL3","Vaccination",8,"Chemotaxis, Neutrophil","NEUTROPHIL CHEMOTAXIS","Vaccination only"
"5834","CCL3","Vaccination",8,"Chemotaxis, T cell","T CELL CHEMOTAXIS","Vaccination only"
"5835","CCL3","Vaccination",8,"T cells","T CELLS","Vaccination only"
"5836","CCL3","Vaccination",8,NA,"NEGATIVE REGULATION OF OSTEOCLAST DIFFERENTIATION","Vaccination only"
"5837","CCL3","Vaccination",8,NA,"POSITIVE REGULATION OF MICROGLIAL CELL ACTIVATION","Vaccination only"
"5838","CCL3","Vaccination",8,NA,"POSITIVE REGULATION OF MICROGLIAL CELL MIGRATION","Vaccination only"
"5839","CCL3","Vaccination",8,NA,"POSITIVE REGULATION OF NATURAL KILLER CELL CHEMOTAXIS","Vaccination only"
"5840","CCL3L1","Vaccination",5,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Vaccination only"
"5841","CCL3L1","Vaccination",5,"Antiviral and inteferon","ANTIVIRAL AND INTERFERON","Vaccination only"
"5842","CCL3L1","Vaccination",5,"Cellular response to Interferon II","CELLULAR RESPONSE TO TYPE II INTERFERON","Vaccination only"
"5843","CCL3L1","Vaccination",5,"Eosinophil","EOSINOPHIL","Vaccination only"
"5844","CCL3L1","Vaccination",5,"Chemotaxis, Eosinophil","EOSINOPHIL CHEMOTAXIS","Vaccination only"
"5845","CCL3L1","Vaccination",5,"Immune response","IMMUNE RESPONSE","Vaccination only"
"5846","CCL3L1","Vaccination",5,"Innate immune system","INNATE IMMUNE SYSTEM","Vaccination only"
"5847","CCL3L1","Vaccination",5,"Chemotaxis, Lymphocyte","LYMPHOCYTE CHEMOTAXIS","Vaccination only"
"5848","CCL3L1","Vaccination",5,"Chemotaxis, Monocyte","MONOCYTE CHEMOTAXIS","Vaccination only"
"5849","CCL3L1","Vaccination",5,"Monocytes","MONOCYTES","Vaccination only"
"5850","CCL3L1","Vaccination",5,"Neutrophil","NEUTROPHIL","Vaccination only"
"5851","CCL3L1","Vaccination",5,"Chemotaxis, Neutrophil","NEUTROPHIL CHEMOTAXIS","Vaccination only"
"5852","CCL3L3","Vaccination",3,NA,"MONOCYTE CHEMOTAXIS","Vaccination only"
"5853","CCL3L3","Vaccination",3,NA,"NEUTROPHIL CHEMOTAXIS","Vaccination only"
"5854","CCL3L3","Vaccination",3,NA,"EOSINOPHIL CHEMOTAXIS","Vaccination only"
"5855","CCL3L3","Vaccination",3,NA,"LYMPHOCYTE CHEMOTAXIS","Vaccination only"
"5856","CCL3L3","Vaccination",3,NA,"CELLULAR RESPONSE TO TYPE II INTERFERON","Vaccination only"
"5857","CCL4","Vaccination",2,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Vaccination only"
"5858","CCL4","Vaccination",2,"Antiviral and inteferon","ANTIVIRAL AND INTERFERON","Vaccination only"
"5859","CCL4","Vaccination",2,"Cellular response to Interferon II","CELLULAR RESPONSE TO TYPE II INTERFERON","Vaccination only"
"5860","CCL4","Vaccination",2,"Eosinophil","EOSINOPHIL","Vaccination only"
"5861","CCL4","Vaccination",2,"Chemotaxis, Eosinophil","EOSINOPHIL CHEMOTAXIS","Vaccination only"
"5862","CCL4","Vaccination",2,"Immune response","IMMUNE RESPONSE","Vaccination only"
"5863","CCL4","Vaccination",2,"Innate immune system","INNATE IMMUNE SYSTEM","Vaccination only"
"5864","CCL4","Vaccination",2,"Chemotaxis, Lymphocyte","LYMPHOCYTE CHEMOTAXIS","Vaccination only"
"5865","CCL4","Vaccination",2,"Chemotaxis, Monocyte","MONOCYTE CHEMOTAXIS","Vaccination only"
"5866","CCL4","Vaccination",2,"Monocytes","MONOCYTES","Vaccination only"
"5867","CCL4","Vaccination",2,"Neutrophil","NEUTROPHIL","Vaccination only"
"5868","CCL4","Vaccination",2,"Chemotaxis, Neutrophil","NEUTROPHIL CHEMOTAXIS","Vaccination only"
"5869","CCL4","Vaccination",2,NA,"POSITIVE REGULATION OF NATURAL KILLER CELL CHEMOTAXIS","Vaccination only"
"5870","CCL7","Vaccination",2,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Vaccination only"
"5871","CCL7","Vaccination",2,"Antiviral and inteferon","ANTIVIRAL AND INTERFERON","Vaccination only"
"5872","CCL7","Vaccination",2,"Cellular response to Interferon II","CELLULAR RESPONSE TO TYPE II INTERFERON","Vaccination only"
"5873","CCL7","Vaccination",2,"Eosinophil","EOSINOPHIL","Vaccination only"
"5874","CCL7","Vaccination",2,"Chemotaxis, Eosinophil","EOSINOPHIL CHEMOTAXIS","Vaccination only"
"5875","CCL7","Vaccination",2,"Immune response","IMMUNE RESPONSE","Vaccination only"
"5876","CCL7","Vaccination",2,"Innate immune system","INNATE IMMUNE SYSTEM","Vaccination only"
"5877","CCL7","Vaccination",2,"Chemotaxis, Lymphocyte","LYMPHOCYTE CHEMOTAXIS","Vaccination only"
"5878","CCL7","Vaccination",2,"Chemotaxis, Monocyte","MONOCYTE CHEMOTAXIS","Vaccination only"
"5879","CCL7","Vaccination",2,"Monocytes","MONOCYTES","Vaccination only"
"5880","CCL7","Vaccination",2,"Neutrophil","NEUTROPHIL","Vaccination only"
"5881","CCL7","Vaccination",2,"Chemotaxis, Neutrophil","NEUTROPHIL CHEMOTAXIS","Vaccination only"
"5882","CCL7","Vaccination",2,NA,"POSITIVE REGULATION OF NATURAL KILLER CELL CHEMOTAXIS","Vaccination only"
"5883","CCL8","Vaccination",8,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Vaccination only"
"5884","CCL8","Vaccination",8,"Antimicrobial peptide-mediated immune response","ANTIMICROBIAL HUMORAL IMMUNE RESPONSE MEDIATED BY ANTIMICROBIAL PEPTIDE","Vaccination only"
"5885","CCL8","Vaccination",8,"Antiviral and inteferon","ANTIVIRAL AND INTERFERON","Vaccination only"
"5886","CCL8","Vaccination",8,"Cellular response to Interferon II","CELLULAR RESPONSE TO TYPE II INTERFERON","Vaccination only"
"5887","CCL8","Vaccination",8,"Eosinophil","EOSINOPHIL","Vaccination only"
"5888","CCL8","Vaccination",8,"Chemotaxis, Eosinophil","EOSINOPHIL CHEMOTAXIS","Vaccination only"
"5889","CCL8","Vaccination",8,"Immune response","IMMUNE RESPONSE","Vaccination only"
"5890","CCL8","Vaccination",8,"Innate immune system","INNATE IMMUNE SYSTEM","Vaccination only"
"5891","CCL8","Vaccination",8,"Chemotaxis, Lymphocyte","LYMPHOCYTE CHEMOTAXIS","Vaccination only"
"5892","CCL8","Vaccination",8,"Chemotaxis, Monocyte","MONOCYTE CHEMOTAXIS","Vaccination only"
"5893","CCL8","Vaccination",8,"Monocytes","MONOCYTES","Vaccination only"
"5894","CCL8","Vaccination",8,"Neutrophil","NEUTROPHIL","Vaccination only"
"5895","CCL8","Vaccination",8,"Chemotaxis, Neutrophil","NEUTROPHIL CHEMOTAXIS","Vaccination only"
"5896","CCNB2","Vaccination",3,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Vaccination only"
"5897","CCNB2","Vaccination",3,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Vaccination only"
"5898","CCNB2","Vaccination",3,"Homeostasis, T cell","T CELL HOMEOSTASIS","Vaccination only"
"5899","CCNB2","Vaccination",3,"T cells","T CELLS","Vaccination only"
"5900","CCNB2","Vaccination",3,"Development, Thymocyte","THYMUS DEVELOPMENT","Vaccination only"
"5901","CCR1","Vaccination",3,"Chemotaxis, Dendritic cell","DENDRITIC CELL CHEMOTAXIS","Vaccination only"
"5902","CCR1","Vaccination",3,"Dendritic cells","DENDRITIC CELLS","Vaccination only"
"5903","CCR1","Vaccination",3,"Immune response","IMMUNE RESPONSE","Vaccination only"
"5904","CCR1","Vaccination",3,"Innate immune system","INNATE IMMUNE SYSTEM","Vaccination only"
"5905","CCR1","Vaccination",3,NA,"POSITIVE REGULATION OF OSTEOCLAST DIFFERENTIATION","Vaccination only"
"5906","CCR1","Vaccination",3,NA,"POSITIVE REGULATION OF MONOCYTE CHEMOTAXIS","Vaccination only"
"5907","CCR2","Vaccination",1,"Macrophages","MACROPHAGES","Vaccination only"
"5908","CCR2","Vaccination",1,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Vaccination only"
"5909","CCR2","Vaccination",1,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Vaccination only"
"5910","CCR2","Vaccination",1,"Chemotaxis, Dendritic cell","DENDRITIC CELL CHEMOTAXIS","Vaccination only"
"5911","CCR2","Vaccination",1,"Dendritic cells","DENDRITIC CELLS","Vaccination only"
"5912","CCR2","Vaccination",1,"Humoral immune response","HUMORAL IMMUNE RESPONSE","Vaccination only"
"5913","CCR2","Vaccination",1,"Immune response","IMMUNE RESPONSE","Vaccination only"
"5914","CCR2","Vaccination",1,"Innate immune system","INNATE IMMUNE SYSTEM","Vaccination only"
"5915","CCR2","Vaccination",1,"Migration, Macrophage","MACROPHAGE MIGRATION","Vaccination only"
"5916","CCR2","Vaccination",1,"Chemotaxis, Monocyte","MONOCYTE CHEMOTAXIS","Vaccination only"
"5917","CCR2","Vaccination",1,"Extravasation, Monocyte","MONOCYTE EXTRAVASATION","Vaccination only"
"5918","CCR2","Vaccination",1,"Monocytes","MONOCYTES","Vaccination only"
"5919","CCR2","Vaccination",1,"Neutrophil","NEUTROPHIL","Vaccination only"
"5920","CCR2","Vaccination",1,"Clearance, Neutrophil","NEUTROPHIL CLEARANCE","Vaccination only"
"5921","CCR2","Vaccination",1,"Chemotaxis, Th17 cell","T-HELPER 17 CELL CHEMOTAXIS","Vaccination only"
"5922","CCR2","Vaccination",1,NA,"REGULATION OF T CELL CYTOKINE PRODUCTION","Vaccination only"
"5923","CCR2","Vaccination",1,NA,"POSITIVE REGULATION OF T-HELPER 1 TYPE IMMUNE RESPONSE","Vaccination only"
"5924","CCR2","Vaccination",1,NA,"NEGATIVE REGULATION OF TYPE 2 IMMUNE RESPONSE","Vaccination only"
"5925","CCR2","Vaccination",1,NA,"POSITIVE REGULATION OF T CELL CHEMOTAXIS","Vaccination only"
"5926","CCR2","Vaccination",1,NA,"NEGATIVE REGULATION OF EOSINOPHIL DEGRANULATION","Vaccination only"
"5927","CCR2","Vaccination",1,NA,"REGULATION OF T CELL DIFFERENTIATION","Vaccination only"
"5928","CCR2","Vaccination",1,NA,"POSITIVE REGULATION OF ALPHA-BETA T CELL PROLIFERATION","Vaccination only"
"5929","CCR2","Vaccination",1,NA,"POSITIVE REGULATION OF T CELL ACTIVATION","Vaccination only"
"5930","CCR2","Vaccination",1,NA,"POSITIVE REGULATION OF MONOCYTE CHEMOTAXIS","Vaccination only"
"5931","CCR2","Vaccination",1,NA,"POSITIVE REGULATION OF IMMUNE COMPLEX CLEARANCE BY MONOCYTES AND MACROPHAGES","Vaccination only"
"5932","CCR2","Vaccination",1,NA,"POSITIVE REGULATION OF THYMOCYTE MIGRATION","Vaccination only"
"5933","CCR2","Vaccination",1,NA,"POSITIVE REGULATION OF MONOCYTE EXTRAVASATION","Vaccination only"
"5934","CCR2","Vaccination",1,NA,"POSITIVE REGULATION OF CD8-POSITIVE, ALPHA-BETA T CELL EXTRAVASATION","Vaccination only"
"5935","CCR3","Vaccination",1,NA,"IMMUNE RESPONSE","Vaccination only"
"5936","CCRL2","Vaccination",5,NA,"IMMUNE RESPONSE","Vaccination only"
"5937","CD177","Vaccination",1,"Immune system, Process","IMMUNE SYSTEM PROCESS","Vaccination only"
"5938","CD177","Vaccination",1,"Innate immune response","INNATE IMMUNE RESPONSE","Vaccination only"
"5939","CD177","Vaccination",1,"Innate immune system","INNATE IMMUNE SYSTEM","Vaccination only"
"5940","CD177","Vaccination",1,"Neutrophil","NEUTROPHIL","Vaccination only"
"5941","CD177","Vaccination",1,"Extravasation, Neutrophil","NEUTROPHIL EXTRAVASATION","Vaccination only"
"5942","CD177","Vaccination",1,"Migration, Neutrophil","NEUTROPHIL MIGRATION","Vaccination only"
"5943","CD177","Vaccination",1,NA,"POSITIVE REGULATION OF NEUTROPHIL DEGRANULATION","Vaccination only"
"5944","CD1E","Vaccination",1,"Adaptive Immune response","ADAPTIVE IMMUNE RESPONSE","Vaccination only"
"5945","CD1E","Vaccination",1,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Vaccination only"
"5946","CD1E","Vaccination",1,"APP, MHC IB, Endogenous lipid antigen","ANTIGEN PROCESSING AND PRESENTATION, ENDOGENOUS LIPID ANTIGEN VIA MHC CLASS IB","Vaccination only"
"5947","CD1E","Vaccination",1,"APP, MHC IB, Exogenous lipid antigen","ANTIGEN PROCESSING AND PRESENTATION, EXOGENOUS LIPID ANTIGEN VIA MHC CLASS IB","Vaccination only"
"5948","CD1E","Vaccination",1,"Antigen recognition processing and presentation","ARPP","Vaccination only"
"5949","CD1E","Vaccination",1,"Immune response","IMMUNE RESPONSE","Vaccination only"
"5950","CD1E","Vaccination",1,"Immune system, Process","IMMUNE SYSTEM PROCESS","Vaccination only"
"5951","CD1E","Vaccination",1,"Innate immune system","INNATE IMMUNE SYSTEM","Vaccination only"
"5952","CD1E","Vaccination",1,NA,"POSITIVE REGULATION OF T CELL MEDIATED CYTOTOXICITY","Vaccination only"
"5953","CD209","Vaccination",2,NA,"ADAPTIVE IMMUNE RESPONSE","Vaccination only"
"5954","CD209","Vaccination",2,NA,"IMMUNE RESPONSE","Vaccination only"
"5955","CD209","Vaccination",2,NA,"ANTIGEN PROCESSING AND PRESENTATION","Vaccination only"
"5956","CD209","Vaccination",2,NA,"POSITIVE REGULATION OF T CELL PROLIFERATION","Vaccination only"
"5957","CD209","Vaccination",2,NA,"REGULATION OF T CELL PROLIFERATION","Vaccination only"
"5958","CD209","Vaccination",2,NA,"INNATE IMMUNE RESPONSE","Vaccination only"
"5959","CD209","Vaccination",2,NA,"PEPTIDE ANTIGEN TRANSPORT","Vaccination only"
"5960","CD247","Vaccination",1,"Adaptive Immune response","ADAPTIVE IMMUNE RESPONSE","Vaccination only"
"5961","CD247","Vaccination",1,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Vaccination only"
"5962","CD247","Vaccination",1,"Activation, abT cell","ALPHA-BETA T CELL ACTIVATION","Vaccination only"
"5963","CD247","Vaccination",1,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Vaccination only"
"5964","CD247","Vaccination",1,"Activation, gdT cell","GAMMA-DELTA T CELL ACTIVATION","Vaccination only"
"5965","CD247","Vaccination",1,"Immune system, Process","IMMUNE SYSTEM PROCESS","Vaccination only"
"5966","CD247","Vaccination",1,"Signaling, T cell","T CELL RECEPTOR SIGNALING PATHWAY","Vaccination only"
"5967","CD247","Vaccination",1,"T cells","T CELLS","Vaccination only"
"5968","CD247","Vaccination",1,NA,"FC-GAMMA RECEPTOR SIGNALING PATHWAY","Vaccination only"
"5969","CD274","Vaccination",6,NA,"ADAPTIVE IMMUNE RESPONSE","Vaccination only"
"5970","CD274","Vaccination",6,NA,"POSITIVE REGULATION OF TOLERANCE INDUCTION TO TUMOR CELL","Vaccination only"
"5971","CD274","Vaccination",6,NA,"IMMUNE RESPONSE","Vaccination only"
"5972","CD274","Vaccination",6,NA,"T CELL COSTIMULATION","Vaccination only"
"5973","CD274","Vaccination",6,NA,"POSITIVE REGULATION OF T CELL PROLIFERATION","Vaccination only"
"5974","CD274","Vaccination",6,NA,"NEGATIVE REGULATION OF T CELL PROLIFERATION","Vaccination only"
"5975","CD274","Vaccination",6,NA,"NEGATIVE REGULATION OF ACTIVATED T CELL PROLIFERATION","Vaccination only"
"5976","CD274","Vaccination",6,NA,"NEGATIVE REGULATION OF CD4-POSITIVE, ALPHA-BETA T CELL PROLIFERATION","Vaccination only"
"5977","CD274","Vaccination",6,NA,"NEGATIVE REGULATION OF CD8-POSITIVE, ALPHA-BETA T CELL ACTIVATION","Vaccination only"
"5978","CD276","Vaccination",3,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Vaccination only"
"5979","CD276","Vaccination",3,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Vaccination only"
"5980","CD276","Vaccination",3,"Activation, T cell","T CELL ACTIVATION","Vaccination only"
"5981","CD276","Vaccination",3,"Signaling, T cell","T CELL RECEPTOR SIGNALING PATHWAY","Vaccination only"
"5982","CD276","Vaccination",3,"T cells","T CELLS","Vaccination only"
"5983","CD276","Vaccination",3,NA,"POSITIVE REGULATION OF T CELL PROLIFERATION","Vaccination only"
"5984","CD276","Vaccination",3,NA,"REGULATION OF IMMUNE RESPONSE","Vaccination only"
"5985","CD300C","Vaccination",1,NA,"OTHER","Vaccination only"
"5986","CD300C","Vaccination",1,"Immune system, Process","IMMUNE SYSTEM PROCESS","Vaccination only"
"5987","CD300LD","Vaccination",2,NA,"OTHER","Vaccination only"
"5988","CD300LD","Vaccination",2,"Immune system, Process","IMMUNE SYSTEM PROCESS","Vaccination only"
"5989","CD320","Vaccination",1,NA,"POSITIVE REGULATION OF B CELL PROLIFERATION","Vaccination only"
"5990","CD320","Vaccination",1,NA,"B CELL COSTIMULATION","Vaccination only"
"5991","CD34","Vaccination",2,NA,"OTHER","Vaccination only"
"5992","CD34","Vaccination",2,"Migration, Leukocyte","LEUKOCYTE MIGRATION","Vaccination only"
"5993","CD38","Vaccination",3,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Vaccination only"
"5994","CD38","Vaccination",3,"Proliferation, B cell","B CELL PROLIFERATION","Vaccination only"
"5995","CD38","Vaccination",3,"Signaling, BCR, B cell","B CELL RECEPTOR SIGNALING PATHWAY","Vaccination only"
"5996","CD38","Vaccination",3,"B cells","B CELLS","Vaccination only"
"5997","CD38","Vaccination",3,NA,"POSITIVE REGULATION OF B CELL PROLIFERATION","Vaccination only"
"5998","CD40","Vaccination",1,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Vaccination only"
"5999","CD40","Vaccination",1,"Antigen recognition processing and presentation","ARPP","Vaccination only"
"6000","CD40","Vaccination",1,"Activation, B cell","B CELL ACTIVATION","Vaccination only"
"6001","CD40","Vaccination",1,"Immunity, B cell","B CELL MEDIATED IMMUNITY","Vaccination only"
"6002","CD40","Vaccination",1,"Proliferation, B cell","B CELL PROLIFERATION","Vaccination only"
"6003","CD40","Vaccination",1,"B cells","B CELLS","Vaccination only"
"6004","CD40","Vaccination",1,"Immune system, Process","IMMUNE SYSTEM PROCESS","Vaccination only"
"6005","CD40","Vaccination",1,"Innate immune system","INNATE IMMUNE SYSTEM","Vaccination only"
"6006","CD40","Vaccination",1,"Response to Interferon II","RESPONSE TO TYPE II INTERFERON","Vaccination only"
"6007","CD40","Vaccination",1,"PRR, TLR TRIF dep, Pathway","TRIF-DEPENDENT TOLL-LIKE RECEPTOR SIGNALING PATHWAY","Vaccination only"
"6008","CD40","Vaccination",1,NA,"IMMUNE RESPONSE-REGULATING CELL SURFACE RECEPTOR SIGNALING PATHWAY","Vaccination only"
"6009","CD40","Vaccination",1,NA,"POSITIVE REGULATION OF B CELL PROLIFERATION","Vaccination only"
"6010","CD40","Vaccination",1,NA,"POSITIVE REGULATION OF ISOTYPE SWITCHING TO IGG ISOTYPES","Vaccination only"
"6011","CD7","Vaccination",1,"Adaptive Immune response","ADAPTIVE IMMUNE RESPONSE","Vaccination only"
"6012","CD7","Vaccination",1,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Vaccination only"
"6013","CD7","Vaccination",1,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Vaccination only"
"6014","CD7","Vaccination",1,"Immune response","IMMUNE RESPONSE","Vaccination only"
"6015","CD7","Vaccination",1,"Immune system, Process","IMMUNE SYSTEM PROCESS","Vaccination only"
"6016","CD7","Vaccination",1,"Activation, T cell","T CELL ACTIVATION","Vaccination only"
"6017","CD7","Vaccination",1,"T cells","T CELLS","Vaccination only"
"6018","CD83","Vaccination",3,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Vaccination only"
"6019","CD83","Vaccination",3,"Differentiation, CD4+ T cell","CD4-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION","Vaccination only"
"6020","CD83","Vaccination",3,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Vaccination only"
"6021","CD83","Vaccination",3,"Humoral immune response","HUMORAL IMMUNE RESPONSE","Vaccination only"
"6022","CD83","Vaccination",3,"T cells","T CELLS","Vaccination only"
"6023","CD83","Vaccination",3,NA,"POSITIVE REGULATION OF CD4-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION","Vaccination only"
"6024","CD9","Vaccination",1,NA,"REGULATION OF MACROPHAGE MIGRATION","Vaccination only"
"6025","CDC42","Vaccination",1,"Antiviral and inteferon","ANTIVIRAL AND INTERFERON","Vaccination only"
"6026","CDC42","Vaccination",1,"Cellular response to Interferon II","CELLULAR RESPONSE TO TYPE II INTERFERON","Vaccination only"
"6027","CDC42","Vaccination",1,"Migration, Dendritic cell","DENDRITIC CELL MIGRATION","Vaccination only"
"6028","CDC42","Vaccination",1,"Dendritic cells","DENDRITIC CELLS","Vaccination only"
"6029","CDC42","Vaccination",1,"Innate immune system","INNATE IMMUNE SYSTEM","Vaccination only"
"6030","CDC42EP2","Vaccination",3,NA,"CELLULAR RESPONSE TO TYPE II INTERFERON","Vaccination only"
"6031","CDKN1A","Vaccination",3,NA,"POSITIVE REGULATION OF B CELL PROLIFERATION","Vaccination only"
"6032","CEACAM1","Vaccination",5,NA,"NEGATIVE REGULATION OF T CELL MEDIATED CYTOTOXICITY","Vaccination only"
"6033","CEACAM1","Vaccination",5,NA,"REGULATION OF IMMUNE SYSTEM PROCESS","Vaccination only"
"6034","CEACAM1","Vaccination",5,NA,"NEGATIVE REGULATION OF NATURAL KILLER CELL MEDIATED CYTOTOXICITY DIRECTED AGAINST TUMOR CELL TARGET","Vaccination only"
"6035","CEACAM1","Vaccination",5,NA,"NEGATIVE REGULATION OF GRANULOCYTE DIFFERENTIATION","Vaccination only"
"6036","CEACAM1","Vaccination",5,NA,"NEGATIVE REGULATION OF CYTOTOXIC T CELL DEGRANULATION","Vaccination only"
"6037","CEACAM1","Vaccination",5,NA,"NEGATIVE REGULATION OF T CELL RECEPTOR SIGNALING PATHWAY","Vaccination only"
"6038","CEACAM3","Vaccination",1,NA,"REGULATION OF IMMUNE SYSTEM PROCESS","Vaccination only"
"6039","CEACAM4","Vaccination",1,NA,"REGULATION OF IMMUNE SYSTEM PROCESS","Vaccination only"
"6040","CEACAM8","Vaccination",1,NA,"OTHER","Vaccination only"
"6041","CEACAM8","Vaccination",1,"Immune response","IMMUNE RESPONSE","Vaccination only"
"6042","CEBPA","Vaccination",1,NA,"POSITIVE REGULATION OF MACROPHAGE ACTIVATION","Vaccination only"
"6043","CEBPA","Vaccination",1,NA,"NEGATIVE REGULATION OF HEMATOPOIETIC STEM CELL PROLIFERATION","Vaccination only"
