"","genes","infection_vaccination","n_conditions","comparison"
"9168","KRT80","Infection",2,"Infection and vaccination"
"9169","LINC00278","Infection",2,"Infection and vaccination"
"9170","LINC00476","Infection",2,"Infection and vaccination"
"9171","LINC00582","Infection",2,"Infection and vaccination"
"9172","LINC00929","Infection",2,"Infection and vaccination"
"9173","LINC01252","Infection",2,"Infection and vaccination"
"9174","LINC01337","Infection",2,"Infection and vaccination"
"9175","LINC01353","Infection",2,"Infection and vaccination"
"9176","LOC100128233","Infection",2,"Infection and vaccination"
"9177","LOC100190986","Infection",2,"Infection and vaccination"
"9178","LOC100335030","Infection",2,"Infection and vaccination"
"9179","LOC100505716","Infection",2,"Infection and vaccination"
"9180","LOC101927018","Infection",2,"Infection and vaccination"
"9181","LOC102723885","Infection",2,"Infection and vaccination"
"9182","LOC400548","Infection",2,"Infection and vaccination"
"9183","LOC727896","Infection",2,"Infection and vaccination"
"9184","LRRC25","Infection",2,"Infection and vaccination"
"9185","MAST1","Infection",2,"Infection and vaccination"
"9186","MCF2L2","Infection",2,"Infection and vaccination"
"9187","MCOLN3","Infection",2,"Infection and vaccination"
"9188","MEX3D","Infection",2,"Infection and vaccination"
"9189","MFSD2B","Infection",2,"Infection and vaccination"
"9190","MIR1301","Infection",2,"Infection and vaccination"
"9191","MIR6069","Infection",2,"Infection and vaccination"
"9192","MIR6774","Infection",2,"Infection and vaccination"
"9193","MKRN2OS","Infection",2,"Infection and vaccination"
"9194","MLC1","Infection",2,"Infection and vaccination"
"9195","NAT8","Infection",2,"Infection and vaccination"
"9196","NAV2","Infection",2,"Infection and vaccination"
"9197","NDRG4","Infection",2,"Infection and vaccination"
"9198","NDUFB7","Infection",2,"Infection and vaccination"
"9199","NEAT1","Infection",2,"Infection and vaccination"
"9200","NEFM","Infection",2,"Infection and vaccination"
"9201","NFIB","Infection",2,"Infection and vaccination"
"9202","NHLRC1","Infection",2,"Infection and vaccination"
"9203","NHSL1","Infection",2,"Infection and vaccination"
"9204","NIPAL4","Infection",2,"Infection and vaccination"
"9205","NRGN","Infection",2,"Infection and vaccination"
"9206","NRIP3","Infection",2,"Infection and vaccination"
"9207","NRM","Infection",2,"Infection and vaccination"
"9208","OCM","Infection",2,"Infection and vaccination"
"9209","OR7D2","Infection",2,"Infection and vaccination"
"9210","OSBP2","Infection",2,"Infection and vaccination"
"9211","PARS2","Infection",2,"Infection and vaccination"
"9212","PLLP","Infection",2,"Infection and vaccination"
"9213","PNMA2","Infection",2,"Infection and vaccination"
"9214","PODN","Infection",2,"Infection and vaccination"
"9215","PPBPP2","Infection",2,"Infection and vaccination"
"9216","PPIF","Infection",2,"Infection and vaccination"
"9217","PRKCG","Infection",2,"Infection and vaccination"
"9218","PRSS22","Infection",2,"Infection and vaccination"
"9219","PTPRF","Infection",2,"Infection and vaccination"
"9220","PTRH1","Infection",2,"Infection and vaccination"
"9221","PYGM","Infection",2,"Infection and vaccination"
"9222","RAB3IL1","Infection",2,"Infection and vaccination"
"9223","RAVER2","Infection",2,"Infection and vaccination"
"9224","RBPMS2","Infection",2,"Infection and vaccination"
"9225","RGS20","Infection",2,"Infection and vaccination"
"9226","RHBDL1","Infection",2,"Infection and vaccination"
"9227","RLBP1","Infection",2,"Infection and vaccination"
"9228","RNF157-AS1","Infection",2,"Infection and vaccination"
"9229","RPA4","Infection",2,"Infection and vaccination"
"9230","RPAP2","Infection",2,"Infection and vaccination"
"9231","RPS4Y1","Infection",2,"Infection and vaccination"
"9232","SCARNA20","Infection",2,"Infection and vaccination"
"9233","SCN7A","Infection",2,"Infection and vaccination"
"9234","SDSL","Infection",2,"Infection and vaccination"
"9235","SERPINB2","Infection",2,"Infection and vaccination"
"9236","SERTAD1","Infection",2,"Infection and vaccination"
"9237","SGK1","Infection",2,"Infection and vaccination"
"9238","SIGLEC12","Infection",2,"Infection and vaccination"
"9239","SIGLEC17P","Infection",2,"Infection and vaccination"
"9240","SLC2A6","Infection",2,"Infection and vaccination"
"9241","SLC39A4","Infection",2,"Infection and vaccination"
"9242","SLC9A2","Infection",2,"Infection and vaccination"
"9243","SLCO2B1","Infection",2,"Infection and vaccination"
"9244","SMIM18","Infection",2,"Infection and vaccination"
"9245","SMOC1","Infection",2,"Infection and vaccination"
"9246","SNORA21","Infection",2,"Infection and vaccination"
"9247","SNORA5C","Infection",2,"Infection and vaccination"
"9248","SOD2","Infection",2,"Infection and vaccination"
"9249","SPINK2","Infection",2,"Infection and vaccination"
"9250","SPINK9","Infection",2,"Infection and vaccination"
"9251","STARD13","Infection",2,"Infection and vaccination"
"9252","STXBP5L","Infection",2,"Infection and vaccination"
"9253","TCTN3","Infection",2,"Infection and vaccination"
"9254","TEPP","Infection",2,"Infection and vaccination"
"9255","THSD7A","Infection",2,"Infection and vaccination"
"9256","TKTL1","Infection",2,"Infection and vaccination"
"9257","TMEM132A","Infection",2,"Infection and vaccination"
"9258","TMEM132B","Infection",2,"Infection and vaccination"
"9259","TMEM158","Infection",2,"Infection and vaccination"
"9260","TMEM182","Infection",2,"Infection and vaccination"
"9261","TREML3P","Infection",2,"Infection and vaccination"
"9262","TRPC5","Infection",2,"Infection and vaccination"
"9263","TRPM3","Infection",2,"Infection and vaccination"
"9264","TSTD3","Infection",2,"Infection and vaccination"
"9265","TTTY15","Infection",2,"Infection and vaccination"
"9266","TUB","Infection",2,"Infection and vaccination"
"9267","TXLNGY","Infection",2,"Infection and vaccination"
"9268","UBE2S","Infection",2,"Infection and vaccination"
"9269","UCKL1-AS1","Infection",2,"Infection and vaccination"
"9270","USP49","Infection",2,"Infection and vaccination"
"9271","USP9Y","Infection",2,"Infection and vaccination"
"9272","VASN","Infection",2,"Infection and vaccination"
"9273","VCAN","Infection",2,"Infection and vaccination"
"9274","VNN3","Infection",2,"Infection and vaccination"
"9275","VWCE","Infection",2,"Infection and vaccination"
"9276","WNT2B","Infection",2,"Infection and vaccination"
"9277","XIRP2","Infection",2,"Infection and vaccination"
"9278","XKRX","Infection",2,"Infection and vaccination"
"9279","XPNPEP2","Infection",2,"Infection and vaccination"
"9280","ZBTB43","Infection",2,"Infection and vaccination"
"9281","ZDHHC15","Infection",2,"Infection and vaccination"
"9282","ZMYND15","Infection",2,"Infection and vaccination"
"9283","ZNF117","Infection",2,"Infection and vaccination"
"9284","ZNF391","Infection",2,"Infection and vaccination"
"9285","ZNF436-AS1","Infection",2,"Infection and vaccination"
"9286","ZNF585B","Infection",2,"Infection and vaccination"
"9287","ZNF771","Infection",2,"Infection and vaccination"
"9288","ZSCAN23","Infection",2,"Infection and vaccination"
"9289","A4GNT","Infection",1,"Infection only"
"9290","AARD","Infection",1,"Infection only"
"9291","AASDH","Infection",1,"Infection only"
"9292","ABALON","Infection",1,"Infection only"
"9293","ABAT","Infection",1,"Infection only"
"9294","ABCA17P","Infection",1,"Infection only"
"9295","ABCC13","Infection",1,"Infection only"
"9296","ABCC6","Infection",1,"Infection only"
"9297","ABCD1","Infection",1,"Infection only"
"9298","ABCD4","Infection",1,"Infection only"
"9299","ABCF1","Infection",1,"Infection only"
"9300","ABHD10","Infection",1,"Infection only"
"9301","ABHD4","Infection",1,"Infection only"
"9302","ABHD6","Infection",1,"Infection only"
"9303","ABI3","Infection",1,"Infection only"
"9304","ABLIM2","Infection",1,"Infection only"
"9305","ACAA1","Infection",1,"Infection only"
"9306","ACACA","Infection",1,"Infection only"
"9307","ACADS","Infection",1,"Infection only"
"9308","ACAP3","Infection",1,"Infection only"
"9309","ACAT2","Infection",1,"Infection only"
"9310","ACBD6","Infection",1,"Infection only"
"9311","ACMSD","Infection",1,"Infection only"
"9312","ACO2","Infection",1,"Infection only"
"9313","ACOT2","Infection",1,"Infection only"
"9314","ACP6","Infection",1,"Infection only"
"9315","ACRC","Infection",1,"Infection only"
"9316","ACSBG1","Infection",1,"Infection only"
"9317","ACSF3","Infection",1,"Infection only"
"9318","ACSM1","Infection",1,"Infection only"
"9319","ACTA2","Infection",1,"Infection only"
"9320","ACTG1P4","Infection",1,"Infection only"
"9321","ACVR2B-AS1","Infection",1,"Infection only"
"9322","ACVRL1","Infection",1,"Infection only"
"9323","ACY3","Infection",1,"Infection only"
"9324","ADAM19","Infection",1,"Infection only"
"9325","ADAM1A","Infection",1,"Infection only"
"9326","ADAM21","Infection",1,"Infection only"
"9327","ADAM28","Infection",1,"Infection only"
"9328","ADAMTS1","Infection",1,"Infection only"
"9329","ADAMTS17","Infection",1,"Infection only"
"9330","ADAMTS8","Infection",1,"Infection only"
"9331","ADAMTSL4","Infection",1,"Infection only"
"9332","ADAMTSL4-AS1","Infection",1,"Infection only"
"9333","ADAT3","Infection",1,"Infection only"
"9334","ADCK4","Infection",1,"Infection only"
"9335","ADCY5","Infection",1,"Infection only"
"9336","ADCY6","Infection",1,"Infection only"
"9337","ADGRF3","Infection",1,"Infection only"
"9338","ADGRL2","Infection",1,"Infection only"
"9339","ADH6","Infection",1,"Infection only"
"9340","ADM2","Infection",1,"Infection only"
"9341","ADPGK-AS1","Infection",1,"Infection only"
"9342","ADPRH","Infection",1,"Infection only"
"9343","ADPRHL2","Infection",1,"Infection only"
"9344","ADRA2B","Infection",1,"Infection only"
"9345","ADRB1","Infection",1,"Infection only"
"9346","AFF1","Infection",1,"Infection only"
"9347","AFMID","Infection",1,"Infection only"
"9348","AGA","Infection",1,"Infection only"
"9349","AGAP3","Infection",1,"Infection only"
"9350","AGAP4","Infection",1,"Infection only"
"9351","AGAP7P","Infection",1,"Infection only"
"9352","AGBL3","Infection",1,"Infection only"
"9353","AGPAT4","Infection",1,"Infection only"
"9354","AGPAT6","Infection",1,"Infection only"
"9355","AIP","Infection",1,"Infection only"
"9356","AK8","Infection",1,"Infection only"
"9357","AKAP10","Infection",1,"Infection only"
"9358","AKR1C3","Infection",1,"Infection only"
"9359","AKR1C4","Infection",1,"Infection only"
"9360","AKR1C6P","Infection",1,"Infection only"
"9361","ALB","Infection",1,"Infection only"
"9362","ALDH1A3","Infection",1,"Infection only"
"9363","ALDH2","Infection",1,"Infection only"
"9364","ALDH4A1","Infection",1,"Infection only"
"9365","ALDH7A1","Infection",1,"Infection only"
"9366","ALDOA","Infection",1,"Infection only"
"9367","ALG10B","Infection",1,"Infection only"
"9368","ALG12","Infection",1,"Infection only"
"9369","ALG13","Infection",1,"Infection only"
"9370","ALG1L","Infection",1,"Infection only"
"9371","ALG3","Infection",1,"Infection only"
"9372","ALG9","Infection",1,"Infection only"
"9373","ALKBH3-AS1","Infection",1,"Infection only"
"9374","ALKBH4","Infection",1,"Infection only"
"9375","ALMS1-IT1","Infection",1,"Infection only"
"9376","ALYREF","Infection",1,"Infection only"
"9377","AMH","Infection",1,"Infection only"
"9378","AMIGO2","Infection",1,"Infection only"
"9379","AMIGO3","Infection",1,"Infection only"
"9380","AMOTL1","Infection",1,"Infection only"
"9381","AMY2B","Infection",1,"Infection only"
"9382","ANAPC11","Infection",1,"Infection only"
"9383","ANAPC15","Infection",1,"Infection only"
"9384","ANAPC2","Infection",1,"Infection only"
"9385","ANGPT4","Infection",1,"Infection only"
"9386","ANGPTL3","Infection",1,"Infection only"
"9387","ANGPTL7","Infection",1,"Infection only"
"9388","ANKAR","Infection",1,"Infection only"
"9389","ANKDD1A","Infection",1,"Infection only"
"9390","ANKDD1B","Infection",1,"Infection only"
"9391","ANKHD1-EIF4EBP3","Infection",1,"Infection only"
"9392","ANKRD13B","Infection",1,"Infection only"
"9393","ANKRD18A","Infection",1,"Infection only"
"9394","ANKRD18DP","Infection",1,"Infection only"
"9395","ANKRD20A9P","Infection",1,"Infection only"
"9396","ANKRD26P1","Infection",1,"Infection only"
"9397","ANKRD33B","Infection",1,"Infection only"
"9398","ANKRD34A","Infection",1,"Infection only"
"9399","ANKRD35","Infection",1,"Infection only"
"9400","ANKRD37","Infection",1,"Infection only"
"9401","ANKRD39","Infection",1,"Infection only"
"9402","ANKRD62","Infection",1,"Infection only"
"9403","ANKRD9","Infection",1,"Infection only"
"9404","ANKS1A","Infection",1,"Infection only"
"9405","ANO7","Infection",1,"Infection only"
"9406","ANXA11","Infection",1,"Infection only"
"9407","ANXA4","Infection",1,"Infection only"
"9408","ANXA5","Infection",1,"Infection only"
"9409","AOC1","Infection",1,"Infection only"
"9410","AP1B1","Infection",1,"Infection only"
"9411","AP2A2","Infection",1,"Infection only"
"9412","AP4B1-AS1","Infection",1,"Infection only"
"9413","AP4S1","Infection",1,"Infection only"
"9414","AP5Z1","Infection",1,"Infection only"
"9415","APAF1","Infection",1,"Infection only"
"9416","APC2","Infection",1,"Infection only"
"9417","APCDD1","Infection",1,"Infection only"
"9418","APEH","Infection",1,"Infection only"
"9419","APH1B","Infection",1,"Infection only"
"9420","APOBEC4","Infection",1,"Infection only"
"9421","APOBR","Infection",1,"Infection only"
"9422","APOC1","Infection",1,"Infection only"
"9423","APOL4","Infection",1,"Infection only"
"9424","AQP1","Infection",1,"Infection only"
"9425","AQP10","Infection",1,"Infection only"
"9426","AQP7P3","Infection",1,"Infection only"
"9427","ARC","Infection",1,"Infection only"
"9428","ARF1","Infection",1,"Infection only"
"9429","ARF5","Infection",1,"Infection only"
"9430","ARFGAP1","Infection",1,"Infection only"
"9431","ARFIP1","Infection",1,"Infection only"
"9432","ARFRP1","Infection",1,"Infection only"
"9433","ARHGAP10","Infection",1,"Infection only"
"9434","ARHGAP11A","Infection",1,"Infection only"
"9435","ARHGAP15","Infection",1,"Infection only"
"9436","ARHGAP19","Infection",1,"Infection only"
"9437","ARHGAP20","Infection",1,"Infection only"
"9438","ARHGAP31","Infection",1,"Infection only"
"9439","ARHGAP31-AS1","Infection",1,"Infection only"
"9440","ARHGAP4","Infection",1,"Infection only"
"9441","ARHGAP5-AS1","Infection",1,"Infection only"
"9442","ARHGAP6","Infection",1,"Infection only"
"9443","ARHGDIA","Infection",1,"Infection only"
"9444","ARHGDIB","Infection",1,"Infection only"
"9445","ARHGEF1","Infection",1,"Infection only"
"9446","ARHGEF10","Infection",1,"Infection only"
"9447","ARHGEF17","Infection",1,"Infection only"
"9448","ARHGEF37","Infection",1,"Infection only"
"9449","ARID3B","Infection",1,"Infection only"
"9450","ARID4B","Infection",1,"Infection only"
"9451","ARL1","Infection",1,"Infection only"
"9452","ARL11","Infection",1,"Infection only"
"9453","ARL2","Infection",1,"Infection only"
"9454","ARL5B","Infection",1,"Infection only"
"9455","ARL6IP1","Infection",1,"Infection only"
"9456","ARL6IP4","Infection",1,"Infection only"
"9457","ARMC3","Infection",1,"Infection only"
"9458","ARMC6","Infection",1,"Infection only"
"9459","ARMC7","Infection",1,"Infection only"
"9460","ARMCX2","Infection",1,"Infection only"
"9461","ARMCX5","Infection",1,"Infection only"
"9462","ARPC5","Infection",1,"Infection only"
"9463","ARPC5L","Infection",1,"Infection only"
"9464","ARRB1","Infection",1,"Infection only"
"9465","ARRDC1","Infection",1,"Infection only"
"9466","ARSB","Infection",1,"Infection only"
"9467","ARSG","Infection",1,"Infection only"
"9468","ART1","Infection",1,"Infection only"
"9469","ASAH2","Infection",1,"Infection only"
"9470","ASB15","Infection",1,"Infection only"
"9471","ASB9","Infection",1,"Infection only"
"9472","ASIC3","Infection",1,"Infection only"
"9473","ASNA1","Infection",1,"Infection only"
"9474","ASPSCR1","Infection",1,"Infection only"
"9475","ASRGL1","Infection",1,"Infection only"
"9476","ATF5","Infection",1,"Infection only"
"9477","ATF6","Infection",1,"Infection only"
"9478","ATG10","Infection",1,"Infection only"
"9479","ATG4B","Infection",1,"Infection only"
"9480","ATG7","Infection",1,"Infection only"
"9481","ATL1","Infection",1,"Infection only"
"9482","ATOH7","Infection",1,"Infection only"
"9483","ATP10B","Infection",1,"Infection only"
"9484","ATP13A1","Infection",1,"Infection only"
"9485","ATP13A5","Infection",1,"Infection only"
"9486","ATP1B2","Infection",1,"Infection only"
"9487","ATP2A1","Infection",1,"Infection only"
"9488","ATP2B1","Infection",1,"Infection only"
"9489","ATP2B2","Infection",1,"Infection only"
"9490","ATP6V1E1","Infection",1,"Infection only"
"9491","ATP8B5P","Infection",1,"Infection only"
"9492","ATP9A","Infection",1,"Infection only"
"9493","ATXN7L3B","Infection",1,"Infection only"
"9494","AURKAIP1","Infection",1,"Infection only"
"9495","AURKAPS1","Infection",1,"Infection only"
"9496","AURKC","Infection",1,"Infection only"
"9497","AVPI1","Infection",1,"Infection only"
"9498","AXIN1","Infection",1,"Infection only"
"9499","B3GALNT2","Infection",1,"Infection only"
"9500","B3GALT4","Infection",1,"Infection only"
"9501","B3GNTL1","Infection",1,"Infection only"
"9502","B4GALNT4","Infection",1,"Infection only"
"9503","B9D2","Infection",1,"Infection only"
"9504","BACH1","Infection",1,"Infection only"
"9505","BAG3","Infection",1,"Infection only"
"9506","BAG4","Infection",1,"Infection only"
"9507","BAHCC1","Infection",1,"Infection only"
"9508","BAHD1","Infection",1,"Infection only"
"9509","BARD1","Infection",1,"Infection only"
"9510","BAZ1A","Infection",1,"Infection only"
"9511","BBC3","Infection",1,"Infection only"
"9512","BBS10","Infection",1,"Infection only"
"9513","BCL2L14","Infection",1,"Infection only"
"9514","BDNF","Infection",1,"Infection only"
"9515","BEND3","Infection",1,"Infection only"
"9516","BEND4","Infection",1,"Infection only"
"9517","BHLHB9","Infection",1,"Infection only"
"9518","BHLHE40-AS1","Infection",1,"Infection only"
"9519","BLM","Infection",1,"Infection only"
"9520","BLVRA","Infection",1,"Infection only"
"9521","BMP1","Infection",1,"Infection only"
"9522","BMP10","Infection",1,"Infection only"
"9523","BNIPL","Infection",1,"Infection only"
"9524","BOD1","Infection",1,"Infection only"
"9525","BOLL","Infection",1,"Infection only"
"9526","BPNT1","Infection",1,"Infection only"
"9527","BRAT1","Infection",1,"Infection only"
"9528","BRD2","Infection",1,"Infection only"
"9529","BRE","Infection",1,"Infection only"
"9530","BRI3BP","Infection",1,"Infection only"
"9531","BRICD5","Infection",1,"Infection only"
"9532","BRMS1","Infection",1,"Infection only"
"9533","BROX","Infection",1,"Infection only"
"9534","BTBD18","Infection",1,"Infection only"
"9535","BTBD2","Infection",1,"Infection only"
"9536","BZW1","Infection",1,"Infection only"
"9537","C10orf128","Infection",1,"Infection only"
"9538","C10orf25","Infection",1,"Infection only"
"9539","C10orf88","Infection",1,"Infection only"
"9540","C10orf91","Infection",1,"Infection only"
"9541","C10orf95","Infection",1,"Infection only"
"9542","C11orf42","Infection",1,"Infection only"
"9543","C11orf80","Infection",1,"Infection only"
"9544","C11orf84","Infection",1,"Infection only"
"9545","C11orf85","Infection",1,"Infection only"
"9546","C11orf95","Infection",1,"Infection only"
"9547","C12orf29","Infection",1,"Infection only"
"9548","C12orf40","Infection",1,"Infection only"
"9549","C12orf60","Infection",1,"Infection only"
"9550","C12orf79","Infection",1,"Infection only"
"9551","C14orf28","Infection",1,"Infection only"
"9552","C15orf39","Infection",1,"Infection only"
"9553","C15orf62","Infection",1,"Infection only"
"9554","C16orf13","Infection",1,"Infection only"
"9555","C16orf74","Infection",1,"Infection only"
"9556","C16orf86","Infection",1,"Infection only"
"9557","C16orf96","Infection",1,"Infection only"
"9558","C17orf47","Infection",1,"Infection only"
"9559","C17orf50","Infection",1,"Infection only"
"9560","C17orf67","Infection",1,"Infection only"
"9561","C17orf80","Infection",1,"Infection only"
"9562","C18orf54","Infection",1,"Infection only"
"9563","C19orf18","Infection",1,"Infection only"
"9564","C19orf24","Infection",1,"Infection only"
"9565","C19orf47","Infection",1,"Infection only"
"9566","C19orf53","Infection",1,"Infection only"
"9567","C19orf60","Infection",1,"Infection only"
"9568","C19orf70","Infection",1,"Infection only"
"9569","C1GALT1C1","Infection",1,"Infection only"
"9570","C1QL3","Infection",1,"Infection only"
"9571","C1QTNF3","Infection",1,"Infection only"
"9572","C1orf111","Infection",1,"Infection only"
"9573","C1orf186","Infection",1,"Infection only"
"9574","C1orf194","Infection",1,"Infection only"
"9575","C1orf233","Infection",1,"Infection only"
"9576","C1orf43","Infection",1,"Infection only"
"9577","C1orf52","Infection",1,"Infection only"
"9578","C1orf54","Infection",1,"Infection only"
"9579","C1orf61","Infection",1,"Infection only"
"9580","C20orf195","Infection",1,"Infection only"
"9581","C20orf62","Infection",1,"Infection only"
"9582","C21orf59","Infection",1,"Infection only"
"9583","C22orf24","Infection",1,"Infection only"
"9584","C2orf27A","Infection",1,"Infection only"
"9585","C2orf50","Infection",1,"Infection only"
"9586","C3orf52","Infection",1,"Infection only"
"9587","C3orf67","Infection",1,"Infection only"
"9588","C3orf70","Infection",1,"Infection only"
"9589","C3orf80","Infection",1,"Infection only"
"9590","C4orf27","Infection",1,"Infection only"
"9591","C4orf32","Infection",1,"Infection only"
"9592","C4orf36","Infection",1,"Infection only"
"9593","C5orf58","Infection",1,"Infection only"
"9594","C7orf25","Infection",1,"Infection only"
"9595","C7orf49","Infection",1,"Infection only"
"9596","C7orf73","Infection",1,"Infection only"
"9597","C9orf135","Infection",1,"Infection only"
"9598","C9orf16","Infection",1,"Infection only"
"9599","C9orf24","Infection",1,"Infection only"
"9600","C9orf41","Infection",1,"Infection only"
"9601","C9orf47","Infection",1,"Infection only"
"9602","C9orf69","Infection",1,"Infection only"
"9603","CA2","Infection",1,"Infection only"
"9604","CA5B","Infection",1,"Infection only"
"9605","CAB39","Infection",1,"Infection only"
"9606","CABIN1","Infection",1,"Infection only"
"9607","CABLES2","Infection",1,"Infection only"
"9608","CABYR","Infection",1,"Infection only"
"9609","CACNA1D","Infection",1,"Infection only"
"9610","CACNA2D4","Infection",1,"Infection only"
"9611","CACNB2","Infection",1,"Infection only"
"9612","CALM2","Infection",1,"Infection only"
"9613","CALML6","Infection",1,"Infection only"
"9614","CALY","Infection",1,"Infection only"
"9615","CAMK1G","Infection",1,"Infection only"
"9616","CAMKK1","Infection",1,"Infection only"
"9617","CAND1","Infection",1,"Infection only"
"9618","CANT1","Infection",1,"Infection only"
"9619","CAP1","Infection",1,"Infection only"
"9620","CAPN11","Infection",1,"Infection only"
"9621","CAPN15","Infection",1,"Infection only"
"9622","CAPN8","Infection",1,"Infection only"
"9623","CAPRIN2","Infection",1,"Infection only"
"9624","CAPS","Infection",1,"Infection only"
"9625","CARF","Infection",1,"Infection only"
"9626","CARHSP1","Infection",1,"Infection only"
"9627","CARS","Infection",1,"Infection only"
"9628","CASKIN2","Infection",1,"Infection only"
"9629","CASP2","Infection",1,"Infection only"
"9630","CASP5","Infection",1,"Infection only"
"9631","CATIP-AS2","Infection",1,"Infection only"
"9632","CATSPER1","Infection",1,"Infection only"
"9633","CATSPER2P1","Infection",1,"Infection only"
"9634","CATSPERB","Infection",1,"Infection only"
"9635","CATSPERG","Infection",1,"Infection only"
"9636","CBFA2T2","Infection",1,"Infection only"
"9637","CBLN3","Infection",1,"Infection only"
"9638","CBWD5","Infection",1,"Infection only"
"9639","CBX1","Infection",1,"Infection only"
"9640","CBX5","Infection",1,"Infection only"
"9641","CBX6","Infection",1,"Infection only"
"9642","CCAT2","Infection",1,"Infection only"
"9643","CCDC101","Infection",1,"Infection only"
"9644","CCDC103","Infection",1,"Infection only"
"9645","CCDC106","Infection",1,"Infection only"
"9646","CCDC108","Infection",1,"Infection only"
"9647","CCDC113","Infection",1,"Infection only"
"9648","CCDC12","Infection",1,"Infection only"
"9649","CCDC130","Infection",1,"Infection only"
"9650","CCDC137","Infection",1,"Infection only"
"9651","CCDC14","Infection",1,"Infection only"
"9652","CCDC140","Infection",1,"Infection only"
"9653","CCDC167","Infection",1,"Infection only"
"9654","CCDC171","Infection",1,"Infection only"
"9655","CCDC183-AS1","Infection",1,"Infection only"
"9656","CCDC22","Infection",1,"Infection only"
"9657","CCDC25","Infection",1,"Infection only"
"9658","CCDC34","Infection",1,"Infection only"
"9659","CCDC37","Infection",1,"Infection only"
"9660","CCDC39","Infection",1,"Infection only"
"9661","CCDC40","Infection",1,"Infection only"
"9662","CCDC50","Infection",1,"Infection only"
"9663","CCDC51","Infection",1,"Infection only"
"9664","CCDC64B","Infection",1,"Infection only"
"9665","CCDC7","Infection",1,"Infection only"
"9666","CCDC71","Infection",1,"Infection only"
"9667","CCDC9","Infection",1,"Infection only"
"9668","CCM2","Infection",1,"Infection only"
"9669","CCNE2","Infection",1,"Infection only"
"9670","CCNK","Infection",1,"Infection only"
"9671","CCS","Infection",1,"Infection only"
"9672","CCT6P3","Infection",1,"Infection only"
"9673","CCT7","Infection",1,"Infection only"
"9674","CCZ1B","Infection",1,"Infection only"
"9675","CD2AP","Infection",1,"Infection only"
"9676","CD3EAP","Infection",1,"Infection only"
"9677","CD52","Infection",1,"Infection only"
"9678","CD69","Infection",1,"Infection only"
"9679","CD81-AS1","Infection",1,"Infection only"
"9680","CD82","Infection",1,"Infection only"
"9681","CDC123","Infection",1,"Infection only"
"9682","CDC23","Infection",1,"Infection only"
"9683","CDC42BPG","Infection",1,"Infection only"
"9684","CDC42EP1","Infection",1,"Infection only"
"9685","CDC5L","Infection",1,"Infection only"
"9686","CDCA7L","Infection",1,"Infection only"
"9687","CDH20","Infection",1,"Infection only"
"9688","CDH3","Infection",1,"Infection only"
"9689","CDH6","Infection",1,"Infection only"
"9690","CDHR4","Infection",1,"Infection only"
"9691","CDHR5","Infection",1,"Infection only"
"9692","CDIP1","Infection",1,"Infection only"
"9693","CDIPT-AS1","Infection",1,"Infection only"
"9694","CDK11A","Infection",1,"Infection only"
"9695","CDK11B","Infection",1,"Infection only"
"9696","CDK2AP2","Infection",1,"Infection only"
"9697","CDK7","Infection",1,"Infection only"
"9698","CDKL2","Infection",1,"Infection only"
"9699","CDKL4","Infection",1,"Infection only"
"9700","CDKL5","Infection",1,"Infection only"
"9701","CDKN2AIP","Infection",1,"Infection only"
"9702","CDRT4","Infection",1,"Infection only"
"9703","CECR2","Infection",1,"Infection only"
"9704","CECR5","Infection",1,"Infection only"
"9705","CEL","Infection",1,"Infection only"
"9706","CELF2","Infection",1,"Infection only"
"9707","CELSR1","Infection",1,"Infection only"
"9708","CEMIP","Infection",1,"Infection only"
"9709","CEMP1","Infection",1,"Infection only"
"9710","CENPP","Infection",1,"Infection only"
"9711","CENPQ","Infection",1,"Infection only"
"9712","CENPT","Infection",1,"Infection only"
"9713","CEP250","Infection",1,"Infection only"
"9714","CEP76","Infection",1,"Infection only"
"9715","CEP78","Infection",1,"Infection only"
"9716","CEP85","Infection",1,"Infection only"
"9717","CEP85L","Infection",1,"Infection only"
"9718","CES1","Infection",1,"Infection only"
"9719","CES3","Infection",1,"Infection only"
"9720","CETP","Infection",1,"Infection only"
"9721","CFLAR-AS1","Infection",1,"Infection only"
"9722","CGN","Infection",1,"Infection only"
"9723","CHAD","Infection",1,"Infection only"
"9724","CHAF1B","Infection",1,"Infection only"
"9725","CHCHD10","Infection",1,"Infection only"
"9726","CHCHD5","Infection",1,"Infection only"
"9727","CHD1","Infection",1,"Infection only"
"9728","CHD3","Infection",1,"Infection only"
"9729","CHD4","Infection",1,"Infection only"
"9730","CHI3L1","Infection",1,"Infection only"
"9731","CHMP1A","Infection",1,"Infection only"
"9732","CHMP1B2P","Infection",1,"Infection only"
"9733","CHMP3","Infection",1,"Infection only"
"9734","CHRM3","Infection",1,"Infection only"
"9735","CHST13","Infection",1,"Infection only"
"9736","CHST14","Infection",1,"Infection only"
"9737","CHSY3","Infection",1,"Infection only"
"9738","CHURC1","Infection",1,"Infection only"
"9739","CIART","Infection",1,"Infection only"
"9740","CIB3","Infection",1,"Infection only"
"9741","CILP2","Infection",1,"Infection only"
"9742","CIPC","Infection",1,"Infection only"
"9743","CIZ1","Infection",1,"Infection only"
"9744","CLCA3P","Infection",1,"Infection only"
"9745","CLCC1","Infection",1,"Infection only"
"9746","CLCN7","Infection",1,"Infection only"
"9747","CLDN2","Infection",1,"Infection only"
